デバイス情報
******************************
デバイスタイプ: 中距離温度センサー
ID: 06196194
測定間隔: 1min
Note:
All times shown are based on UTC+9 and 24-Hour clock [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 2020-03-15 04:07:46.000
終了時刻: 2020-03-18 04:04:16.000
測定データ数: 2208
測定時間: -2d -23h -56m -30s
最大値: 22.60℃/--%RH
最小値: 13.30℃/--%RH
平均値: 17.75℃/--%RH
平均動態温度: 18.31℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-03-15,04:07:46.000,14.70,--
2020-03-15,04:09:48.000,14.70,--
2020-03-15,04:11:50.000,14.70,--
2020-03-15,04:13:53.000,14.70,--
2020-03-15,04:15:55.000,14.70,--
2020-03-15,04:17:57.000,14.70,--
2020-03-15,04:19:59.000,14.80,--
2020-03-15,04:22:01.000,14.80,--
2020-03-15,04:23:53.000,14.80,--
2020-03-15,04:24:59.000,14.80,--
2020-03-15,04:27:01.000,15.00,--
2020-03-15,04:29:04.000,15.00,--
2020-03-15,04:31:06.000,15.10,--
2020-03-15,04:33:08.000,15.20,--
2020-03-15,04:35:10.000,15.50,--
2020-03-15,04:37:13.000,15.60,--
2020-03-15,04:39:15.000,15.70,--
2020-03-15,04:41:17.000,15.80,--
2020-03-15,04:43:19.000,16.10,--
2020-03-15,04:45:21.000,16.20,--
2020-03-15,04:47:24.000,16.30,--
2020-03-15,04:49:26.000,16.50,--
2020-03-15,04:51:28.000,16.70,--
2020-03-15,04:53:30.000,16.80,--
2020-03-15,04:55:32.000,17.00,--
2020-03-15,04:57:35.000,17.10,--
2020-03-15,04:59:26.000,17.20,--
2020-03-15,05:00:32.000,17.20,--
2020-03-15,05:02:35.000,17.30,--
2020-03-15,05:04:37.000,17.50,--
2020-03-15,05:06:39.000,17.60,--
2020-03-15,05:08:41.000,17.70,--
2020-03-15,05:10:44.000,17.80,--
2020-03-15,05:12:46.000,17.80,--
2020-03-15,05:14:48.000,18.00,--
2020-03-15,05:16:50.000,18.10,--
2020-03-15,05:18:52.000,18.10,--
2020-03-15,05:20:44.000,18.20,--
2020-03-15,05:21:50.000,18.20,--
2020-03-15,05:22:57.000,18.30,--
2020-03-15,05:24:48.000,18.30,--
2020-03-15,05:25:55.000,18.50,--
2020-03-15,05:27:57.000,18.50,--
2020-03-15,05:29:59.000,18.50,--
2020-03-15,05:32:01.000,18.60,--
2020-03-15,05:34:03.000,18.70,--
2020-03-15,05:36:06.000,18.70,--
2020-03-15,05:38:08.000,18.80,--
2020-03-15,05:40:10.000,18.80,--
2020-03-15,05:42:01.000,19.00,--
2020-03-15,05:43:08.000,19.00,--
