デバイス情報
******************************
デバイスタイプ:	   DR1201
ID:   06200101
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2021-01-08 10:00:53
終了時刻:      2021-01-08 18:27:08
測定データ数:      494
測定時間:      8h 26m 15s 
最大値:        23.30℃/--%RH
最小値:        20.20℃/--%RH
平均値:        21.70℃ /--%RH
平均動態温度:21.70℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2021-01-08,10:00:53, 21.50,--
2021-01-08,10:01:54, 21.30,--
2021-01-08,10:02:56, 21.30,--
2021-01-08,10:03:57, 21.30,--
2021-01-08,10:04:59, 21.30,--
2021-01-08,10:06:01, 21.50,--
2021-01-08,10:07:02, 21.50,--
2021-01-08,10:08:04, 21.50,--
2021-01-08,10:09:05, 21.50,--
2021-01-08,10:10:07, 21.30,--
2021-01-08,10:11:09, 21.20,--
2021-01-08,10:12:10, 21.20,--
2021-01-08,10:13:12, 21.10,--
2021-01-08,10:14:14, 21.00,--
2021-01-08,10:15:15, 21.00,--
2021-01-08,10:16:17, 21.00,--
2021-01-08,10:17:18, 20.80,--
2021-01-08,10:18:20, 20.70,--
2021-01-08,10:19:22, 20.70,--
2021-01-08,10:20:23, 20.70,--
2021-01-08,10:21:25, 20.70,--
2021-01-08,10:22:26, 20.70,--
2021-01-08,10:23:28, 20.70,--
2021-01-08,10:24:30, 20.70,--
2021-01-08,10:25:31, 20.70,--
2021-01-08,10:26:33, 20.70,--
2021-01-08,10:27:35, 20.80,--
2021-01-08,10:28:36, 21.00,--
2021-01-08,10:29:38, 21.10,--
2021-01-08,10:30:39, 21.20,--
2021-01-08,10:31:41, 21.30,--
2021-01-08,10:32:43, 21.60,--
2021-01-08,10:33:44, 21.70,--
2021-01-08,10:34:46, 21.70,--
2021-01-08,10:35:47, 21.60,--
2021-01-08,10:36:49, 21.60,--
2021-01-08,10:37:51, 21.50,--
2021-01-08,10:38:52, 21.30,--
2021-01-08,10:39:54, 21.30,--
2021-01-08,10:40:55, 21.20,--
2021-01-08,10:41:57, 21.20,--
2021-01-08,10:42:59, 21.10,--
2021-01-08,10:44:00, 21.10,--
2021-01-08,10:45:02, 21.10,--
2021-01-08,10:46:04, 21.10,--
2021-01-08,10:47:05, 21.00,--
2021-01-08,10:48:07, 21.00,--
2021-01-08,10:49:08, 21.10,--
2021-01-08,10:50:10, 21.10,--
2021-01-08,10:51:12, 21.20,--
2021-01-08,10:52:13, 21.60,--
2021-01-08,10:53:15, 22.00,--
2021-01-08,10:54:16, 22.20,--
2021-01-08,10:55:18, 22.50,--
2021-01-08,10:56:20, 22.60,--
2021-01-08,10:57:21, 22.70,--
2021-01-08,10:58:23, 22.60,--
2021-01-08,10:59:25, 22.60,--
2021-01-08,11:00:26, 22.50,--
2021-01-08,11:01:28, 22.30,--
2021-01-08,11:02:29, 22.20,--
2021-01-08,11:03:31, 22.20,--
2021-01-08,11:04:33, 22.10,--
2021-01-08,11:05:34, 22.00,--
2021-01-08,11:06:36, 21.80,--
2021-01-08,11:07:37, 21.80,--
2021-01-08,11:08:39, 21.70,--
2021-01-08,11:09:41, 21.60,--
2021-01-08,11:10:42, 21.60,--
2021-01-08,11:11:44, 21.50,--
2021-01-08,11:12:46, 21.50,--
2021-01-08,11:13:47, 21.30,--
2021-01-08,11:14:49, 21.20,--
2021-01-08,11:15:50, 21.20,--
2021-01-08,11:16:52, 21.10,--
2021-01-08,11:17:54, 21.00,--
2021-01-08,11:18:55, 21.00,--
2021-01-08,11:19:57, 20.80,--
