デバイス情報
******************************
デバイスタイプ:	   ??????????? DL1201

ID:   07200072
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-08-25 10:40:53
終了時刻:      2020-09-01 10:25:59
測定データ数:      668
測定時間:      6d 23h 45m 6s 
最大値:        32.29℃/--%RH
最小値:        21.80℃/--%RH
平均値:        27.50℃ /--%RH
平均動態温度:27.60℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-08-25,10:40:53, 24.10,--
2020-08-25,10:55:23, 24.60,--
2020-08-25,11:11:39, 24.50,--
2020-08-25,11:28:00, 24.50,--
2020-08-25,11:42:57, 24.60,--
2020-08-25,11:56:08, 24.20,--
2020-08-25,12:11:30, 24.80,--
2020-08-25,12:27:46, 24.60,--
2020-08-25,12:41:44, 24.70,--
2020-08-25,12:55:56, 24.80,--
2020-08-25,13:11:45, 25.10,--
2020-08-25,13:26:31, 24.60,--
2020-08-25,13:41:10, 24.50,--
2020-08-25,13:55:20, 24.80,--
2020-08-25,14:12:04, 24.60,--
2020-08-25,14:26:23, 25.00,--
2020-08-25,14:42:47, 25.00,--
2020-08-25,14:55:38, 24.60,--
2020-08-25,15:12:36, 25.00,--
2020-08-25,15:26:52, 25.00,--
2020-08-25,15:41:07, 24.70,--
2020-08-25,15:55:22, 24.70,--
2020-08-25,16:11:08, 25.00,--
2020-08-25,16:27:29, 24.60,--
2020-08-25,16:42:44, 25.10,--
2020-08-25,16:57:45, 25.00,--
2020-08-25,17:11:39, 24.60,--
2020-08-25,17:26:25, 24.90,--
2020-08-25,17:42:18, 24.50,--
2020-08-25,17:57:34, 24.90,--
2020-08-25,18:12:16, 25.00,--
2020-08-25,18:26:02, 25.00,--
2020-08-25,18:42:45, 25.10,--
2020-08-25,18:56:28, 25.10,--
2020-08-25,19:10:28, 25.30,--
2020-08-25,19:25:11, 25.70,--
2020-08-25,19:40:27, 26.30,--
2020-08-25,19:57:42, 26.70,--
2020-08-25,20:12:03, 27.00,--
2020-08-25,20:27:45, 27.30,--
2020-08-25,20:42:09, 27.50,--
2020-08-25,20:55:42, 27.70,--
2020-08-25,21:12:49, 27.90,--
2020-08-25,21:26:36, 28.00,--
2020-08-25,21:41:40, 28.10,--
2020-08-25,21:57:18, 28.20,--
2020-08-25,22:12:55, 28.30,--
2020-08-25,22:27:51, 28.30,--
2020-08-25,22:41:39, 28.30,--
2020-08-25,22:55:36, 28.30,--
2020-08-25,23:10:00, 28.40,--
2020-08-25,23:25:30, 28.40,--
2020-08-25,23:40:11, 28.50,--
2020-08-25,23:55:49, 28.50,--
2020-08-26,00:12:33, 28.50,--
2020-08-26,00:25:15, 28.50,--
2020-08-26,00:42:52, 28.50,--
