デバイス情報
******************************
デバイスタイプ:	   DL1201
ID:   07200072
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-09-25 16:07:07
終了時刻:      2020-10-02 15:51:26
測定データ数:      665
測定時間:      6d 23h 44m 19s 
最大値:        24.80℃/--%RH
最小値:        22.00℃/--%RH
平均値:        23.30℃ /--%RH
平均動態温度:23.30℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-09-25,16:07:07, 24.60,--
2020-09-25,16:22:20, 24.30,--
2020-09-25,16:37:50, 24.30,--
2020-09-25,16:52:11, 24.10,--
2020-09-25,17:07:48, 24.30,--
2020-09-25,17:21:52, 24.10,--
2020-09-25,17:35:56, 24.40,--
2020-09-25,17:51:16, 24.60,--
2020-09-25,18:05:36, 24.30,--
2020-09-25,18:20:34, 24.30,--
2020-09-25,18:38:24, 24.30,--
2020-09-25,18:52:03, 24.20,--
2020-09-25,19:08:26, 23.80,--
2020-09-25,19:20:32, 23.70,--
2020-09-25,19:35:54, 23.50,--
2020-09-25,19:52:35, 23.40,--
2020-09-25,20:05:40, 23.30,--
2020-09-25,20:21:02, 23.30,--
2020-09-25,20:37:25, 23.20,--
2020-09-25,20:50:41, 23.10,--
2020-09-25,21:06:38, 23.00,--
2020-09-25,21:20:51, 22.90,--
2020-09-25,21:37:20, 23.00,--
2020-09-25,21:50:34, 23.10,--
2020-09-25,22:05:55, 23.10,--
2020-09-25,22:23:01, 23.20,--
2020-09-25,22:37:56, 23.30,--
2020-09-25,22:50:49, 23.30,--
2020-09-25,23:07:07, 23.20,--
2020-09-25,23:21:58, 23.20,--
2020-09-25,23:37:44, 23.20,--
2020-09-25,23:52:32, 23.20,--
2020-09-26,00:06:36, 23.20,--
2020-09-26,00:21:32, 23.20,--
2020-09-26,00:36:36, 23.20,--
2020-09-26,00:53:24, 23.20,--
2020-09-26,01:05:32, 23.20,--
2020-09-26,01:21:56, 23.20,--
2020-09-26,01:36:28, 23.20,--
2020-09-26,01:52:44, 23.20,--
2020-09-26,02:05:53, 23.20,--
2020-09-26,02:23:16, 23.10,--
2020-09-26,02:36:51, 23.10,--
2020-09-26,02:52:07, 23.10,--
2020-09-26,03:06:21, 23.10,--
2020-09-26,03:22:13, 23.10,--
2020-09-26,03:38:15, 23.00,--
2020-09-26,03:53:16, 23.00,--
2020-09-26,04:06:34, 23.00,--
2020-09-26,04:23:17, 23.00,--
2020-09-26,04:35:29, 23.00,--
2020-09-26,04:51:19, 23.00,--
2020-09-26,05:06:25, 22.90,--
2020-09-26,05:22:56, 22.90,--
2020-09-26,05:35:51, 22.90,--
2020-09-26,05:51:11, 22.80,--
2020-09-26,06:05:29, 22.90,--
2020-09-26,06:22:32, 22.90,--
2020-09-26,06:38:20, 22.80,--
2020-09-26,06:52:45, 22.80,--
2020-09-26,07:05:34, 22.80,--
2020-09-26,07:21:01, 22.80,--
2020-09-26,07:37:18, 22.80,--
2020-09-26,07:51:29, 22.80,--
2020-09-26,08:06:00, 22.80,--
2020-09-26,08:21:50, 22.80,--
2020-09-26,08:35:28, 22.80,--
2020-09-26,08:50:42, 22.80,--
2020-09-26,09:08:02, 22.80,--
2020-09-26,09:21:17, 22.80,--
2020-09-26,09:37:23, 22.80,--
2020-09-26,09:52:06, 22.80,--
2020-09-26,10:07:09, 22.80,--
2020-09-26,10:20:53, 22.80,--
2020-09-26,10:35:43, 22.80,--
2020-09-26,10:52:31, 22.80,--
2020-09-26,11:06:50, 22.70,--
2020-09-26,11:21:49, 22.80,--
2020-09-26,11:35:59, 22.80,--
2020-09-26,11:51:40, 22.80,--
2020-09-26,12:06:40, 22.80,--
2020-09-26,12:20:38, 22.80,--
2020-09-26,12:37:20, 22.70,--
2020-09-26,12:53:03, 22.80,--
2020-09-26,13:05:43, 22.80,--
2020-09-26,13:23:19, 22.70,--
2020-09-26,13:36:23, 22.70,--
2020-09-26,13:52:39, 22.70,--
2020-09-26,14:05:42, 22.80,--
2020-09-26,14:23:00, 22.80,--
2020-09-26,14:35:26, 22.80,--
2020-09-26,14:52:25, 22.70,--
2020-09-26,15:08:08, 22.70,--
2020-09-26,15:22:19, 22.70,--
2020-09-26,15:38:17, 22.70,--
2020-09-26,15:52:33, 22.70,--
2020-09-26,16:05:35, 22.60,--
2020-09-26,16:22:18, 22.60,--
2020-09-26,16:36:00, 22.60,--
2020-09-26,16:52:03, 22.60,--
2020-09-26,17:07:13, 22.60,--
2020-09-26,17:21:39, 22.60,--
2020-09-26,17:35:49, 22.60,--
2020-09-26,17:51:24, 22.50,--
2020-09-26,18:06:31, 22.50,--
2020-09-26,18:20:41, 22.50,--
2020-09-26,18:38:13, 22.50,--
2020-09-26,18:51:03, 22.40,--
2020-09-26,19:08:13, 22.40,--
2020-09-26,19:22:21, 22.50,--
2020-09-26,19:35:46, 22.50,--
2020-09-26,19:51:18, 22.40,--
2020-09-26,20:06:25, 22.40,--
2020-09-26,20:21:31, 22.40,--
2020-09-26,20:36:22, 22.40,--
2020-09-26,20:52:34, 22.40,--
2020-09-26,21:05:44, 22.40,--
2020-09-26,21:21:12, 22.50,--
2020-09-26,21:36:21, 22.40,--
2020-09-26,21:53:08, 22.50,--
2020-09-26,22:07:00, 22.40,--
2020-09-26,22:22:20, 22.40,--
2020-09-26,22:36:17, 22.50,--
2020-09-26,22:51:40, 22.50,--
2020-09-26,23:08:05, 22.40,--
2020-09-26,23:22:13, 22.40,--
2020-09-26,23:37:30, 22.50,--
2020-09-26,23:51:44, 22.40,--
2020-09-27,00:05:35, 22.40,--
2020-09-27,00:21:00, 22.40,--
2020-09-27,00:35:56, 22.40,--
2020-09-27,00:52:27, 22.40,--
2020-09-27,01:08:14, 22.30,--
2020-09-27,01:21:31, 22.30,--
2020-09-27,01:35:37, 22.30,--
2020-09-27,01:52:33, 22.30,--
2020-09-27,02:06:38, 22.30,--
2020-09-27,02:20:26, 22.30,--
2020-09-27,02:36:00, 22.20,--
2020-09-27,02:51:28, 22.20,--
2020-09-27,03:07:15, 22.20,--
2020-09-27,03:20:47, 22.30,--
2020-09-27,03:37:11, 22.20,--
2020-09-27,03:52:02, 22.20,--
2020-09-27,04:06:35, 22.20,--
2020-09-27,04:20:58, 22.20,--
2020-09-27,04:38:18, 22.20,--
2020-09-27,04:51:24, 22.20,--
2020-09-27,05:06:59, 22.20,--
2020-09-27,05:38:15, 22.10,--
2020-09-27,05:51:55, 22.10,--
2020-09-27,06:07:28, 22.10,--
2020-09-27,06:21:36, 22.10,--
2020-09-27,06:37:34, 22.10,--
2020-09-27,06:51:16, 22.20,--
2020-09-27,07:08:05, 22.10,--
2020-09-27,07:21:56, 22.10,--
2020-09-27,07:36:37, 22.10,--
2020-09-27,07:52:17, 22.20,--
2020-09-27,08:06:55, 22.20,--
2020-09-27,08:21:51, 22.20,--
2020-09-27,08:36:39, 22.20,--
2020-09-27,08:51:17, 22.20,--
2020-09-27,09:06:12, 22.30,--
2020-09-27,09:21:08, 22.30,--
2020-09-27,09:36:42, 22.30,--
2020-09-27,09:53:03, 22.30,--
2020-09-27,10:07:42, 22.40,--
2020-09-27,10:20:32, 22.40,--
2020-09-27,10:36:04, 22.40,--
2020-09-27,10:51:44, 22.40,--
2020-09-27,11:06:23, 22.40,--
2020-09-27,11:23:15, 22.50,--
2020-09-27,11:37:59, 22.50,--
2020-09-27,11:50:31, 22.50,--
2020-09-27,12:08:01, 22.50,--
2020-09-27,12:21:05, 22.50,--
2020-09-27,12:35:50, 22.60,--
2020-09-27,12:52:33, 22.60,--
2020-09-27,13:05:30, 22.70,--
2020-09-27,13:22:38, 22.80,--
2020-09-27,13:37:57, 22.80,--
2020-09-27,13:51:05, 22.80,--
2020-09-27,14:06:08, 22.80,--
2020-09-27,14:22:23, 22.80,--
2020-09-27,14:37:19, 22.90,--
2020-09-27,14:52:44, 22.90,--
2020-09-27,15:07:20, 22.90,--
2020-09-27,15:21:21, 23.00,--
2020-09-27,15:37:28, 22.90,--
2020-09-27,15:51:17, 22.90,--
2020-09-27,16:06:21, 22.90,--
2020-09-27,16:22:46, 22.90,--
2020-09-27,16:37:08, 22.90,--
2020-09-27,16:50:36, 22.90,--
2020-09-27,17:06:47, 22.90,--
2020-09-27,17:22:03, 22.90,--
2020-09-27,17:36:37, 22.90,--
2020-09-27,17:51:43, 22.90,--
2020-09-27,18:07:12, 22.90,--
2020-09-27,18:22:36, 22.90,--
2020-09-27,18:35:27, 22.90,--
2020-09-27,18:51:09, 22.90,--
2020-09-27,19:05:49, 22.80,--
2020-09-27,19:22:30, 22.90,--
2020-09-27,19:36:30, 22.80,--
2020-09-27,19:53:10, 22.80,--
2020-09-27,20:05:56, 22.80,--
2020-09-27,20:21:34, 22.80,--
2020-09-27,20:36:48, 22.80,--
2020-09-27,20:51:02, 22.80,--
2020-09-27,21:07:29, 22.80,--
2020-09-27,21:22:35, 22.80,--
2020-09-27,21:37:58, 22.70,--
2020-09-27,21:51:26, 22.70,--
2020-09-27,22:07:49, 22.80,--
