デバイス情報
******************************
デバイスタイプ:	   DL1201
ID:   08190003
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-21 14:13:59
終了時刻:      2020-12-22 14:10:16
測定データ数:      144
測定時間:      23h 56m 17s 
最大値:        24.70℃/--%RH
最小値:        12.80℃/--%RH
平均値:        19.70℃ /--%RH
平均動態温度:19.80℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-21,14:13:59, 22.30,--
2020-12-21,14:29:37, 22.30,--
2020-12-21,14:45:28, 22.40,--
2020-12-21,15:01:23, 22.40,--
2020-12-21,15:16:33, 22.30,--
2020-12-21,15:32:09, 22.30,--
2020-12-21,15:49:06, 22.40,--
2020-12-21,16:05:49, 22.40,--
2020-12-21,16:23:07, 22.60,--
2020-12-21,16:38:16, 22.60,--
2020-12-21,16:53:53, 22.80,--
2020-12-21,17:09:10, 22.70,--
2020-12-21,17:24:24, 22.70,--
2020-12-21,17:41:59, 22.80,--
2020-12-21,17:57:22, 22.60,--
2020-12-21,18:14:35, 22.70,--
2020-12-21,18:31:07, 22.50,--
2020-12-21,18:46:25, 21.00,--
2020-12-21,19:03:12, 20.00,--
2020-12-21,19:20:58, 19.10,--
2020-12-21,19:37:35, 18.30,--
2020-12-21,19:55:02, 17.80,--
2020-12-21,20:10:46, 17.30,--
2020-12-21,20:27:28, 16.89,--
2020-12-21,20:43:16, 16.50,--
2020-12-21,21:00:53, 16.30,--
2020-12-21,21:17:14, 16.00,--
2020-12-21,21:34:00, 15.80,--
2020-12-21,21:50:50, 15.60,--
2020-12-21,22:06:44, 15.40,--
2020-12-21,22:22:30, 15.30,--
2020-12-21,22:38:52, 15.10,--
2020-12-21,22:56:43, 15.00,--
2020-12-21,23:12:33, 14.80,--
2020-12-21,23:28:23, 14.80,--
2020-12-21,23:45:12, 14.60,--
2020-12-22,00:02:37, 14.60,--
2020-12-22,00:20:21, 14.50,--
2020-12-22,00:35:31, 14.40,--
2020-12-22,00:51:48, 14.30,--
2020-12-22,01:09:48, 14.20,--
2020-12-22,01:26:39, 14.10,--
2020-12-22,01:42:32, 14.10,--
2020-12-22,01:58:53, 14.00,--
2020-12-22,02:15:51, 14.00,--
2020-12-22,02:32:55, 13.80,--
2020-12-22,02:49:42, 13.80,--
2020-12-22,03:06:16, 13.70,--
2020-12-22,03:23:53, 13.60,--
2020-12-22,03:39:41, 13.60,--
2020-12-22,03:56:35, 13.50,--
2020-12-22,04:12:15, 13.40,--
2020-12-22,04:28:10, 13.40,--
2020-12-22,04:44:09, 13.30,--
2020-12-22,04:59:32, 13.30,--
2020-12-22,05:15:09, 13.20,--
2020-12-22,05:32:12, 13.10,--
2020-12-22,05:48:52, 13.10,--
2020-12-22,06:05:36, 13.00,--
2020-12-22,06:22:42, 13.00,--
2020-12-22,06:39:17, 12.90,--
2020-12-22,06:54:33, 12.80,--
2020-12-22,07:11:24, 13.00,--
2020-12-22,07:26:58, 14.80,--
2020-12-22,07:43:41, 16.60,--
2020-12-22,08:01:08, 17.39,--
2020-12-22,08:18:56, 21.00,--
2020-12-22,08:23:28, 18.80,--
2020-12-22,08:27:03, 18.60,--
2020-12-22,08:32:14, 18.30,--
2020-12-22,08:42:54, 18.50,--
2020-12-22,08:48:11, 18.80,--
2020-12-22,08:53:38, 18.89,--
2020-12-22,08:59:00, 19.00,--
2020-12-22,09:02:11, 19.20,--
2020-12-22,09:08:41, 19.50,--
2020-12-22,09:14:14, 19.80,--
2020-12-22,09:17:47, 20.10,--
2020-12-22,09:23:46, 20.60,--
2020-12-22,09:28:15, 20.70,--
2020-12-22,09:34:10, 20.80,--
2020-12-22,09:36:44, 20.90,--
2020-12-22,09:43:53, 20.70,--
2020-12-22,09:50:09, 20.80,--
2020-12-22,09:53:44, 21.00,--
2020-12-22,10:00:11, 21.30,--
2020-12-22,10:05:18, 21.30,--
2020-12-22,10:09:04, 21.30,--
2020-12-22,10:12:27, 21.40,--
2020-12-22,10:19:46, 21.70,--
2020-12-22,10:25:14, 21.80,--
2020-12-22,10:30:17, 21.90,--
2020-12-22,10:35:35, 22.20,--
2020-12-22,10:39:33, 22.30,--
2020-12-22,10:44:56, 22.40,--
2020-12-22,10:48:50, 22.40,--
2020-12-22,10:54:23, 22.50,--
2020-12-22,10:59:55, 22.50,--
2020-12-22,11:04:41, 22.40,--
2020-12-22,11:11:14, 22.60,--
2020-12-22,11:16:10, 22.60,--
2020-12-22,11:18:35, 22.60,--
2020-12-22,11:25:54, 22.80,--
2020-12-22,11:30:17, 22.60,--
2020-12-22,11:34:58, 22.60,--
2020-12-22,11:41:37, 22.60,--
2020-12-22,11:45:10, 22.60,--
2020-12-22,11:49:56, 22.60,--
2020-12-22,11:56:36, 22.70,--
2020-12-22,12:00:16, 22.80,--
2020-12-22,12:06:24, 22.80,--
2020-12-22,12:11:22, 22.90,--
2020-12-22,12:15:07, 22.90,--
2020-12-22,12:21:09, 22.80,--
2020-12-22,12:24:27, 22.80,--
2020-12-22,12:31:11, 23.00,--
2020-12-22,12:35:16, 23.00,--
2020-12-22,12:41:31, 23.00,--
2020-12-22,12:44:52, 23.00,--
2020-12-22,12:51:49, 23.00,--
2020-12-22,12:54:10, 23.00,--
2020-12-22,13:01:43, 23.00,--
2020-12-22,13:07:38, 24.10,--
2020-12-22,13:11:51, 24.10,--
2020-12-22,13:14:48, 24.40,--
2020-12-22,13:20:51, 24.70,--
2020-12-22,13:32:06, 24.40,--
2020-12-22,13:34:20, 24.00,--
2020-12-22,13:36:11, 24.00,--
2020-12-22,13:42:52, 23.50,--
2020-12-22,13:44:02, 23.60,--
2020-12-22,13:46:33, 23.50,--
2020-12-22,13:46:36, 23.50,--
2020-12-22,13:49:04, 23.30,--
2020-12-22,13:52:21, 23.30,--
2020-12-22,13:55:13, 23.10,--
2020-12-22,13:57:46, 23.30,--
2020-12-22,14:00:07, 23.40,--
2020-12-22,14:00:10, 23.40,--
2020-12-22,14:03:28, 23.30,--
2020-12-22,14:06:12, 23.30,--
2020-12-22,14:06:15, 23.30,--
2020-12-22,14:10:13, 23.10,--
2020-12-22,14:10:16, 23.10,--

