デバイス情報
******************************
デバイスタイプ:	   DL1201
ID:   08200221
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-09 11:25:52
終了時刻:      2020-12-10 13:54:33
測定データ数:      106
測定時間:      1d 2h 28m 41s 
最大値:        18.50℃/--%RH
最小値:        -26.00℃/--%RH
平均値:        -1.80℃ /--%RH
平均動態温度:-1.30℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-09,11:25:52, 15.70,--
2020-12-09,11:40:52, 5.00,--
2020-12-09,11:55:52, 3.90,--
2020-12-09,12:10:52, 3.10,--
2020-12-09,12:40:52, -16.50,--
2020-12-09,12:55:52, -23.90,--
2020-12-09,13:10:52, -21.70,--
2020-12-09,13:25:52, -25.10,--
2020-12-09,13:40:52, -26.00,--
2020-12-09,13:55:52, -16.80,--
2020-12-09,14:10:52, -18.50,--
2020-12-09,14:25:52, -15.90,--
2020-12-09,14:40:52, -14.50,--
2020-12-09,14:55:52, -1.50,--
2020-12-09,15:10:52, 1.10,--
2020-12-09,15:25:52, 1.90,--
2020-12-09,15:40:52, 1.20,--
2020-12-09,15:55:52, 2.50,--
2020-12-09,16:10:52, 3.00,--
2020-12-09,16:25:52, 2.80,--
2020-12-09,16:40:52, 3.90,--
2020-12-09,16:55:52, 6.10,--
2020-12-09,17:10:52, 0.80,--
2020-12-09,17:25:52, 2.50,--
2020-12-09,17:40:52, 3.40,--
2020-12-09,17:55:52, -0.70,--
2020-12-09,18:10:52, 0.10,--
2020-12-09,18:25:52, 0.80,--
2020-12-09,18:40:53, 1.50,--
2020-12-09,18:55:53, 2.00,--
2020-12-09,19:10:53, 2.40,--
2020-12-09,19:25:53, 2.60,--
2020-12-09,19:40:53, -0.50,--
2020-12-09,19:55:53, -0.80,--
2020-12-09,20:10:53, 0.50,--
2020-12-09,20:25:53, 2.50,--
2020-12-09,20:40:53, 0.00,--
2020-12-09,20:55:53, -0.50,--
2020-12-09,21:10:53, 0.40,--
2020-12-09,21:25:53, 1.10,--
2020-12-09,21:40:53, 1.60,--
2020-12-09,21:55:53, 2.00,--
2020-12-09,22:10:53, 2.29,--
2020-12-09,22:25:53, 2.50,--
2020-12-09,22:40:53, 2.70,--
2020-12-09,22:55:53, 1.30,--
2020-12-09,23:10:53, -1.00,--
2020-12-09,23:25:53, -0.20,--
2020-12-09,23:40:53, 0.50,--
2020-12-09,23:55:53, 1.20,--
2020-12-10,00:10:53, 1.70,--
2020-12-10,00:25:53, 3.00,--
2020-12-10,00:40:53, -0.10,--
2020-12-10,00:55:53, -0.30,--
2020-12-10,01:10:53, 0.40,--
2020-12-10,01:25:53, 1.10,--
2020-12-10,01:40:53, 1.50,--
2020-12-10,01:55:53, 1.90,--
2020-12-10,02:10:53, 2.10,--
2020-12-10,02:25:53, 2.29,--
2020-12-10,02:40:53, 2.50,--
2020-12-10,02:55:53, 2.60,--
2020-12-10,03:10:53, 2.80,--
2020-12-10,03:25:53, 2.80,--
2020-12-10,03:40:53, -0.10,--
2020-12-10,03:55:53, -0.30,--
2020-12-10,04:10:53, 0.50,--
2020-12-10,04:25:53, 2.80,--
2020-12-10,04:40:53, -0.40,--
2020-12-10,04:55:53, -0.30,--
2020-12-10,05:10:53, 0.40,--
2020-12-10,05:25:53, 1.00,--
2020-12-10,05:40:53, 1.50,--
2020-12-10,05:55:53, 1.80,--
2020-12-10,05:55:53, 1.80,--
2020-12-10,06:25:53, 2.20,--
2020-12-10,06:40:53, 2.29,--
2020-12-10,06:55:53, 2.50,--
2020-12-10,06:55:53, 2.50,--
2020-12-10,07:25:53, 2.60,--
2020-12-10,07:40:53, 2.80,--
2020-12-10,07:55:53, 1.50,--
2020-12-10,08:10:53, -1.30,--
2020-12-10,08:25:53, 1.30,--
2020-12-10,08:40:53, -19.60,--
2020-12-10,08:55:53, -19.10,--
2020-12-10,09:10:53, -17.89,--
2020-12-10,09:25:53, -15.10,--
2020-12-10,09:40:53, -18.00,--
2020-12-10,09:55:53, 1.70,--
2020-12-10,10:10:53, 2.10,--
2020-12-10,10:25:53, 1.80,--
2020-12-10,10:40:53, 2.40,--
2020-12-10,10:55:53, 0.10,--
2020-12-10,11:10:53, 0.10,--
2020-12-10,11:25:53, 1.10,--
2020-12-10,11:40:53, 1.00,--
2020-12-10,11:55:53, 0.10,--
2020-12-10,12:10:53, 1.80,--
2020-12-10,12:25:53, -16.80,--
2020-12-10,12:40:53, -19.50,--
2020-12-10,12:55:53, -18.60,--
2020-12-10,13:10:53, -19.10,--
2020-12-10,13:25:53, -19.00,--
2020-12-10,13:40:53, 10.00,--
2020-12-10,13:54:33, 18.50,--

