デバイス情報
******************************
デバイスタイプ:	   DR2101
ID:   62200074
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-01 10:13:02
終了時刻:      2020-12-01 10:41:37
測定データ数:      3
測定時間:      0h 28m 35s 
最大値:        24.80℃/47%RH
最小値:        24.20℃/38%RH
平均値:        24.50℃ /40%RH
平均動態温度:24.50℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-01,10:13:02, 24.20,47
2020-12-01,10:32:12, 24.60,42
2020-12-01,10:41:37, 24.80,38

