デバイス情報
******************************
デバイスタイプ:	   ???????????? DL2101

ID:   72200250
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-08-25 11:25:41
終了時刻:      2020-09-01 11:09:01
測定データ数:      664
測定時間:      6d 23h 43m 20s 
最大値:        48.50℃/60%RH
最小値:        23.60℃/19%RH
平均値:        29.50℃ /40%RH
平均動態温度:29.60℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-08-25,11:25:41, 25.40,44
2020-08-25,11:40:38, 25.30,45
2020-08-25,11:53:49, 25.30,43
2020-08-25,12:09:11, 25.20,44
2020-08-25,12:25:27, 25.50,41
2020-08-25,12:39:25, 25.50,42
2020-08-25,12:53:38, 25.80,41
2020-08-25,13:09:27, 25.60,43
2020-08-25,13:24:12, 25.50,43
2020-08-25,13:38:51, 25.70,42
2020-08-25,13:53:02, 25.30,42
2020-08-25,14:09:45, 25.70,40
2020-08-25,14:24:04, 25.70,42
2020-08-25,14:40:29, 25.60,41
2020-08-25,14:53:20, 25.80,40
2020-08-25,15:10:18, 25.80,41
2020-08-25,15:24:34, 25.30,42
2020-08-25,15:38:48, 25.70,39
2020-08-25,15:53:03, 25.40,42
2020-08-25,16:08:49, 25.50,41
2020-08-25,16:25:10, 25.60,41
2020-08-25,16:40:26, 25.70,41
2020-08-25,16:55:26, 25.60,41
2020-08-25,17:09:20, 25.60,42
2020-08-25,17:24:06, 25.30,41
2020-08-25,17:40:00, 25.70,41
2020-08-25,17:55:15, 25.60,42
2020-08-25,18:09:57, 25.80,41
2020-08-25,18:23:43, 25.70,41
2020-08-25,18:40:26, 25.90,41
2020-08-25,18:54:09, 26.10,41
2020-08-25,19:08:09, 26.10,40
2020-08-25,19:22:52, 26.30,39
2020-08-25,19:38:08, 26.80,41
2020-08-25,19:55:23, 27.20,41
2020-08-25,20:09:44, 27.40,42
2020-08-25,20:25:26, 27.70,43
2020-08-25,20:39:50, 27.90,44
2020-08-25,20:53:23, 28.10,44
2020-08-25,21:10:30, 28.20,45
2020-08-25,21:24:17, 28.30,45
2020-08-25,21:39:21, 28.40,45
2020-08-25,21:54:59, 28.50,46
2020-08-25,22:10:35, 28.60,46
2020-08-25,22:25:32, 28.60,46
2020-08-25,22:39:20, 28.70,46
2020-08-25,22:53:17, 28.70,46
2020-08-25,23:07:41, 28.70,47
2020-08-25,23:23:11, 28.80,47
2020-08-25,23:37:52, 28.80,47
2020-08-25,23:53:30, 28.80,47
2020-08-26,00:10:14, 28.80,47
2020-08-26,00:40:33, 28.90,48
2020-08-26,00:54:07, 28.90,48
2020-08-26,01:07:52, 28.90,48
2020-08-26,01:24:17, 28.90,49
2020-08-26,01:55:20, 28.90,49
2020-08-26,02:07:57, 28.90,48
2020-08-26,02:22:38, 28.90,48
2020-08-26,02:39:14, 28.90,49
2020-08-26,02:55:00, 28.90,49
2020-08-26,03:08:52, 28.90,50
2020-08-26,03:25:19, 28.90,49
2020-08-26,03:38:09, 28.90,49
2020-08-26,03:53:54, 28.90,49
2020-08-26,04:08:50, 28.90,50
2020-08-26,04:25:11, 28.90,51
2020-08-26,04:39:50, 28.90,51
2020-08-26,04:54:22, 28.90,51
2020-08-26,05:08:02, 28.90,51
2020-08-26,05:22:46, 28.80,51
2020-08-26,05:54:30, 28.80,52
2020-08-26,06:09:35, 26.70,46
2020-08-26,06:25:33, 25.80,53
2020-08-26,06:38:46, 25.70,50
2020-08-26,06:52:39, 25.70,46
2020-08-26,07:09:09, 25.70,44
2020-08-26,07:23:28, 25.50,43
2020-08-26,07:38:47, 25.40,45
2020-08-26,07:53:06, 25.20,46
2020-08-26,08:10:29, 25.40,43
2020-08-26,08:23:52, 25.20,47
2020-08-26,08:39:12, 25.10,51
2020-08-26,08:55:21, 25.30,50
2020-08-26,09:07:40, 25.20,50
2020-08-26,09:24:23, 25.40,50
2020-08-26,09:39:29, 25.40,46
2020-08-26,09:54:35, 25.30,48
2020-08-26,10:10:13, 25.40,46
2020-08-26,10:22:58, 25.40,49
2020-08-26,10:39:10, 25.60,46
2020-08-26,10:54:13, 25.60,48
2020-08-26,11:09:39, 26.00,46
2020-08-26,11:23:04, 25.70,48
2020-08-26,11:37:39, 26.00,46
2020-08-26,11:53:03, 25.70,47
2020-08-26,12:08:04, 25.80,49
2020-08-26,12:24:14, 25.70,47
2020-08-26,12:39:25, 25.90,47
2020-08-26,12:54:17, 25.70,49
2020-08-26,13:08:17, 24.90,49
2020-08-26,13:25:17, 24.70,49
2020-08-26,13:39:38, 24.30,50
2020-08-26,13:52:41, 24.40,46
2020-08-26,14:07:46, 24.30,49
2020-08-26,14:23:46, 23.90,51
2020-08-26,14:37:41, 23.80,53
2020-08-26,14:52:34, 24.10,52
2020-08-26,15:09:19, 24.20,49
2020-08-26,15:24:29, 24.20,51
2020-08-26,15:39:11, 24.20,55
2020-08-26,15:53:31, 23.80,56
2020-08-26,16:08:49, 23.60,55
2020-08-26,16:23:11, 24.10,57
2020-08-26,16:38:32, 24.20,54
2020-08-26,16:54:03, 24.30,51
2020-08-26,17:09:21, 24.10,58
2020-08-26,17:23:35, 23.90,55
2020-08-26,17:37:32, 23.90,52
2020-08-26,17:52:53, 24.10,60
2020-08-26,18:09:14, 24.20,55
2020-08-26,18:25:03, 24.50,57
2020-08-26,18:38:10, 24.80,55
2020-08-26,18:54:42, 24.80,52
2020-08-26,19:08:27, 24.70,55
2020-08-26,19:24:23, 24.90,53
2020-08-26,19:38:32, 24.70,56
2020-08-26,19:53:16, 25.40,53
2020-08-26,20:09:19, 26.40,52
2020-08-26,20:24:57, 26.90,52
2020-08-26,20:39:20, 27.30,52
2020-08-26,20:52:44, 27.50,51
2020-08-26,21:10:11, 27.80,51
2020-08-26,21:22:40, 28.00,51
2020-08-26,21:38:17, 28.20,51
2020-08-26,21:53:24, 28.30,51
2020-08-26,22:10:06, 28.40,51
2020-08-26,22:24:48, 28.50,51
2020-08-26,22:39:54, 28.60,51
2020-08-26,22:54:08, 28.70,52
2020-08-26,23:08:08, 28.80,51
2020-08-26,23:25:29, 28.90,52
2020-08-26,23:39:32, 28.90,51
2020-08-26,23:52:31, 29.00,51
2020-08-27,00:09:38, 29.10,51
2020-08-27,00:23:38, 29.10,51
2020-08-27,00:38:24, 29.20,51
2020-08-27,00:53:46, 29.20,51
2020-08-27,01:24:27, 29.30,51
2020-08-27,01:39:00, 29.30,52
2020-08-27,01:55:21, 29.30,52
2020-08-27,02:09:34, 29.40,52
2020-08-27,02:25:23, 29.40,52
2020-08-27,02:38:03, 29.40,52
2020-08-27,02:53:27, 29.40,52
2020-08-27,03:08:31, 29.40,52
2020-08-27,03:24:44, 29.40,52
2020-08-27,03:40:00, 29.50,52
2020-08-27,03:55:13, 29.50,52
2020-08-27,04:09:55, 29.50,53
2020-08-27,04:24:56, 29.50,52
2020-08-27,04:39:54, 29.50,52
2020-08-27,04:52:54, 29.50,52
2020-08-27,05:10:04, 29.50,53
2020-08-27,05:22:43, 29.60,53
2020-08-27,05:39:06, 29.60,54
2020-08-27,05:55:23, 29.60,56
2020-08-27,06:08:52, 29.60,55
2020-08-27,06:23:14, 29.60,55
2020-08-27,06:39:55, 29.70,55
2020-08-27,06:54:10, 28.40,48
2020-08-27,07:08:34, 25.80,45
2020-08-27,07:24:26, 25.10,49
2020-08-27,07:39:20, 25.60,51
2020-08-27,08:07:41, 25.20,54
2020-08-27,08:23:01, 24.90,47
2020-08-27,08:38:49, 24.50,50
2020-08-27,08:52:58, 24.40,51
2020-08-27,09:10:22, 23.80,50
2020-08-27,09:24:20, 23.90,52
2020-08-27,09:39:20, 26.70,44
2020-08-27,09:54:00, 39.70,21
2020-08-27,10:09:19, 33.79,27
2020-08-27,10:23:44, 31.90,33
2020-08-27,10:40:06, 31.60,33
2020-08-27,10:54:10, 31.50,33
2020-08-27,11:10:12, 30.70,36
2020-08-27,11:25:04, 29.90,38
2020-08-27,11:39:59, 29.70,39
2020-08-27,11:53:34, 29.70,39
2020-08-27,12:08:09, 29.90,39
2020-08-27,12:22:36, 29.80,39
2020-08-27,12:40:08, 29.50,39
2020-08-27,12:54:47, 29.00,40
2020-08-27,13:10:08, 28.90,39
2020-08-27,13:25:04, 28.90,40
2020-08-27,13:37:56, 28.90,40
2020-08-27,13:54:46, 28.80,40
2020-08-27,14:08:48, 28.80,40
2020-08-27,14:22:31, 28.70,41
2020-08-27,14:38:41, 28.70,41
2020-08-27,14:52:59, 28.70,41
2020-08-27,15:07:55, 28.60,42
2020-08-27,15:24:27, 28.70,41
2020-08-27,15:39:11, 28.70,41
2020-08-27,15:54:40, 28.50,42
2020-08-27,16:09:12, 28.40,42
2020-08-27,16:22:54, 28.20,43
2020-08-27,16:39:39, 28.10,43
2020-08-27,16:55:11, 28.00,42
2020-08-27,17:08:03, 27.90,43
2020-08-27,17:24:35, 28.00,43
2020-08-27,17:38:19, 27.80,42
2020-08-27,17:52:59, 27.60,42
2020-08-27,18:09:11, 27.60,44
2020-08-27,18:23:37, 27.50,44
2020-08-27,18:39:09, 27.00,43
2020-08-27,18:52:58, 27.10,45
2020-08-27,19:10:22, 27.60,46
2020-08-27,19:25:17, 26.80,43
2020-08-27,19:39:26, 26.50,42
2020-08-27,19:53:09, 27.30,44
2020-08-27,20:08:09, 27.80,46
2020-08-27,20:23:33, 28.20,48
2020-08-27,20:38:59, 28.50,49
2020-08-27,20:54:04, 28.80,50
2020-08-27,21:08:29, 29.00,49
2020-08-27,21:23:18, 29.20,49
2020-08-27,21:39:22, 29.30,49
2020-08-27,21:54:52, 29.40,49
2020-08-27,22:08:21, 29.50,49
2020-08-27,22:22:51, 29.60,49
2020-08-27,22:40:08, 29.60,49
2020-08-27,22:53:41, 29.70,49
2020-08-27,23:09:55, 29.70,49
2020-08-27,23:25:03, 29.80,49
