デバイス情報
******************************
デバイスタイプ:	   DL2101
ID:   72200250
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-09-25 17:33:31
終了時刻:      2020-10-02 17:32:33
測定データ数:      669
測定時間:      6d 23h 59m 2s 
最大値:        26.20℃/67%RH
最小値:        21.60℃/44%RH
平均値:        23.50℃ /50%RH
平均動態温度:23.50℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-09-25,17:33:31, 23.90,65
2020-09-25,17:48:52, 24.10,67
2020-09-25,18:03:11, 23.90,62
2020-09-25,18:18:09, 23.80,65
2020-09-25,18:36:00, 23.80,66
2020-09-25,18:49:39, 23.70,66
2020-09-25,19:06:01, 23.50,55
2020-09-25,19:33:30, 23.20,57
2020-09-25,19:50:10, 23.20,59
2020-09-25,20:03:16, 23.00,57
2020-09-25,20:18:37, 23.00,63
2020-09-25,20:35:01, 22.90,55
2020-09-25,20:48:16, 22.80,55
2020-09-25,21:04:14, 22.80,60
2020-09-25,21:18:26, 22.70,56
2020-09-25,21:34:55, 22.70,60
2020-09-25,21:48:10, 22.80,59
2020-09-25,22:03:30, 22.90,60
2020-09-25,22:20:36, 23.00,60
2020-09-25,22:35:32, 23.00,60
2020-09-25,22:48:25, 23.00,60
2020-09-25,23:04:43, 23.10,60
2020-09-25,23:19:34, 23.10,60
2020-09-25,23:35:20, 23.10,60
2020-09-25,23:50:07, 23.10,60
2020-09-26,00:04:12, 23.10,60
2020-09-26,00:19:07, 23.10,61
2020-09-26,00:34:12, 23.10,61
2020-09-26,00:51:00, 23.10,61
2020-09-26,01:03:08, 23.10,61
2020-09-26,01:19:31, 23.10,61
2020-09-26,01:34:04, 23.10,61
2020-09-26,01:50:19, 23.10,61
2020-09-26,02:03:29, 23.10,61
2020-09-26,02:20:51, 23.10,61
2020-09-26,02:34:27, 23.00,62
2020-09-26,02:49:42, 23.00,62
2020-09-26,03:03:57, 22.90,63
2020-09-26,03:19:48, 22.90,63
2020-09-26,03:35:50, 22.80,63
2020-09-26,03:50:51, 22.80,64
2020-09-26,04:04:09, 22.80,63
2020-09-26,04:20:53, 22.80,63
2020-09-26,04:33:05, 22.80,63
2020-09-26,04:48:55, 22.90,63
2020-09-26,05:04:01, 22.80,63
2020-09-26,05:20:31, 22.80,63
2020-09-26,05:33:26, 22.70,64
2020-09-26,05:48:47, 22.70,64
2020-09-26,06:03:04, 22.70,63
2020-09-26,06:20:07, 22.70,64
2020-09-26,06:35:56, 22.60,64
2020-09-26,06:50:21, 22.70,64
2020-09-26,07:03:10, 22.70,64
2020-09-26,07:18:37, 22.70,63
2020-09-26,07:34:53, 22.70,63
2020-09-26,07:49:04, 22.80,63
2020-09-26,08:03:36, 22.80,63
2020-09-26,08:19:25, 22.80,63
2020-09-26,08:33:03, 22.80,63
2020-09-26,08:48:18, 22.90,63
2020-09-26,09:05:38, 22.90,63
2020-09-26,09:18:52, 22.80,63
2020-09-26,09:34:59, 22.80,63
2020-09-26,09:49:41, 22.80,63
2020-09-26,10:04:44, 22.90,63
2020-09-26,10:18:28, 22.80,63
2020-09-26,10:33:19, 22.90,63
2020-09-26,10:50:07, 22.90,63
2020-09-26,11:04:25, 22.90,63
2020-09-26,11:19:25, 23.00,63
2020-09-26,11:33:34, 23.00,63
2020-09-26,11:49:15, 23.00,63
2020-09-26,12:04:15, 23.00,63
2020-09-26,12:18:13, 23.00,62
2020-09-26,12:34:55, 22.90,63
2020-09-26,12:50:38, 22.90,63
2020-09-26,13:03:18, 23.00,62
2020-09-26,13:20:55, 23.00,63
2020-09-26,13:33:59, 23.00,62
2020-09-26,13:50:14, 22.90,63
2020-09-26,14:03:18, 22.90,63
2020-09-26,14:20:35, 22.90,63
2020-09-26,14:33:01, 22.90,63
2020-09-26,14:50:00, 22.90,63
2020-09-26,15:05:44, 22.90,63
2020-09-26,15:19:55, 22.90,63
2020-09-26,15:35:53, 22.90,63
2020-09-26,15:50:08, 22.80,63
2020-09-26,16:03:11, 22.80,63
2020-09-26,16:19:53, 22.80,63
2020-09-26,16:33:36, 22.70,63
2020-09-26,16:49:38, 22.70,63
2020-09-26,17:04:48, 22.60,64
