デバイス情報
******************************
デバイスタイプ:	   ???????????? DL2101

ID:   82190010
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-08-25 11:33:28
終了時刻:      2020-09-01 11:16:32
測定データ数:      668
測定時間:      6d 23h 43m 4s 
最大値:        33.70℃/95.6%RH
最小値:        22.90℃/34.79%RH
平均値:        28.10℃ /40%RH
平均動態温度:28.20℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-08-25,11:33:28, 25.30,41.4
2020-08-25,11:46:15, 24.80,42.8
2020-08-25,12:03:17, 24.90,40.7
2020-08-25,12:17:32, 25.10,41.9
2020-08-25,12:31:59, 24.90,41
2020-08-25,12:45:41, 25.50,40.79
2020-08-25,13:01:03, 25.30,41.4
2020-08-25,13:15:41, 25.40,40.7
2020-08-25,13:32:10, 25.00,42.1
2020-08-25,13:47:10, 25.10,39.7
2020-08-25,14:02:21, 25.10,40.5
2020-08-25,14:16:36, 25.00,41.4
2020-08-25,14:31:03, 25.50,39.29
2020-08-25,14:46:14, 25.20,40.2
2020-08-25,15:02:10, 25.00,40.9
2020-08-25,15:18:27, 25.40,39
2020-08-25,15:30:52, 25.20,39.79
2020-08-25,15:48:16, 25.10,40.29
2020-08-25,16:02:09, 25.30,39.5
2020-08-25,16:17:54, 25.20,40.5
2020-08-25,16:30:52, 25.20,41.5
2020-08-25,16:47:31, 25.40,40.1
2020-08-25,17:01:25, 25.10,40.6
2020-08-25,17:15:51, 25.20,40.5
2020-08-25,17:31:25, 25.10,41.4
2020-08-25,17:46:36, 24.80,42.3
2020-08-25,18:01:25, 25.20,40.2
2020-08-25,18:18:27, 25.60,39.5
2020-08-25,18:31:25, 25.30,40.79
2020-08-25,18:47:31, 25.50,39.29
2020-08-25,19:01:47, 25.80,40.6
2020-08-25,19:33:04, 25.70,38.1
2020-08-25,19:46:02, 26.70,40.1
2020-08-25,20:02:53, 27.10,40.7
2020-08-25,20:17:31, 27.40,41.5
2020-08-25,20:32:09, 27.60,42.3
2020-08-25,20:46:57, 27.80,43
2020-08-25,21:01:13, 28.00,43.1
2020-08-25,21:15:51, 28.10,43.4
2020-08-25,21:33:15, 28.20,43.7
2020-08-25,21:47:53, 28.40,44.1
2020-08-25,22:01:35, 28.50,44.5
2020-08-25,22:15:39, 28.50,44.8
2020-08-25,22:30:28, 28.50,44.7
2020-08-25,22:45:28, 28.60,45
2020-08-25,23:01:35, 28.60,45.3
2020-08-25,23:15:39, 28.60,45.1
2020-08-25,23:30:39, 28.70,45.1
2020-08-25,23:47:41, 28.70,45.2
2020-08-26,00:01:57, 28.70,45.4
2020-08-26,00:16:35, 28.70,45.4
2020-08-26,00:32:30, 28.70,45.6
2020-08-26,00:47:41, 28.70,45.8
2020-08-26,01:01:23, 28.80,45.9
2020-08-26,01:16:12, 28.80,46
2020-08-26,01:30:39, 28.80,46.3
2020-08-26,01:47:30, 28.80,46.8
2020-08-26,02:00:28, 28.80,46.6
2020-08-26,02:16:01, 28.80,46.4
2020-08-26,02:32:19, 28.80,46.7
2020-08-26,02:47:30, 28.80,47.1
2020-08-26,03:02:52, 28.80,47.2
2020-08-26,03:16:12, 28.80,47
2020-08-26,03:31:45, 28.80,46.9
2020-08-26,03:48:14, 28.80,47
2020-08-26,04:02:41, 28.80,47.8
2020-08-26,04:17:52, 28.80,48.2
2020-08-26,04:31:12, 28.80,49.2
2020-08-26,04:45:38, 28.80,48.8
2020-08-26,05:03:03, 28.80,49.1
2020-08-26,05:16:00, 28.80,49.3
2020-08-26,05:30:27, 28.80,49.1
2020-08-26,05:46:11, 28.80,49.1
2020-08-26,06:01:23, 28.80,49.2
2020-08-26,06:16:56, 25.80,51.1
2020-08-26,06:33:02, 25.30,54.6
