デバイス情報
******************************
デバイスタイプ:	   DL2101
ID:   82190010
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-23 14:28:43
終了時刻:      2020-12-24 14:28:44
測定データ数:      202
測定時間:      1d 0h 0m 1s 
最大値:        23.00℃/44.7%RH
最小値:        12.50℃/23.6%RH
平均値:        15.60℃ /30%RH
平均動態温度:15.70℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-23,14:28:43, 21.20,24
2020-12-23,14:28:43, 21.20,24
2020-12-23,14:28:43, 21.20,24
2020-12-23,14:28:43, 21.20,24
2020-12-23,14:28:43, 21.20,24
2020-12-23,14:28:43, 21.20,24
2020-12-23,14:43:43, 21.40,23.9
2020-12-23,14:43:43, 21.40,23.9
2020-12-23,14:58:43, 21.60,23.6
2020-12-23,14:58:43, 21.60,23.6
2020-12-23,15:13:43, 21.70,24.8
2020-12-23,15:13:43, 21.70,24.8
2020-12-23,15:28:43, 21.40,27.8
2020-12-23,15:28:43, 21.40,27.8
2020-12-23,15:43:43, 22.10,28.2
2020-12-23,15:43:43, 22.10,28.2
2020-12-23,15:58:43, 22.50,27.4
2020-12-23,15:58:43, 22.50,27.4
2020-12-23,16:13:43, 22.80,27.2
2020-12-23,16:13:43, 22.80,27.2
2020-12-23,16:28:43, 23.00,26.7
2020-12-23,16:28:43, 23.00,26.7
2020-12-23,16:43:43, 22.70,25.8
2020-12-23,16:43:43, 22.70,25.8
2020-12-23,16:58:43, 19.20,29.4
2020-12-23,16:58:43, 19.20,29.4
2020-12-23,17:13:43, 17.80,31.4
2020-12-23,17:13:43, 17.80,31.4
2020-12-23,17:28:43, 16.89,33.29
2020-12-23,17:28:43, 16.89,33.29
2020-12-23,17:43:43, 16.20,34.6
2020-12-23,17:43:43, 16.20,34.6
2020-12-23,17:58:43, 15.60,35.4
2020-12-23,17:58:43, 15.60,35.4
2020-12-23,17:58:43, 15.60,35.4
2020-12-23,17:58:43, 15.60,35.4
2020-12-23,18:13:43, 15.10,35.9
2020-12-23,18:13:43, 15.10,35.9
2020-12-23,18:28:43, 14.80,36.7
2020-12-23,18:28:43, 14.80,36.7
2020-12-23,18:43:43, 14.50,37.5
2020-12-23,18:43:43, 14.50,37.5
2020-12-23,18:58:43, 14.30,37.6
2020-12-23,18:58:43, 14.30,37.6
2020-12-23,19:13:43, 14.10,38
2020-12-23,19:13:43, 14.10,38
2020-12-23,19:28:43, 14.00,38.2
2020-12-23,19:28:43, 14.00,38.2
2020-12-23,19:43:43, 13.90,38.29
2020-12-23,19:43:43, 13.90,38.29
2020-12-23,19:58:43, 13.80,38.9
2020-12-23,19:58:43, 13.80,38.9
2020-12-23,20:13:43, 13.70,39.2
2020-12-23,20:13:43, 13.70,39.2
2020-12-23,20:28:43, 13.70,40
2020-12-23,20:28:43, 13.70,40
2020-12-23,20:43:43, 13.70,40.79
2020-12-23,20:43:43, 13.70,40.79
2020-12-23,20:58:43, 13.70,41.2
2020-12-23,20:58:43, 13.70,41.2
2020-12-23,21:13:43, 13.60,41.2
2020-12-23,21:13:43, 13.60,41.2
2020-12-23,21:28:43, 13.60,41.3
2020-12-23,21:28:43, 13.60,41.3
2020-12-23,21:43:43, 13.60,41.6
2020-12-23,21:43:43, 13.60,41.6
2020-12-23,21:58:43, 13.50,41.8
2020-12-23,21:58:43, 13.50,41.8
2020-12-23,22:13:43, 13.50,41.9
2020-12-23,22:13:43, 13.50,41.9
2020-12-23,22:28:43, 13.50,42.1
2020-12-23,22:28:43, 13.50,42.1
2020-12-23,22:43:43, 13.40,42.3
2020-12-23,22:43:43, 13.40,42.3
2020-12-23,22:58:43, 13.40,42.6
2020-12-23,22:58:43, 13.40,42.6
2020-12-23,23:13:43, 13.40,42.7
2020-12-23,23:13:43, 13.40,42.7
2020-12-23,23:28:43, 13.40,42.8
2020-12-23,23:28:43, 13.40,42.8
2020-12-23,23:43:43, 13.40,42.9
2020-12-23,23:43:43, 13.40,42.9
2020-12-23,23:58:43, 13.40,43.1
2020-12-23,23:58:43, 13.40,43.1
2020-12-24,00:13:43, 13.40,43.2
2020-12-24,00:13:43, 13.40,43.2
2020-12-24,00:28:43, 13.30,43.4
2020-12-24,00:28:43, 13.30,43.4
2020-12-24,00:43:43, 13.30,43.3
2020-12-24,00:43:43, 13.30,43.3
2020-12-24,00:58:43, 13.30,43.5
2020-12-24,00:58:43, 13.30,43.5
2020-12-24,01:13:43, 13.30,43.4
2020-12-24,01:13:43, 13.30,43.4
2020-12-24,01:28:43, 13.30,43.4
2020-12-24,01:28:43, 13.30,43.4
2020-12-24,01:43:43, 13.20,42.9
2020-12-24,01:43:43, 13.20,42.9
2020-12-24,01:58:43, 13.20,42.7
2020-12-24,01:58:43, 13.20,42.7
2020-12-24,02:13:44, 13.20,42.4
2020-12-24,02:13:44, 13.20,42.4
2020-12-24,02:28:44, 13.10,42.2
2020-12-24,02:28:44, 13.10,42.2
2020-12-24,02:43:44, 13.10,42.1
2020-12-24,02:43:44, 13.10,42.1
2020-12-24,02:58:44, 13.10,41.9
2020-12-24,02:58:44, 13.10,41.9
2020-12-24,03:13:44, 13.10,41.7
2020-12-24,03:13:44, 13.10,41.7
2020-12-24,03:28:44, 13.00,41.7
2020-12-24,03:28:44, 13.00,41.7
2020-12-24,03:43:44, 13.00,41.6
2020-12-24,03:43:44, 13.00,41.6
2020-12-24,03:58:44, 13.00,41.6
2020-12-24,03:58:44, 13.00,41.6
2020-12-24,04:13:44, 12.90,41.5
2020-12-24,04:13:44, 12.90,41.5
2020-12-24,04:28:44, 12.90,41.5
2020-12-24,04:28:44, 12.90,41.5
2020-12-24,04:43:44, 12.90,41.5
2020-12-24,04:43:44, 12.90,41.5
2020-12-24,04:58:44, 12.80,41.4
2020-12-24,04:58:44, 12.80,41.4
2020-12-24,05:13:44, 12.80,41.3
2020-12-24,05:13:44, 12.80,41.3
2020-12-24,05:28:44, 12.80,41.4
2020-12-24,05:28:44, 12.80,41.4
2020-12-24,05:43:44, 12.70,41.2
2020-12-24,05:43:44, 12.70,41.2
2020-12-24,05:58:44, 12.70,41.2
2020-12-24,05:58:44, 12.70,41.2
2020-12-24,06:13:44, 12.60,41.1
2020-12-24,06:13:44, 12.60,41.1
2020-12-24,06:28:44, 12.60,41
2020-12-24,06:28:44, 12.60,41
2020-12-24,06:43:44, 12.60,40.9
2020-12-24,06:43:44, 12.60,40.9
2020-12-24,06:58:44, 12.60,42.6
2020-12-24,06:58:44, 12.60,42.6
2020-12-24,07:13:44, 12.60,43.4
2020-12-24,07:13:44, 12.60,43.4
2020-12-24,07:28:44, 12.60,44.7
2020-12-24,07:28:44, 12.60,44.7
2020-12-24,07:43:44, 12.60,43.8
2020-12-24,07:43:44, 12.60,43.8
2020-12-24,07:58:44, 12.60,42.9
2020-12-24,07:58:44, 12.60,42.9
2020-12-24,08:13:44, 12.60,42.8
2020-12-24,08:13:44, 12.60,42.8
2020-12-24,08:28:44, 12.50,41.4
2020-12-24,08:28:44, 12.50,41.4
2020-12-24,08:43:44, 12.50,41.7
2020-12-24,08:43:44, 12.50,41.7
2020-12-24,08:58:44, 12.50,41.6
2020-12-24,08:58:44, 12.50,41.6
2020-12-24,09:13:44, 12.50,41.7
2020-12-24,09:13:44, 12.50,41.7
2020-12-24,09:28:44, 12.50,41.5
2020-12-24,09:28:44, 12.50,41.5
2020-12-24,09:43:44, 15.20,39.9
2020-12-24,09:43:44, 15.20,39.9
2020-12-24,09:43:44, 15.20,39.9
2020-12-24,09:43:44, 15.20,39.9
2020-12-24,09:58:44, 18.10,33.79
2020-12-24,09:58:44, 18.10,33.79
2020-12-24,10:13:44, 19.39,29.3
2020-12-24,10:13:44, 19.39,29.3
2020-12-24,10:28:44, 19.89,29.1
2020-12-24,10:28:44, 19.89,29.1
2020-12-24,10:43:44, 21.10,28
2020-12-24,10:43:44, 21.10,28
2020-12-24,10:58:44, 21.90,28
