デバイス情報
******************************
デバイスタイプ:	   長距離無線温湿度センサー
ID:   82190010
測定間隔:   15 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2021-02-17 15:02:05
終了時刻:      2021-02-18 15:02:06
測定データ数:      97
測定時間:      1d 0h 0m 1s 
最大値:        12.80℃/45.1%RH
最小値:        11.70℃/40%RH
平均値:        12.30℃ /40%RH
平均動態温度:12.30℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2021-02-17,15:02:05, 12.80,45.1
2021-02-17,15:17:05, 12.80,45
2021-02-17,15:32:05, 12.80,45.1
2021-02-17,15:47:05, 12.80,45
2021-02-17,16:02:05, 12.80,45
2021-02-17,16:17:05, 12.80,45
2021-02-17,16:32:05, 12.80,44.9
2021-02-17,16:47:05, 12.80,44.8
2021-02-17,17:02:05, 12.80,44.8
2021-02-17,17:17:05, 12.80,44.7
2021-02-17,17:32:05, 12.70,44.7
2021-02-17,17:47:05, 12.70,44.5
2021-02-17,18:02:05, 12.60,44.4
2021-02-17,18:17:05, 12.60,44.3
2021-02-17,18:32:05, 12.50,44.3
2021-02-17,18:47:05, 12.50,44.2
2021-02-17,19:02:05, 12.50,44.2
2021-02-17,19:17:05, 12.50,44
2021-02-17,19:32:05, 12.50,44
2021-02-17,19:47:05, 12.50,43.9
2021-02-17,20:02:05, 12.50,43.8
2021-02-17,20:17:05, 12.40,43.8
2021-02-17,20:32:05, 12.40,43.8
2021-02-17,20:47:05, 12.40,43.7
2021-02-17,21:02:05, 12.40,43.7
2021-02-17,21:17:05, 12.50,43.7
2021-02-17,21:32:05, 12.40,43.7
2021-02-17,21:47:05, 12.50,43.6
2021-02-17,22:02:05, 12.50,43.6
2021-02-17,22:17:05, 12.50,43.6
2021-02-17,22:32:05, 12.50,43.5
2021-02-17,22:47:05, 12.50,43.5
2021-02-17,23:02:05, 12.50,43.4
2021-02-17,23:17:05, 12.50,43.4
2021-02-17,23:32:05, 12.50,43.4
2021-02-17,23:47:05, 12.50,43.3
2021-02-18,00:02:05, 12.50,43.3
2021-02-18,00:17:05, 12.50,43.3
2021-02-18,00:32:05, 12.50,43.2
2021-02-18,00:47:05, 12.50,43.2
2021-02-18,01:02:05, 12.50,43.1
2021-02-18,01:17:05, 12.50,43.1
2021-02-18,01:32:05, 12.50,43
2021-02-18,01:47:05, 12.50,43
2021-02-18,02:02:05, 12.50,43
2021-02-18,02:17:05, 12.50,42.9
2021-02-18,02:32:05, 12.50,42.9
2021-02-18,02:47:05, 12.50,42.9
2021-02-18,03:02:05, 12.50,42.8
2021-02-18,03:17:05, 12.50,42.8
2021-02-18,03:32:05, 12.50,42.8
2021-02-18,03:47:05, 12.50,42.7
2021-02-18,04:02:05, 12.50,42.6
2021-02-18,04:17:05, 12.50,42.6
2021-02-18,04:32:05, 12.40,42.5
2021-02-18,04:47:05, 12.40,42.5
2021-02-18,05:02:05, 12.50,42.5
2021-02-18,05:17:05, 12.50,42.4
2021-02-18,05:32:05, 12.50,42.4
2021-02-18,05:47:05, 12.50,42.4
2021-02-18,06:02:05, 12.50,42.3
2021-02-18,06:17:05, 12.40,42.3
2021-02-18,06:32:05, 12.40,42.2
2021-02-18,06:47:05, 12.40,42.2
2021-02-18,07:02:05, 12.40,42.1
2021-02-18,07:17:05, 12.40,42.1
2021-02-18,07:32:05, 12.40,42.1
2021-02-18,07:47:06, 12.40,42
2021-02-18,08:02:06, 12.40,41.9
2021-02-18,08:17:06, 12.40,41.9
2021-02-18,08:32:06, 12.30,41.7
2021-02-18,08:47:06, 12.20,41.5
2021-02-18,09:02:06, 12.20,41.2
2021-02-18,09:17:06, 12.10,41
2021-02-18,09:32:06, 12.00,40.79
2021-02-18,09:47:06, 11.90,40.79
2021-02-18,10:02:06, 11.80,40.7
2021-02-18,10:17:06, 11.80,40.6
2021-02-18,10:32:06, 11.80,40.6
2021-02-18,10:47:06, 11.80,40.6
2021-02-18,11:02:06, 11.80,40.6
2021-02-18,11:17:06, 11.70,40.5
2021-02-18,11:32:06, 11.70,40.5
2021-02-18,11:47:06, 11.70,40.4
2021-02-18,12:02:06, 11.80,40.4
2021-02-18,12:17:06, 11.70,40.4
2021-02-18,12:32:06, 11.80,40.29
2021-02-18,12:47:06, 11.80,40.29
2021-02-18,13:02:06, 11.80,40.29
2021-02-18,13:17:06, 11.80,40.2
2021-02-18,13:32:06, 11.80,40.2
2021-02-18,13:47:06, 11.80,40.2
2021-02-18,14:02:06, 11.80,40.1
2021-02-18,14:17:06, 11.80,40.1
2021-02-18,14:32:06, 11.80,40
2021-02-18,14:47:06, 11.80,40
2021-02-18,15:02:06, 11.80,40

