デバイス情報
******************************
デバイスタイプ:	   DL2101
ID:   82190015
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-23 11:04:02
終了時刻:      2020-12-23 11:14:02
測定データ数:      11
測定時間:      0h 10m 0s 
最大値:        23.00℃/54.9%RH
最小値:        22.60℃/52.6%RH
平均値:        22.80℃ /50%RH
平均動態温度:22.80℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-23,11:04:02, 23.00,53.4
2020-12-23,11:05:02, 23.00,53.1
2020-12-23,11:06:02, 22.90,52.8
2020-12-23,11:07:02, 22.70,52.7
2020-12-23,11:08:02, 22.60,53.2
2020-12-23,11:09:02, 22.70,54.2
2020-12-23,11:10:02, 22.80,54.9
2020-12-23,11:11:02, 22.90,52.9
2020-12-23,11:12:02, 22.90,52.6
2020-12-23,11:13:02, 22.70,54.2
2020-12-23,11:14:02, 22.70,53.8

