デバイス情報
******************************
デバイスタイプ:	   DL2101
ID:   82190015
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-24 14:37:51
終了時刻:      2020-12-24 15:18:08
測定データ数:      42
測定時間:      0h 40m 17s 
最大値:        23.00℃/66.7%RH
最小値:        22.30℃/61.1%RH
平均値:        22.70℃ /60%RH
平均動態温度:22.70℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-24,14:37:51, 22.30,66.7
2020-12-24,14:38:51, 22.50,64.09
2020-12-24,14:39:51, 22.50,65.09
2020-12-24,14:40:51, 22.60,64.2
2020-12-24,14:41:51, 22.60,63.5
2020-12-24,14:42:51, 22.70,64.9
2020-12-24,14:43:51, 22.70,64.59
2020-12-24,14:44:51, 22.70,62.7
2020-12-24,14:45:51, 22.70,64
2020-12-24,14:46:51, 22.70,66.4
2020-12-24,14:47:51, 22.70,63.2
2020-12-24,14:49:10, 22.80,64.5
2020-12-24,14:49:47, 22.80,62.4
2020-12-24,14:50:08, 22.80,63.1
2020-12-24,14:51:08, 22.90,64.09
2020-12-24,14:52:08, 22.90,62.9
2020-12-24,14:53:08, 23.00,62.1
2020-12-24,14:54:08, 22.90,62
2020-12-24,14:55:08, 23.00,62.4
2020-12-24,14:56:08, 22.90,62.1
2020-12-24,14:57:08, 22.90,61.1
2020-12-24,14:58:08, 22.80,61.3
2020-12-24,14:59:08, 22.80,61.2
2020-12-24,15:00:08, 22.70,62.6
2020-12-24,15:01:08, 22.80,61.4
2020-12-24,15:02:08, 22.80,63.8
2020-12-24,15:03:08, 22.80,63.1
2020-12-24,15:04:08, 22.80,63.7
2020-12-24,15:05:08, 22.80,63.3
2020-12-24,15:06:08, 22.90,63.4
2020-12-24,15:07:08, 22.90,61.8
2020-12-24,15:08:08, 23.00,61.5
2020-12-24,15:09:08, 22.90,61.2
2020-12-24,15:10:08, 22.70,61.2
2020-12-24,15:11:08, 22.60,61.6
2020-12-24,15:12:08, 22.60,62
2020-12-24,15:13:08, 22.70,62.1
2020-12-24,15:14:08, 22.70,61.9
2020-12-24,15:15:08, 22.70,61.6
2020-12-24,15:16:08, 22.60,61.8
2020-12-24,15:17:08, 22.50,62.1
2020-12-24,15:18:08, 22.50,63.3

