デバイス情報
******************************
デバイスタイプ:	   DR1201
ID:   C1200002
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-01 12:41:55
終了時刻:      2020-12-07 19:53:57
測定データ数:      877
測定時間:      6d 7h 12m 2s 
最大値:        26.50℃/--%RH
最小値:        3.50℃/--%RH
平均値:        21.80℃ /--%RH
平均動態温度:21.80℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-01,12:41:55, 21.00,--
2020-12-01,12:46:59, 21.80,--
2020-12-01,22:51:01, 26.50,--
2020-12-01,22:56:05, 26.50,--
2020-12-01,23:01:09, 26.50,--
2020-12-01,23:11:19, 26.50,--
2020-12-01,23:16:23, 26.50,--
2020-12-01,23:21:27, 26.50,--
2020-12-01,23:26:31, 26.30,--
2020-12-01,23:31:35, 26.30,--
2020-12-01,23:36:39, 26.00,--
2020-12-01,23:44:21, 24.30,--
2020-12-01,23:49:25, 24.10,--
2020-12-01,23:54:29, 24.10,--
2020-12-01,23:59:33, 24.00,--
2020-12-02,00:04:37, 24.10,--
2020-12-02,00:09:41, 24.30,--
2020-12-02,00:14:45, 24.30,--
2020-12-02,00:19:49, 24.50,--
2020-12-02,00:24:53, 24.50,--
2020-12-02,00:29:57, 24.50,--
2020-12-02,00:35:01, 24.50,--
2020-12-02,00:40:05, 24.30,--
2020-12-02,00:45:09, 24.30,--
2020-12-02,00:50:13, 24.30,--
2020-12-02,00:55:17, 24.20,--
2020-12-02,01:00:21, 24.20,--
2020-12-02,01:05:25, 24.20,--
2020-12-02,01:10:29, 24.10,--
2020-12-02,01:15:33, 24.10,--
2020-12-02,01:20:37, 24.10,--
2020-12-02,01:25:41, 24.10,--
2020-12-02,01:30:45, 24.00,--
2020-12-02,01:35:49, 24.00,--
2020-12-02,01:40:53, 24.00,--
2020-12-02,01:45:57, 24.00,--
2020-12-02,01:51:02, 23.80,--
2020-12-02,01:56:06, 23.80,--
2020-12-02,02:01:10, 23.80,--
2020-12-02,02:06:14, 23.80,--
2020-12-02,02:11:18, 23.80,--
2020-12-02,02:16:22, 23.80,--
2020-12-02,02:21:26, 23.80,--
2020-12-02,02:26:30, 23.70,--
2020-12-02,02:31:34, 23.70,--
2020-12-02,02:36:38, 23.70,--
2020-12-02,02:41:42, 23.80,--
2020-12-02,02:46:46, 23.80,--
2020-12-02,02:51:50, 24.00,--
2020-12-02,02:56:54, 24.10,--
2020-12-02,03:01:58, 24.20,--
2020-12-02,03:07:02, 24.20,--
2020-12-02,03:12:06, 24.30,--
2020-12-02,03:17:10, 24.30,--
2020-12-02,03:22:14, 24.50,--
2020-12-02,03:27:18, 24.50,--
2020-12-02,03:32:22, 24.50,--
2020-12-02,03:37:26, 24.50,--
2020-12-02,03:42:30, 24.50,--
2020-12-02,03:47:34, 24.30,--
2020-12-02,03:52:38, 24.30,--
2020-12-02,03:57:42, 24.20,--
2020-12-02,04:02:46, 24.10,--
2020-12-02,04:07:50, 24.10,--
2020-12-02,04:12:54, 24.00,--
2020-12-02,04:17:58, 24.00,--
2020-12-02,04:23:02, 23.80,--
2020-12-02,04:28:07, 23.80,--
2020-12-02,04:33:11, 23.70,--
2020-12-02,04:38:15, 23.70,--
2020-12-02,04:43:19, 23.70,--
2020-12-02,04:48:23, 23.60,--
2020-12-02,04:53:27, 23.60,--
2020-12-02,04:58:31, 23.60,--
2020-12-02,05:03:35, 23.50,--
2020-12-02,05:08:39, 23.50,--
2020-12-02,05:13:43, 23.50,--
2020-12-02,05:18:47, 23.50,--
2020-12-02,05:23:51, 23.30,--
2020-12-02,05:28:55, 23.30,--
2020-12-02,05:33:59, 23.30,--
2020-12-02,05:39:03, 23.30,--
2020-12-02,05:44:07, 23.30,--
2020-12-02,05:49:11, 23.30,--
2020-12-02,05:54:15, 23.20,--
2020-12-02,05:59:19, 23.20,--
2020-12-02,06:04:23, 23.20,--
2020-12-02,06:09:27, 23.20,--
2020-12-02,06:14:31, 23.20,--
2020-12-02,06:19:35, 23.20,--
2020-12-02,06:24:39, 23.10,--
2020-12-02,06:29:43, 23.10,--
2020-12-02,06:34:47, 23.10,--
2020-12-02,06:39:51, 23.10,--
2020-12-02,06:44:55, 23.10,--
2020-12-02,06:49:59, 23.10,--
2020-12-02,06:55:04, 23.00,--
2020-12-02,07:00:08, 23.00,--
2020-12-02,07:05:12, 23.00,--
2020-12-02,07:10:16, 23.00,--
2020-12-02,07:15:20, 23.00,--
2020-12-02,07:20:24, 23.00,--
2020-12-02,07:25:28, 23.00,--
2020-12-02,07:30:32, 23.00,--
2020-12-02,07:35:36, 22.80,--
2020-12-02,07:40:40, 22.80,--
2020-12-02,07:45:44, 22.80,--
2020-12-02,07:50:48, 22.80,--
2020-12-02,07:55:52, 22.80,--
2020-12-02,08:00:56, 22.80,--
2020-12-02,08:06:00, 22.80,--
2020-12-02,08:11:04, 22.80,--
2020-12-02,08:16:08, 22.70,--
2020-12-02,08:21:12, 22.70,--
2020-12-02,08:26:16, 22.70,--
2020-12-02,08:31:20, 22.70,--
2020-12-02,08:36:24, 22.70,--
2020-12-02,08:41:28, 22.70,--
2020-12-02,08:46:32, 22.70,--
2020-12-02,08:51:36, 22.70,--
2020-12-02,08:56:40, 22.60,--
2020-12-02,09:01:44, 22.60,--
2020-12-02,09:06:48, 22.60,--
2020-12-02,09:11:52, 22.60,--
2020-12-02,09:16:56, 22.60,--
2020-12-02,09:22:00, 22.60,--
2020-12-02,09:27:05, 22.60,--
2020-12-02,09:32:09, 22.60,--
2020-12-02,09:37:13, 22.60,--
2020-12-02,09:42:17, 22.50,--
2020-12-02,09:47:21, 22.50,--
2020-12-02,09:52:25, 22.50,--
2020-12-02,09:57:29, 22.50,--
2020-12-02,10:02:33, 22.50,--
2020-12-02,10:07:37, 22.50,--
2020-12-02,10:12:41, 22.50,--
2020-12-02,10:17:45, 22.30,--
2020-12-02,10:22:49, 22.30,--
2020-12-02,10:27:53, 22.30,--
2020-12-02,10:32:57, 22.30,--
2020-12-02,10:38:01, 22.30,--
2020-12-02,10:43:05, 22.30,--
2020-12-02,10:48:09, 22.30,--
2020-12-02,10:53:13, 22.30,--
2020-12-02,10:58:17, 22.30,--
2020-12-02,11:03:21, 22.20,--
2020-12-02,11:08:25, 22.20,--
2020-12-02,11:13:29, 22.20,--
2020-12-02,11:18:33, 22.20,--
2020-12-02,11:23:37, 22.20,--
2020-12-02,11:28:41, 22.20,--
2020-12-02,11:33:45, 22.20,--
2020-12-02,11:38:49, 22.20,--
2020-12-02,11:43:53, 22.20,--
2020-12-02,11:48:57, 22.20,--
2020-12-02,11:54:01, 22.10,--
2020-12-02,11:59:06, 22.10,--
