デバイス情報
******************************
デバイスタイプ:	   中距離無線温度センサー
ID:   C1200505
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2021-02-12 10:21:28
終了時刻:      2021-02-12 18:13:17
測定データ数:      415
測定時間:      7h 51m 49s 
最大値:        23.00℃/--%RH
最小値:        19.10℃/--%RH
平均値:        21.50℃ /--%RH
平均動態温度:21.50℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2021-02-12,10:21:28, 19.10,--
2021-02-12,10:22:30, 19.20,--
2021-02-12,10:23:32, 19.20,--
2021-02-12,10:24:33, 19.20,--
2021-02-12,10:25:35, 19.30,--
2021-02-12,10:26:37, 19.30,--
2021-02-12,10:27:38, 19.30,--
2021-02-12,10:28:40, 19.50,--
2021-02-12,10:29:41, 19.50,--
2021-02-12,10:30:43, 19.50,--
2021-02-12,10:31:45, 19.50,--
2021-02-12,10:32:46, 19.60,--
2021-02-12,10:33:48, 19.60,--
2021-02-12,10:34:50, 19.60,--
2021-02-12,10:35:51, 19.60,--
2021-02-12,10:36:53, 19.60,--
2021-02-12,10:37:54, 19.70,--
2021-02-12,10:38:56, 19.70,--
2021-02-12,10:39:58, 19.70,--
2021-02-12,10:40:59, 19.70,--
2021-02-12,10:42:01, 19.70,--
2021-02-12,10:43:02, 19.70,--
2021-02-12,10:44:04, 19.70,--
2021-02-12,10:45:06, 19.80,--
2021-02-12,10:46:07, 19.80,--
2021-02-12,10:47:09, 19.80,--
2021-02-12,10:48:11, 19.80,--
2021-02-12,10:49:12, 19.80,--
2021-02-12,10:50:14, 19.80,--
2021-02-12,10:51:15, 19.80,--
2021-02-12,10:52:17, 20.00,--
2021-02-12,10:53:19, 20.00,--
2021-02-12,10:54:20, 20.00,--
2021-02-12,10:55:22, 20.00,--
2021-02-12,10:56:24, 20.00,--
2021-02-12,10:57:25, 20.10,--
2021-02-12,10:58:27, 20.10,--
2021-02-12,10:59:28, 20.10,--
2021-02-12,11:00:30, 20.10,--
2021-02-12,11:01:32, 20.10,--
2021-02-12,11:02:33, 20.10,--
2021-02-12,11:03:35, 20.10,--
2021-02-12,11:04:36, 20.10,--
2021-02-12,11:05:38, 20.10,--
2021-02-12,11:06:40, 20.10,--
2021-02-12,11:07:41, 20.20,--
2021-02-12,11:08:43, 20.20,--
2021-02-12,11:09:45, 20.20,--
2021-02-12,11:10:46, 20.20,--
2021-02-12,11:11:48, 20.20,--
2021-02-12,11:12:49, 20.20,--
2021-02-12,11:13:51, 20.20,--
2021-02-12,11:14:53, 20.20,--
2021-02-12,11:15:54, 20.20,--
2021-02-12,11:16:56, 20.30,--
2021-02-12,11:17:57, 20.30,--
2021-02-12,11:18:59, 20.30,--
2021-02-12,11:20:01, 20.30,--
2021-02-12,11:21:02, 20.30,--
2021-02-12,11:22:04, 20.30,--
2021-02-12,11:23:06, 20.30,--
2021-02-12,11:24:07, 20.30,--
2021-02-12,11:25:09, 20.30,--
2021-02-12,11:26:10, 20.30,--
2021-02-12,11:27:12, 20.30,--
2021-02-12,11:28:14, 20.30,--
2021-02-12,11:29:15, 20.50,--
2021-02-12,11:30:17, 20.30,--
2021-02-12,11:31:19, 20.30,--
2021-02-12,11:32:20, 20.50,--
2021-02-12,11:33:22, 20.50,--
2021-02-12,11:34:23, 20.50,--
2021-02-12,11:35:25, 20.50,--
2021-02-12,11:36:27, 20.50,--
2021-02-12,11:37:28, 20.50,--
2021-02-12,11:38:30, 20.60,--
2021-02-12,11:39:31, 20.60,--
2021-02-12,11:40:33, 20.60,--
2021-02-12,11:41:35, 20.60,--
2021-02-12,11:42:36, 20.60,--
2021-02-12,11:43:38, 20.60,--
2021-02-12,11:44:40, 20.60,--
2021-02-12,11:45:41, 20.60,--
2021-02-12,11:46:43, 20.60,--
2021-02-12,11:47:44, 20.60,--
2021-02-12,11:48:46, 20.60,--
2021-02-12,11:49:48, 20.70,--
2021-02-12,11:51:46, 21.20,--
2021-02-12,11:52:47, 21.00,--
2021-02-12,11:53:49, 21.00,--
2021-02-12,11:56:07, 20.70,--
2021-02-12,11:57:09, 20.70,--
2021-02-12,11:58:11, 20.70,--
2021-02-12,11:59:12, 20.70,--
2021-02-12,12:00:14, 20.70,--
2021-02-12,12:01:15, 20.70,--
2021-02-12,12:02:17, 20.70,--
2021-02-12,12:03:19, 20.70,--
2021-02-12,12:04:20, 20.70,--
2021-02-12,12:05:22, 20.70,--
2021-02-12,12:06:23, 20.70,--
2021-02-12,12:07:25, 20.70,--
2021-02-12,12:08:27, 20.70,--
2021-02-12,12:09:28, 20.70,--
2021-02-12,12:10:30, 20.70,--
2021-02-12,12:11:32, 20.70,--
2021-02-12,12:12:33, 20.70,--
2021-02-12,12:13:35, 20.70,--
2021-02-12,12:14:36, 20.70,--
2021-02-12,12:15:38, 20.70,--
2021-02-12,12:16:40, 20.70,--
2021-02-12,12:17:41, 20.70,--
2021-02-12,12:18:43, 20.70,--
2021-02-12,12:19:44, 20.70,--
2021-02-12,12:20:46, 20.70,--
2021-02-12,12:21:48, 20.70,--
2021-02-12,12:22:49, 20.70,--
2021-02-12,12:23:51, 20.80,--
2021-02-12,12:24:53, 20.80,--
2021-02-12,12:25:54, 20.70,--
2021-02-12,12:26:56, 20.80,--
2021-02-12,12:27:57, 20.80,--
2021-02-12,12:28:59, 20.80,--
2021-02-12,12:30:01, 20.80,--
2021-02-12,12:31:02, 20.80,--
2021-02-12,12:32:04, 20.80,--
2021-02-12,12:33:05, 20.80,--
2021-02-12,12:34:07, 21.00,--
2021-02-12,12:35:09, 21.00,--
2021-02-12,12:36:10, 20.80,--
2021-02-12,12:37:12, 21.00,--
2021-02-12,12:38:14, 21.00,--
2021-02-12,12:39:15, 21.00,--
2021-02-12,12:40:17, 21.00,--
2021-02-12,12:41:18, 21.00,--
2021-02-12,12:42:20, 21.00,--
2021-02-12,12:43:22, 21.00,--
2021-02-12,12:44:23, 21.00,--
2021-02-12,12:45:25, 21.00,--
2021-02-12,12:46:26, 21.00,--
2021-02-12,12:47:28, 21.00,--
2021-02-12,12:48:30, 21.00,--
2021-02-12,12:49:31, 21.00,--
2021-02-12,12:50:33, 21.00,--
2021-02-12,12:51:35, 21.00,--
2021-02-12,12:52:36, 21.00,--
2021-02-12,12:53:38, 21.00,--
2021-02-12,12:54:39, 21.00,--
2021-02-12,12:55:41, 21.10,--
2021-02-12,12:56:43, 21.10,--
2021-02-12,12:57:44, 21.10,--
2021-02-12,12:58:46, 21.10,--
2021-02-12,12:59:47, 21.20,--
2021-02-12,13:00:49, 21.20,--
2021-02-12,13:01:51, 21.20,--
2021-02-12,13:02:52, 21.20,--
2021-02-12,13:03:54, 21.10,--
2021-02-12,13:04:56, 21.20,--
2021-02-12,13:05:57, 21.20,--
2021-02-12,13:06:59, 21.20,--
2021-02-12,13:08:00, 21.20,--
2021-02-12,13:09:02, 21.20,--
2021-02-12,13:10:04, 21.20,--
2021-02-12,13:11:05, 21.20,--
2021-02-12,13:12:07, 21.20,--
2021-02-12,13:13:08, 21.20,--
2021-02-12,13:14:10, 21.30,--
2021-02-12,13:15:12, 21.30,--
2021-02-12,13:16:13, 21.30,--
2021-02-12,13:17:15, 21.30,--
2021-02-12,13:18:17, 21.30,--
2021-02-12,13:19:18, 21.30,--
2021-02-12,13:20:20, 21.50,--
2021-02-12,13:21:21, 21.50,--
2021-02-12,13:22:23, 21.50,--
2021-02-12,13:23:25, 21.50,--
2021-02-12,13:24:26, 21.50,--
2021-02-12,13:25:28, 21.50,--
2021-02-12,13:26:29, 21.60,--
2021-02-12,13:27:31, 21.60,--
2021-02-12,13:28:33, 21.60,--
2021-02-12,13:29:34, 21.60,--
2021-02-12,13:30:36, 21.60,--
2021-02-12,13:31:38, 21.60,--
2021-02-12,13:32:39, 21.60,--
2021-02-12,13:33:41, 21.60,--
2021-02-12,13:34:42, 21.60,--
2021-02-12,13:35:44, 21.60,--
2021-02-12,13:36:46, 21.60,--
2021-02-12,13:37:47, 21.60,--
2021-02-12,13:38:49, 21.70,--
2021-02-12,13:39:50, 21.70,--
2021-02-12,13:40:52, 21.70,--
2021-02-12,13:41:54, 21.70,--
2021-02-12,13:42:55, 21.70,--
2021-02-12,13:43:57, 21.70,--
2021-02-12,13:44:59, 21.70,--
2021-02-12,13:46:00, 21.80,--
2021-02-12,13:47:02, 21.70,--
2021-02-12,13:48:03, 21.70,--
2021-02-12,13:49:05, 21.70,--
2021-02-12,13:50:07, 21.70,--
2021-02-12,13:51:08, 21.70,--
2021-02-12,13:52:10, 21.80,--
2021-02-12,13:53:11, 21.80,--
2021-02-12,13:54:13, 21.80,--
2021-02-12,13:55:15, 21.80,--
2021-02-12,13:56:16, 21.80,--
2021-02-12,13:57:18, 21.80,--
2021-02-12,13:58:20, 22.00,--
2021-02-12,13:59:21, 22.00,--
2021-02-12,14:00:23, 22.00,--
2021-02-12,14:01:24, 22.00,--
2021-02-12,14:02:26, 22.10,--
2021-02-12,14:03:28, 22.10,--
2021-02-12,14:04:29, 22.10,--
2021-02-12,14:05:31, 22.10,--
2021-02-12,14:06:32, 22.10,--
2021-02-12,14:07:34, 22.10,--
2021-02-12,14:08:36, 22.10,--
2021-02-12,14:09:37, 22.10,--
2021-02-12,14:10:39, 22.20,--
2021-02-12,14:11:41, 22.10,--
2021-02-12,14:12:42, 22.00,--
2021-02-12,14:13:44, 22.00,--
2021-02-12,14:14:45, 22.00,--
2021-02-12,14:15:47, 22.00,--
2021-02-12,14:16:49, 22.00,--
2021-02-12,14:17:50, 22.00,--
2021-02-12,14:18:52, 22.00,--
2021-02-12,14:19:53, 22.00,--
2021-02-12,14:20:55, 22.00,--
2021-02-12,14:21:57, 22.00,--
2021-02-12,14:22:58, 22.00,--
2021-02-12,14:24:00, 22.00,--
2021-02-12,14:25:02, 22.00,--
2021-02-12,14:26:03, 22.00,--
2021-02-12,14:27:05, 22.00,--
2021-02-12,14:28:06, 22.00,--
2021-02-12,14:29:08, 22.00,--
2021-02-12,14:30:10, 22.00,--
2021-02-12,14:31:11, 22.00,--
2021-02-12,14:32:13, 22.00,--
2021-02-12,14:33:14, 22.00,--
2021-02-12,14:34:16, 22.00,--
2021-02-12,14:35:18, 22.00,--
2021-02-12,14:36:19, 22.10,--
2021-02-12,14:37:21, 22.10,--
2021-02-12,14:38:23, 22.00,--
2021-02-12,14:39:24, 22.00,--
2021-02-12,14:40:26, 22.10,--
2021-02-12,14:41:27, 22.00,--
2021-02-12,14:42:29, 22.10,--
2021-02-12,14:43:31, 22.00,--
2021-02-12,14:44:32, 22.10,--
2021-02-12,14:45:34, 22.10,--
2021-02-12,14:46:35, 22.10,--
2021-02-12,14:47:37, 22.10,--
2021-02-12,14:48:39, 22.10,--
2021-02-12,14:49:40, 22.10,--
2021-02-12,14:50:42, 22.10,--
2021-02-12,14:51:44, 22.10,--
2021-02-12,14:52:45, 22.10,--
2021-02-12,14:53:47, 22.10,--
2021-02-12,14:54:48, 22.10,--
2021-02-12,14:55:50, 22.10,--
2021-02-12,14:56:52, 22.10,--
2021-02-12,14:57:53, 22.10,--
2021-02-12,14:58:55, 22.10,--
2021-02-12,14:59:56, 22.10,--
2021-02-12,15:00:58, 22.10,--
2021-02-12,15:02:00, 22.10,--
2021-02-12,15:03:01, 22.10,--
2021-02-12,15:04:03, 22.10,--
2021-02-12,15:05:05, 22.10,--
2021-02-12,15:06:06, 22.10,--
2021-02-12,15:07:08, 22.10,--
2021-02-12,15:08:09, 22.10,--
2021-02-12,15:09:11, 22.10,--
2021-02-12,15:10:13, 22.10,--
2021-02-12,15:11:14, 22.10,--
2021-02-12,15:12:16, 22.20,--
2021-02-12,15:13:17, 22.20,--
2021-02-12,15:14:19, 22.20,--
2021-02-12,15:15:21, 22.20,--
2021-02-12,15:16:22, 22.20,--
2021-02-12,15:17:24, 22.20,--
2021-02-12,15:18:26, 22.20,--
2021-02-12,15:19:27, 22.20,--
2021-02-12,15:20:29, 22.20,--
2021-02-12,15:21:30, 22.20,--
2021-02-12,15:22:32, 22.30,--
2021-02-12,15:23:34, 22.20,--
2021-02-12,15:24:35, 22.30,--
2021-02-12,15:25:37, 22.20,--
2021-02-12,15:26:38, 22.30,--
2021-02-12,15:27:40, 22.30,--
2021-02-12,15:28:42, 22.30,--
2021-02-12,15:29:43, 22.30,--
2021-02-12,15:30:45, 22.30,--
2021-02-12,15:31:47, 22.30,--
2021-02-12,16:06:40, 22.30,--
2021-02-12,16:07:42, 22.30,--
2021-02-12,16:08:43, 22.50,--
2021-02-12,16:09:45, 22.50,--
2021-02-12,16:10:47, 22.50,--
2021-02-12,16:11:48, 22.50,--
2021-02-12,16:12:50, 22.50,--
2021-02-12,16:13:51, 22.50,--
2021-02-12,16:14:53, 22.50,--
2021-02-12,16:16:43, 22.50,--
2021-02-12,16:17:44, 22.50,--
2021-02-12,16:18:46, 22.50,--
2021-02-12,16:19:48, 22.50,--
2021-02-12,16:20:49, 22.50,--
2021-02-12,16:21:51, 22.50,--
2021-02-12,16:22:53, 22.50,--
2021-02-12,16:23:54, 22.60,--
2021-02-12,16:24:56, 22.60,--
2021-02-12,16:25:57, 22.70,--
2021-02-12,16:26:59, 22.70,--
2021-02-12,16:28:01, 22.70,--
2021-02-12,16:29:02, 22.70,--
2021-02-12,16:30:04, 22.70,--
2021-02-12,16:31:06, 22.70,--
2021-02-12,16:32:07, 22.70,--
2021-02-12,16:33:09, 22.70,--
2021-02-12,16:34:10, 22.70,--
2021-02-12,16:35:12, 22.80,--
2021-02-12,16:36:14, 22.80,--
2021-02-12,16:37:47, 22.80,--
2021-02-12,16:39:50, 22.80,--
2021-02-12,16:40:52, 22.80,--
2021-02-12,16:41:54, 22.80,--
2021-02-12,16:42:55, 23.00,--
2021-02-12,16:43:57, 23.00,--
2021-02-12,16:44:58, 23.00,--
2021-02-12,16:46:00, 22.80,--
2021-02-12,16:47:02, 22.80,--
2021-02-12,16:48:03, 22.80,--
2021-02-12,16:49:05, 22.80,--
2021-02-12,16:50:07, 22.80,--
2021-02-12,16:51:08, 22.80,--
2021-02-12,16:52:10, 22.80,--
2021-02-12,16:53:11, 22.80,--
2021-02-12,16:54:13, 22.80,--
2021-02-12,16:55:15, 22.80,--
2021-02-12,16:56:16, 22.80,--
2021-02-12,16:57:18, 23.00,--
2021-02-12,16:58:19, 23.00,--
2021-02-12,16:59:21, 23.00,--
2021-02-12,17:00:23, 22.80,--
2021-02-12,17:01:24, 22.80,--
2021-02-12,17:02:26, 22.80,--
2021-02-12,17:03:28, 22.80,--
2021-02-12,17:04:29, 22.80,--
2021-02-12,17:05:31, 22.80,--
2021-02-12,17:06:32, 22.80,--
2021-02-12,17:07:34, 23.00,--
2021-02-12,17:08:36, 23.00,--
2021-02-12,17:09:37, 23.00,--
2021-02-12,17:10:39, 23.00,--
2021-02-12,17:11:40, 23.00,--
2021-02-12,17:12:42, 23.00,--
2021-02-12,17:13:44, 23.00,--
2021-02-12,17:14:45, 23.00,--
2021-02-12,17:15:47, 23.00,--
2021-02-12,17:16:49, 23.00,--
2021-02-12,17:18:52, 23.00,--
2021-02-12,17:20:55, 23.00,--
2021-02-12,17:27:05, 23.00,--
2021-02-12,17:28:06, 23.00,--
2021-02-12,17:29:08, 23.00,--
2021-02-12,17:30:10, 23.00,--
2021-02-12,17:31:11, 23.00,--
2021-02-12,17:32:13, 23.00,--
2021-02-12,17:33:14, 23.00,--
2021-02-12,17:34:16, 23.00,--
2021-02-12,17:35:18, 23.00,--
2021-02-12,17:36:19, 23.00,--
2021-02-12,17:37:21, 23.00,--
2021-02-12,17:38:22, 22.80,--
2021-02-12,17:40:26, 22.80,--
2021-02-12,17:41:27, 22.80,--
2021-02-12,17:42:29, 22.80,--
2021-02-12,17:43:31, 22.80,--
2021-02-12,17:44:32, 22.80,--
2021-02-12,17:45:34, 22.80,--
2021-02-12,17:46:35, 22.80,--
2021-02-12,17:47:37, 22.80,--
2021-02-12,17:48:39, 22.80,--
2021-02-12,17:49:40, 22.70,--
2021-02-12,17:50:42, 22.70,--
2021-02-12,17:51:44, 22.70,--
2021-02-12,17:52:45, 22.70,--
2021-02-12,17:53:47, 22.60,--
2021-02-12,17:54:48, 22.60,--
2021-02-12,17:55:50, 22.50,--
2021-02-12,17:56:52, 22.50,--
2021-02-12,17:57:53, 22.60,--
2021-02-12,17:58:55, 22.50,--
2021-02-12,17:59:56, 22.50,--
2021-02-12,18:00:58, 22.50,--
2021-02-12,18:02:00, 22.50,--
2021-02-12,18:03:01, 22.50,--
2021-02-12,18:04:03, 22.30,--
2021-02-12,18:05:05, 22.30,--
2021-02-12,18:06:06, 22.30,--
2021-02-12,18:07:08, 22.20,--
2021-02-12,18:08:09, 22.20,--
2021-02-12,18:09:11, 22.20,--
2021-02-12,18:10:13, 22.20,--
2021-02-12,18:11:14, 22.20,--
2021-02-12,18:12:16, 22.20,--
2021-02-12,18:13:17, 22.20,--

