デバイス情報
******************************
デバイスタイプ:	   DR2101
ID:   C2200003
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-01 12:41:55
終了時刻:      2020-12-07 16:47:09
測定データ数:      841
測定時間:      6d 4h 5m 14s 
最大値:        24.20℃/43%RH
最小値:        19.39℃/27%RH
平均値:        21.20℃ /30%RH
平均動態温度:21.20℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-01,12:41:55, 23.60,43
2020-12-01,12:46:59, 24.20,34
2020-12-01,22:51:01, 23.50,35
2020-12-01,22:56:05, 23.50,35
2020-12-01,23:01:09, 23.50,35
2020-12-01,23:11:19, 23.50,36
2020-12-01,23:16:23, 23.60,36
2020-12-01,23:21:27, 24.00,27
2020-12-01,23:26:31, 22.90,28
2020-12-01,23:31:35, 22.40,29
2020-12-01,23:36:39, 22.20,36
2020-12-01,23:44:21, 23.00,36
2020-12-01,23:49:25, 23.20,36
2020-12-01,23:54:29, 23.30,36
2020-12-01,23:59:33, 23.40,36
2020-12-02,00:04:37, 23.50,36
2020-12-02,00:09:41, 23.50,36
2020-12-02,00:14:45, 23.40,36
2020-12-02,00:19:49, 23.40,36
2020-12-02,00:24:53, 23.40,36
2020-12-02,00:29:57, 23.30,36
2020-12-02,00:35:01, 23.30,36
2020-12-02,00:40:05, 23.30,36
2020-12-02,00:45:09, 23.20,36
2020-12-02,00:50:13, 23.20,36
2020-12-02,00:55:17, 23.10,36
2020-12-02,01:00:21, 23.10,36
2020-12-02,01:05:25, 23.00,36
2020-12-02,01:10:29, 23.00,36
2020-12-02,01:15:33, 22.90,36
2020-12-02,01:20:37, 22.90,36
2020-12-02,01:25:41, 22.80,36
2020-12-02,01:30:45, 22.80,36
2020-12-02,01:35:49, 22.80,36
2020-12-02,01:40:53, 22.70,36
2020-12-02,01:45:57, 22.70,36
2020-12-02,01:51:02, 22.70,36
2020-12-02,01:56:06, 22.70,36
2020-12-02,02:01:10, 22.60,36
2020-12-02,02:06:14, 22.60,36
2020-12-02,02:11:18, 22.60,36
2020-12-02,02:16:22, 22.50,36
2020-12-02,02:21:26, 22.50,36
2020-12-02,02:26:30, 22.50,36
2020-12-02,02:31:34, 22.50,36
2020-12-02,02:36:38, 22.50,36
2020-12-02,02:41:42, 22.60,36
2020-12-02,02:46:46, 22.60,36
2020-12-02,02:51:50, 22.70,36
2020-12-02,02:56:54, 22.80,36
2020-12-02,03:01:58, 22.80,36
2020-12-02,03:07:02, 22.90,36
2020-12-02,03:12:06, 22.90,36
2020-12-02,03:17:10, 23.00,36
2020-12-02,03:22:14, 23.00,36
2020-12-02,03:27:18, 23.10,36
2020-12-02,03:32:22, 23.10,36
2020-12-02,03:37:26, 23.10,36
2020-12-02,03:42:30, 23.10,36
2020-12-02,03:47:34, 23.00,36
2020-12-02,03:52:38, 23.00,36
2020-12-02,03:57:42, 22.90,36
2020-12-02,04:02:46, 22.80,36
2020-12-02,04:07:50, 22.80,36
2020-12-02,04:12:54, 22.70,36
2020-12-02,04:17:58, 22.60,36
2020-12-02,04:23:02, 22.60,36
2020-12-02,04:28:07, 22.50,36
2020-12-02,04:33:11, 22.50,36
2020-12-02,04:38:15, 22.50,36
2020-12-02,04:43:19, 22.40,36
2020-12-02,04:48:23, 22.40,36
2020-12-02,04:53:27, 22.30,36
2020-12-02,04:58:31, 22.30,36
2020-12-02,05:03:35, 22.20,36
2020-12-02,05:08:39, 22.20,36
2020-12-02,05:13:43, 22.20,36
2020-12-02,05:18:47, 22.10,36
2020-12-02,05:23:51, 22.10,36
2020-12-02,05:28:55, 22.10,36
2020-12-02,05:33:59, 22.10,36
2020-12-02,05:39:03, 22.10,36
2020-12-02,05:44:07, 22.00,36
2020-12-02,05:49:11, 22.00,36
2020-12-02,05:54:15, 22.00,36
2020-12-02,05:59:19, 22.00,36
2020-12-02,06:04:23, 22.00,36
2020-12-02,06:09:27, 21.90,36
2020-12-02,06:14:31, 21.90,36
2020-12-02,06:19:35, 21.90,36
2020-12-02,06:24:39, 21.80,36
2020-12-02,06:29:43, 21.80,36
2020-12-02,06:34:47, 21.80,36
2020-12-02,06:39:51, 21.80,36
2020-12-02,06:44:55, 21.80,35
2020-12-02,06:49:59, 21.80,35
2020-12-02,06:55:04, 21.80,35
2020-12-02,07:00:08, 21.70,35
2020-12-02,07:05:12, 21.70,35
2020-12-02,07:10:16, 21.70,35
2020-12-02,07:15:20, 21.70,35
2020-12-02,07:20:24, 21.60,35
2020-12-02,07:25:28, 21.60,35
2020-12-02,07:30:32, 21.60,35
2020-12-02,07:35:36, 21.60,35
