デバイス情報
******************************
デバイスタイプ:	   DR2101
ID:   C2200005
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-09 12:04:29
終了時刻:      2020-12-10 11:58:46
測定データ数:      285
測定時間:      23h 54m 17s 
最大値:        24.90℃/40%RH
最小値:        17.39℃/33%RH
平均値:        21.90℃ /30%RH
平均動態温度:21.90℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-09,12:04:29, 24.10,34
2020-12-09,12:09:33, 24.10,34
2020-12-09,12:14:37, 24.00,34
2020-12-09,12:19:41, 23.90,35
2020-12-09,12:24:45, 23.90,35
2020-12-09,12:29:49, 24.10,34
2020-12-09,12:34:53, 24.10,34
2020-12-09,12:39:57, 23.90,34
2020-12-09,12:45:01, 24.10,34
2020-12-09,12:50:05, 24.10,34
2020-12-09,12:55:09, 24.10,34
2020-12-09,13:00:13, 23.90,35
2020-12-09,13:05:17, 24.10,34
2020-12-09,13:10:21, 24.20,34
2020-12-09,13:15:25, 24.10,34
2020-12-09,13:15:25, 24.10,34
2020-12-09,13:20:29, 24.20,34
2020-12-09,13:25:33, 24.30,34
2020-12-09,13:30:37, 24.20,34
2020-12-09,13:35:41, 24.30,34
2020-12-09,13:40:45, 24.50,35
2020-12-09,13:45:49, 24.30,34
2020-12-09,13:50:53, 24.40,34
2020-12-09,13:55:57, 24.50,34
2020-12-09,14:01:01, 24.60,35
2020-12-09,14:06:05, 24.40,35
2020-12-09,14:11:09, 24.60,35
2020-12-09,14:16:13, 24.50,35
2020-12-09,14:21:17, 24.50,34
2020-12-09,14:26:21, 24.60,34
2020-12-09,14:31:25, 24.50,35
2020-12-09,14:36:29, 24.50,35
2020-12-09,14:41:34, 24.60,35
2020-12-09,14:46:38, 24.60,35
2020-12-09,14:51:42, 24.60,34
2020-12-09,14:56:46, 24.70,34
2020-12-09,15:01:50, 24.70,34
2020-12-09,15:06:54, 24.60,34
2020-12-09,15:11:58, 24.70,34
2020-12-09,15:17:02, 24.80,35
2020-12-09,15:22:06, 24.50,35
2020-12-09,15:27:10, 24.70,34
2020-12-09,15:32:14, 24.80,34
2020-12-09,15:37:18, 24.60,35
2020-12-09,15:42:22, 24.60,34
2020-12-09,15:47:26, 24.50,34
2020-12-09,15:52:30, 24.50,35
2020-12-09,15:57:34, 24.40,35
2020-12-09,16:02:38, 24.50,35
2020-12-09,16:07:42, 24.60,35
2020-12-09,16:12:46, 24.40,35
2020-12-09,16:17:50, 24.30,35
2020-12-09,16:22:54, 24.50,35
2020-12-09,16:27:58, 24.60,34
2020-12-09,16:33:02, 24.40,35
2020-12-09,16:38:06, 24.50,34
2020-12-09,16:43:10, 24.60,34
2020-12-09,16:48:14, 24.60,34
2020-12-09,16:53:18, 24.50,34
2020-12-09,16:58:22, 24.60,34
2020-12-09,17:03:26, 24.60,34
2020-12-09,17:08:30, 24.60,35
2020-12-09,17:13:34, 24.80,35
2020-12-09,17:18:38, 24.70,35
2020-12-09,17:23:42, 24.70,34
2020-12-09,17:28:46, 24.80,34
2020-12-09,17:33:50, 24.90,34
