デバイス情報
******************************
デバイスタイプ:	   DR2101
ID:   C2200501
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-11-11 10:04:09
終了時刻:      2020-11-11 10:59:53
測定データ数:      12
測定時間:      0h 55m 44s 
最大値:        20.50℃/27%RH
最小値:        19.60℃/24%RH
平均値:        20.10℃ /20%RH
平均動態温度:20.10℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-11-11,10:04:09, 19.60,27
2020-11-11,10:09:13, 19.70,26
2020-11-11,10:14:17, 19.89,26
2020-11-11,10:19:21, 20.00,26
2020-11-11,10:24:25, 20.00,26
2020-11-11,10:29:29, 20.10,25
2020-11-11,10:34:33, 20.20,25
2020-11-11,10:39:37, 20.20,25
2020-11-11,10:44:41, 20.30,25
2020-11-11,10:49:45, 20.39,25
2020-11-11,10:54:49, 20.50,24
2020-11-11,10:59:53, 20.50,25

