デバイス情報
******************************
デバイスタイプ:	   中距離無線温湿度センサー
ID:   C2200501
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2021-02-15 14:50:59
終了時刻:      2021-02-15 15:08:41
測定データ数:      12
測定時間:      0h 17m 42s 
最大値:        24.00℃/59%RH
最小値:        23.80℃/58%RH
平均値:        23.90℃ /50%RH
平均動態温度:23.90℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2021-02-15,14:50:59, 23.80,59
2021-02-15,14:52:01, 23.80,59
2021-02-15,14:53:03, 23.80,58
2021-02-15,14:54:04, 23.90,58
2021-02-15,14:55:06, 23.90,58
2021-02-15,14:57:09, 23.90,58
2021-02-15,15:03:33, 24.00,58
2021-02-15,15:04:35, 24.00,58
2021-02-15,15:05:36, 24.00,58
2021-02-15,15:06:38, 24.00,58
2021-02-15,15:07:39, 24.00,58
2021-02-15,15:08:41, 24.00,58

