デバイス情報
******************************
デバイスタイプ:	   DL1201
ID:   CA200001
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-01 11:11:48
終了時刻:      2020-12-03 16:41:39
測定データ数:      205
測定時間:      2d 5h 29m 51s 
最大値:        23.60℃/--%RH
最小値:        -25.80℃/--%RH
平均値:        -5.50℃ /--%RH
平均動態温度:-4.30℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-01,11:11:48, 21.00,--
2020-12-01,11:26:48, 23.40,--
2020-12-01,11:35:18, 23.10,--
2020-12-01,11:35:18, 23.10,--
2020-12-01,11:41:48, 23.10,--
2020-12-01,11:56:48, 23.50,--
2020-12-01,12:11:48, 23.60,--
2020-12-01,14:16:20, 23.40,--
2020-12-01,14:26:48, 16.39,--
2020-12-01,14:37:26, 21.10,--
2020-12-01,14:41:48, 6.50,--
2020-12-01,14:56:48, -20.00,--
2020-12-01,15:11:48, -20.00,--
2020-12-01,15:26:47, -19.30,--
2020-12-01,15:41:47, -21.30,--
2020-12-01,15:56:47, -21.60,--
2020-12-01,16:11:47, -20.90,--
2020-12-01,16:26:47, -21.30,--
2020-12-01,16:41:47, -20.30,--
2020-12-01,16:56:47, -21.20,--
2020-12-01,17:11:47, -20.80,--
2020-12-01,17:26:47, -21.60,--
2020-12-01,17:41:47, -20.80,--
2020-12-01,18:11:47, -14.50,--
2020-12-01,18:26:47, -18.89,--
2020-12-01,18:41:47, -20.00,--
2020-12-01,18:56:47, -20.30,--
2020-12-01,19:11:47, -21.00,--
2020-12-01,19:26:47, -20.30,--
2020-12-01,19:41:47, -20.80,--
2020-12-01,19:56:47, -21.20,--
2020-12-01,20:11:47, -21.00,--
2020-12-01,20:26:47, -20.60,--
2020-12-01,20:41:47, -20.39,--
2020-12-01,20:56:47, -20.50,--
2020-12-01,21:41:46, -20.70,--
2020-12-01,21:56:46, -20.70,--
2020-12-01,22:11:46, -20.60,--
2020-12-01,22:26:46, -20.60,--
2020-12-01,22:56:46, -18.20,--
2020-12-01,23:11:46, -13.50,--
2020-12-01,23:26:46, -20.20,--
2020-12-01,23:41:46, -21.10,--
2020-12-01,23:56:46, -20.60,--
2020-12-02,00:11:46, -20.90,--
2020-12-02,00:26:46, -21.00,--
2020-12-02,00:41:46, -21.10,--
2020-12-02,00:56:46, -21.10,--
2020-12-02,01:11:46, -21.00,--
2020-12-02,01:26:46, -21.00,--
2020-12-02,01:41:46, -20.60,--
2020-12-02,01:56:46, -20.50,--
2020-12-02,02:11:46, -20.70,--
2020-12-02,02:26:46, -21.00,--
2020-12-02,02:41:46, -21.30,--
2020-12-02,02:56:46, -21.30,--
2020-12-02,03:11:46, -21.10,--
2020-12-02,03:26:45, -20.60,--
2020-12-02,03:41:45, -20.80,--
2020-12-02,03:56:45, -18.20,--
2020-12-02,04:11:45, -13.60,--
2020-12-02,04:26:45, -20.20,--
2020-12-02,04:41:45, -21.30,--
2020-12-02,04:56:45, -21.00,--
2020-12-02,05:11:45, -19.70,--
2020-12-02,05:26:45, -20.10,--
2020-12-02,05:41:45, -21.10,--
2020-12-02,05:56:45, -21.50,--
2020-12-02,06:11:45, -21.40,--
2020-12-02,06:26:45, -21.50,--
2020-12-02,06:41:45, -21.50,--
2020-12-02,06:56:45, -21.30,--
2020-12-02,07:11:45, -21.00,--
2020-12-02,07:26:45, -20.80,--
2020-12-02,07:41:45, -20.60,--
2020-12-02,07:56:45, -18.30,--
2020-12-02,08:11:45, 4.09,--
2020-12-02,08:26:45, 4.30,--
2020-12-02,08:41:45, 5.09,--
2020-12-02,08:56:45, 4.59,--
2020-12-02,09:11:45, 3.20,--
2020-12-02,09:41:44, 1.60,--
2020-12-02,09:56:44, 4.90,--
2020-12-02,10:11:44, 1.90,--
2020-12-02,10:26:44, 4.80,--
2020-12-02,10:41:44, 2.20,--
2020-12-02,10:56:44, 5.00,--
2020-12-02,11:11:44, 4.30,--
2020-12-02,11:26:44, 2.20,--
2020-12-02,11:41:44, 4.80,--
2020-12-02,11:56:44, 5.09,--
2020-12-02,12:11:44, 4.50,--
2020-12-02,12:26:44, 5.20,--
2020-12-02,12:41:44, 5.00,--
2020-12-02,12:56:44, 4.59,--
2020-12-02,13:11:44, 3.20,--
2020-12-02,13:26:44, 5.20,--
2020-12-02,13:41:44, 5.20,--
2020-12-02,13:56:44, 4.90,--
2020-12-02,14:11:44, 4.50,--
2020-12-02,14:26:44, 3.50,--
2020-12-02,14:41:44, 3.10,--
2020-12-02,14:56:44, 4.30,--
2020-12-02,15:11:44, 4.59,--
2020-12-02,15:26:43, 3.60,--
2020-12-02,15:41:43, 4.20,--
2020-12-02,15:56:43, 4.59,--
2020-12-02,16:11:43, 4.80,--
2020-12-02,16:26:43, 4.80,--
2020-12-02,16:41:43, 4.80,--
2020-12-02,16:56:43, 4.70,--
2020-12-02,17:11:43, 4.50,--
2020-12-02,17:26:43, 4.40,--
2020-12-02,17:41:43, 4.00,--
2020-12-02,17:56:43, 3.50,--
2020-12-02,18:11:43, 3.50,--
2020-12-02,18:26:43, 4.90,--
2020-12-02,18:41:43, 4.59,--
2020-12-02,18:56:43, 4.00,--
2020-12-02,19:11:43, 3.30,--
2020-12-02,19:26:43, 5.00,--
2020-12-02,19:41:43, 4.59,--
2020-12-02,19:56:43, 3.60,--
2020-12-02,20:11:43, 5.00,--
2020-12-02,20:26:43, 4.70,--
2020-12-02,20:41:43, 3.90,--
2020-12-02,20:56:43, 4.30,--
2020-12-02,21:11:43, 4.80,--
2020-12-02,21:26:42, 4.09,--
2020-12-02,21:41:42, 4.50,--
2020-12-02,21:56:42, 4.80,--
2020-12-02,22:11:42, 4.09,--
2020-12-02,22:26:42, 4.59,--
2020-12-02,22:41:42, 4.80,--
2020-12-02,22:56:42, 3.80,--
2020-12-02,23:11:42, 5.00,--
2020-12-02,23:26:42, 4.50,--
2020-12-02,23:41:42, 3.50,--
2020-12-02,23:56:42, 4.90,--
2020-12-03,00:11:42, 4.09,--
2020-12-03,00:26:42, 5.09,--
2020-12-03,00:41:42, 4.50,--
2020-12-03,00:56:42, 3.80,--
2020-12-03,01:11:42, 4.80,--
2020-12-03,01:26:42, 3.50,--
2020-12-03,01:41:42, 5.00,--
2020-12-03,01:56:42, 5.30,--
2020-12-03,02:11:42, 4.30,--
2020-12-03,02:26:42, 4.59,--
2020-12-03,02:41:42, 3.60,--
2020-12-03,02:56:42, 5.00,--
2020-12-03,03:11:42, 4.20,--
2020-12-03,03:26:42, 5.09,--
2020-12-03,03:41:41, 4.50,--
2020-12-03,03:56:41, 5.09,--
2020-12-03,04:11:41, 4.50,--
2020-12-03,04:26:41, 5.09,--
2020-12-03,04:41:41, 4.59,--
2020-12-03,04:56:41, 5.00,--
2020-12-03,05:11:41, 4.70,--
2020-12-03,05:26:41, 3.50,--
2020-12-03,05:41:41, 4.90,--
2020-12-03,05:56:41, 3.40,--
2020-12-03,06:26:41, 3.70,--
2020-12-03,06:41:41, 5.00,--
2020-12-03,06:56:41, 4.09,--
2020-12-03,07:11:41, 5.09,--
2020-12-03,07:26:41, 4.30,--
2020-12-03,07:41:41, 5.09,--
2020-12-03,07:56:41, 4.59,--
2020-12-03,08:11:41, 3.20,--
2020-12-03,08:26:41, 5.09,--
2020-12-03,08:41:41, 4.70,--
2020-12-03,08:56:41, 3.60,--
2020-12-03,09:11:41, 5.20,--
2020-12-03,09:26:41, 4.20,--
2020-12-03,09:41:41, 5.30,--
2020-12-03,09:56:41, 4.30,--
2020-12-03,10:11:41, 5.30,--
2020-12-03,10:26:40, 4.30,--
2020-12-03,10:41:40, 4.50,--
2020-12-03,10:56:40, 4.90,--
2020-12-03,11:11:40, 8.69,--
2020-12-03,11:26:40, -24.90,--
2020-12-03,11:41:40, -25.80,--
2020-12-03,11:56:40, -24.10,--
2020-12-03,12:11:40, -22.10,--
2020-12-03,12:26:40, -21.40,--
2020-12-03,12:41:40, -21.60,--
2020-12-03,12:56:40, -21.90,--
2020-12-03,13:11:40, -22.30,--
2020-12-03,13:26:40, -22.60,--
2020-12-03,13:41:40, -23.30,--
2020-12-03,13:56:40, -24.10,--
2020-12-03,14:11:40, -25.40,--
2020-12-03,14:26:40, -22.60,--
2020-12-03,14:41:40, -23.30,--
2020-12-03,14:56:40, -24.50,--
2020-12-03,15:11:40, -25.70,--
2020-12-03,15:26:40, -24.30,--
2020-12-03,15:41:40, -25.80,--
