デバイス情報
******************************
デバイスタイプ:	   DL1201
ID:   CA200002
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-18 13:32:47
終了時刻:      2020-12-24 14:27:56
測定データ数:      1250
測定時間:      6d 0h 55m 9s 
最大値:        23.80℃/--%RH
最小値:        10.90℃/--%RH
平均値:        19.30℃ /--%RH
平均動態温度:19.39℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-18,13:32:47, 23.40,--
2020-12-18,13:47:46, 23.50,--
2020-12-18,14:02:46, 23.50,--
2020-12-18,14:17:46, 23.30,--
2020-12-18,14:32:46, 23.20,--
2020-12-18,14:47:46, 23.10,--
2020-12-18,15:02:46, 23.00,--
2020-12-18,15:17:46, 23.00,--
2020-12-18,15:32:46, 23.00,--
2020-12-18,15:47:46, 23.00,--
2020-12-18,16:02:46, 23.00,--
2020-12-18,16:32:46, 22.80,--
2020-12-18,16:47:46, 22.70,--
2020-12-18,17:02:46, 22.70,--
2020-12-18,17:17:46, 22.80,--
2020-12-18,17:32:46, 23.00,--
2020-12-18,17:47:46, 23.00,--
2020-12-18,18:02:46, 23.00,--
2020-12-18,18:17:46, 23.20,--
2020-12-18,18:32:46, 23.30,--
2020-12-18,18:47:46, 23.30,--
2020-12-18,19:02:46, 23.30,--
2020-12-18,19:17:45, 23.30,--
2020-12-18,19:32:45, 23.20,--
2020-12-18,19:47:45, 23.40,--
2020-12-18,20:02:45, 23.30,--
2020-12-18,20:17:45, 23.30,--
2020-12-18,20:32:45, 23.30,--
2020-12-18,20:47:45, 23.40,--
2020-12-18,21:02:45, 23.30,--
2020-12-18,21:17:45, 23.00,--
2020-12-18,21:32:45, 22.60,--
2020-12-18,21:47:45, 22.30,--
2020-12-18,22:02:45, 21.50,--
2020-12-18,22:17:45, 20.90,--
2020-12-18,22:32:45, 20.30,--
2020-12-18,22:47:45, 19.80,--
2020-12-18,23:02:45, 19.50,--
2020-12-18,23:17:45, 19.10,--
2020-12-18,23:32:45, 18.70,--
2020-12-18,23:47:45, 18.50,--
2020-12-19,00:02:45, 18.20,--
2020-12-19,00:17:45, 18.00,--
2020-12-19,00:32:45, 17.80,--
2020-12-19,00:47:44, 17.60,--
2020-12-19,01:02:44, 17.39,--
2020-12-19,01:17:44, 17.30,--
2020-12-19,01:32:44, 17.10,--
2020-12-19,01:47:44, 17.00,--
2020-12-19,02:02:44, 16.80,--
2020-12-19,02:17:44, 16.70,--
2020-12-19,02:32:44, 16.60,--
