デバイス情報
******************************
デバイスタイプ: 長距離温度センサー
ID: CA200002
測定間隔: 1min
Note:
All times shown are based on UTC+5 and 24-Hour clock [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 2021-01-01 19:55:07
終了時刻: 2021-01-02 19:50:02
測定データ数: 288
測定時間: 0d -23h -54m -55s
最大値: 10.20℃/--%RH
最小値: 9.10℃/--%RH
平均値: 9.72℃/--%RH
平均動態温度: 9.72℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2021-01-01,19:55:07,9.80,--
2021-01-01,20:00:07,9.80,--
2021-01-01,20:05:07,9.80,--
2021-01-01,20:10:07,9.80,--
2021-01-01,20:15:07,9.80,--
2021-01-01,20:20:07,9.80,--
2021-01-01,20:25:07,9.70,--
2021-01-01,20:30:07,9.70,--
2021-01-01,20:35:07,9.70,--
2021-01-01,20:40:07,9.70,--
2021-01-01,20:45:07,9.70,--
2021-01-01,20:50:07,9.70,--
2021-01-01,20:55:07,9.70,--
2021-01-01,21:00:07,9.70,--
2021-01-01,21:05:07,9.60,--
2021-01-01,21:10:07,9.60,--
2021-01-01,21:15:07,9.60,--
2021-01-01,21:20:07,9.60,--
2021-01-01,21:25:07,9.60,--
2021-01-01,21:30:07,9.60,--
2021-01-01,21:35:07,9.60,--
2021-01-01,21:40:07,9.60,--
2021-01-01,21:45:07,9.60,--
2021-01-01,21:50:06,9.60,--
2021-01-01,21:55:06,9.60,--
2021-01-01,22:00:06,9.60,--
2021-01-01,22:05:06,9.60,--
2021-01-01,22:10:06,9.60,--
2021-01-01,22:15:06,9.60,--
2021-01-01,22:20:06,9.60,--
2021-01-01,22:25:06,9.60,--
2021-01-01,22:30:06,9.60,--
2021-01-01,22:35:06,9.60,--
2021-01-01,22:40:06,9.60,--
2021-01-01,22:45:06,9.60,--
2021-01-01,22:50:06,9.60,--
2021-01-01,22:55:06,9.60,--
2021-01-01,23:00:06,9.60,--
2021-01-01,23:05:06,9.50,--
2021-01-01,23:10:06,9.50,--
2021-01-01,23:15:06,9.50,--
2021-01-01,23:20:06,9.50,--
2021-01-01,23:25:06,9.50,--
2021-01-01,23:30:06,9.50,--
2021-01-01,23:35:06,9.50,--
2021-01-01,23:40:06,9.50,--
2021-01-01,23:45:06,9.50,--
2021-01-01,23:50:06,9.50,--
2021-01-01,23:55:06,9.50,--
2021-01-02,00:00:06,9.50,--
2021-01-02,00:05:06,9.50,--
2021-01-02,00:10:06,9.50,--
2021-01-02,00:15:06,9.50,--
2021-01-02,00:20:06,9.60,--
2021-01-02,00:25:06,9.60,--
2021-01-02,00:30:06,9.50,--
2021-01-02,00:35:06,9.60,--
2021-01-02,00:40:06,9.60,--
2021-01-02,00:45:06,9.60,--
2021-01-02,00:50:06,9.60,--
2021-01-02,00:55:06,9.50,--
2021-01-02,01:00:06,9.50,--
2021-01-02,01:05:06,9.50,--
2021-01-02,01:10:06,9.60,--
2021-01-02,01:15:06,9.60,--
2021-01-02,01:20:06,9.60,--
2021-01-02,01:25:06,9.60,--
2021-01-02,01:30:06,9.60,--
2021-01-02,01:35:06,9.60,--
2021-01-02,01:40:06,9.60,--
2021-01-02,01:45:06,9.60,--
2021-01-02,01:50:06,9.60,--
2021-01-02,01:55:06,9.70,--
2021-01-02,02:00:06,9.80,--
2021-01-02,02:05:06,9.80,--
2021-01-02,02:10:06,9.80,--
2021-01-02,02:15:06,9.80,--
2021-01-02,02:20:06,9.80,--
2021-01-02,02:25:06,9.80,--
2021-01-02,02:30:06,9.80,--
2021-01-02,02:35:06,9.80,--
2021-01-02,02:40:06,9.80,--
2021-01-02,02:45:06,9.90,--
2021-01-02,02:50:05,9.90,--
2021-01-02,02:55:05,10.00,--
2021-01-02,03:00:05,10.00,--
2021-01-02,03:05:05,10.10,--
2021-01-02,03:10:05,10.10,--
2021-01-02,03:15:05,10.20,--
2021-01-02,03:20:05,10.20,--
2021-01-02,03:25:05,10.10,--
2021-01-02,03:30:05,10.10,--
2021-01-02,03:35:05,10.10,--
2021-01-02,03:40:05,10.10,--
2021-01-02,03:45:05,10.10,--
2021-01-02,03:50:05,10.10,--
2021-01-02,03:55:05,10.10,--
2021-01-02,04:00:05,10.10,--
2021-01-02,04:05:05,10.10,--
2021-01-02,04:10:05,10.10,--
2021-01-02,04:15:05,10.10,--
2021-01-02,04:20:05,10.10,--
2021-01-02,04:25:05,10.10,--
2021-01-02,04:30:05,10.10,--
2021-01-02,04:35:05,10.10,--
2021-01-02,04:40:05,10.10,--
2021-01-02,04:45:05,10.10,--
2021-01-02,04:50:05,10.10,--
2021-01-02,04:55:05,10.10,--
2021-01-02,05:00:05,10.10,--
2021-01-02,05:05:05,10.10,--
2021-01-02,05:10:05,10.10,--
2021-01-02,05:15:05,10.10,--
2021-01-02,05:20:05,10.10,--
2021-01-02,05:25:05,10.10,--
2021-01-02,05:30:05,10.10,--
2021-01-02,05:35:05,10.10,--
2021-01-02,05:40:05,10.10,--
2021-01-02,05:45:05,10.10,--
2021-01-02,05:50:05,10.10,--
2021-01-02,05:55:05,10.10,--
2021-01-02,06:00:05,10.10,--
2021-01-02,06:05:05,10.10,--
2021-01-02,06:10:05,10.10,--
2021-01-02,06:15:05,10.10,--
2021-01-02,06:20:05,10.10,--
2021-01-02,06:25:05,10.10,--
2021-01-02,06:30:05,10.10,--
2021-01-02,06:35:05,10.10,--
2021-01-02,06:40:05,10.10,--
2021-01-02,06:45:05,10.10,--
2021-01-02,06:50:05,10.10,--
2021-01-02,06:55:05,10.10,--
2021-01-02,07:00:05,10.10,--
2021-01-02,07:05:05,10.10,--
2021-01-02,07:10:05,10.10,--
2021-01-02,07:15:05,10.10,--
