デバイス情報
******************************
デバイスタイプ:	   長距離無線温度センサー
ID:   CA200002
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2021-02-10 18:50:01
終了時刻:      2021-02-11 17:55:59
測定データ数:      1394
測定時間:      23h 5m 58s 
最大値:        21.40℃/--%RH
最小値:        6.80℃/--%RH
平均値:        10.30℃ /--%RH
平均動態温度:10.40℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2021-02-10,18:50:01, 21.40,--
2021-02-10,18:51:01, 21.30,--
2021-02-10,18:52:01, 21.10,--
2021-02-10,18:53:01, 21.00,--
2021-02-10,18:54:01, 20.90,--
2021-02-10,18:55:01, 20.80,--
2021-02-10,18:56:01, 20.60,--
2021-02-10,18:57:01, 20.50,--
2021-02-10,18:58:01, 20.30,--
2021-02-10,18:59:01, 20.20,--
2021-02-10,19:00:01, 20.10,--
2021-02-10,19:01:01, 20.00,--
2021-02-10,19:02:01, 20.00,--
2021-02-10,19:03:01, 20.00,--
2021-02-10,19:04:01, 19.89,--
2021-02-10,19:05:01, 19.80,--
2021-02-10,19:06:01, 19.80,--
2021-02-10,19:07:01, 19.70,--
2021-02-10,19:08:01, 19.60,--
2021-02-10,19:09:01, 19.50,--
2021-02-10,19:10:01, 19.50,--
2021-02-10,19:11:01, 19.50,--
2021-02-10,19:12:01, 19.39,--
2021-02-10,19:13:01, 19.39,--
2021-02-10,19:14:01, 19.30,--
2021-02-10,19:15:01, 19.30,--
2021-02-10,19:16:01, 19.30,--
2021-02-10,19:17:01, 19.30,--
2021-02-10,19:18:01, 19.30,--
2021-02-10,19:19:01, 19.20,--
2021-02-10,19:20:01, 19.20,--
2021-02-10,19:21:01, 19.10,--
2021-02-10,19:22:01, 19.10,--
2021-02-10,19:23:01, 19.10,--
2021-02-10,19:24:01, 19.10,--
2021-02-10,19:25:01, 19.10,--
2021-02-10,19:26:01, 19.10,--
2021-02-10,19:27:01, 19.10,--
2021-02-10,19:28:01, 19.10,--
2021-02-10,19:29:01, 19.10,--
