デバイス情報
******************************
デバイスタイプ:	   DL1201
ID:   CA200312
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2021-01-15 19:58:14
終了時刻:      2021-01-18 14:18:58
測定データ数:      60
測定時間:      2d 18h 20m 44s 
最大値:        33.29℃/--%RH
最小値:        -12.50℃/--%RH
平均値:        20.70℃ /--%RH
平均動態温度:21.50℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2021-01-15,19:58:14, 23.70,--
2021-01-15,19:58:23, 23.60,--
2021-01-15,20:11:44, 23.40,--
2021-01-15,20:26:44, 23.00,--
2021-01-15,21:09:35, 23.00,--
2021-01-15,21:10:28, 23.40,--
2021-01-15,21:10:35, 23.30,--
2021-01-15,21:10:59, 23.30,--
2021-01-15,21:11:17, 28.30,--
2021-01-15,21:11:36, 30.80,--
2021-01-15,21:11:50, 31.80,--
2021-01-15,21:12:00, 32.10,--
2021-01-15,21:12:05, 32.29,--
2021-01-15,21:13:16, 33.29,--
2021-01-15,21:14:08, 29.80,--
2021-01-15,21:24:29, 22.90,--
2021-01-15,21:26:25, 22.80,--
2021-01-15,21:39:14, 22.20,--
2021-01-15,21:39:21, 22.20,--
2021-01-15,21:39:29, 22.20,--
2021-01-15,21:39:45, 22.30,--
2021-01-15,21:41:09, 22.30,--
2021-01-16,09:31:53, 22.10,--
2021-01-16,09:46:45, 0.60,--
2021-01-16,10:01:45, -11.50,--
2021-01-16,10:16:45, -12.50,--
2021-01-16,10:31:45, -9.80,--
2021-01-16,10:46:45, -11.60,--
2021-01-16,11:01:45, -11.90,--
2021-01-16,11:16:45, -11.90,--
2021-01-16,11:47:21, 18.89,--
2021-01-16,12:19:33, 22.30,--
2021-01-16,12:48:26, 22.30,--
2021-01-16,13:03:15, 22.30,--
2021-01-16,14:08:49, 23.30,--
2021-01-16,14:23:30, 27.80,--
2021-01-16,14:38:29, 27.80,--
2021-01-16,14:53:29, 28.20,--
2021-01-16,15:08:29, 28.00,--
2021-01-16,15:23:29, 27.90,--
2021-01-16,15:38:29, 27.70,--
2021-01-16,15:53:29, 27.30,--
2021-01-16,16:08:29, 27.60,--
2021-01-16,16:23:29, 27.60,--
2021-01-16,16:38:29, 27.60,--
2021-01-16,16:53:29, 27.60,--
2021-01-16,17:08:29, 27.60,--
2021-01-16,17:23:29, 27.10,--
2021-01-18,13:06:59, 21.00,--
2021-01-18,13:07:13, 21.60,--
2021-01-18,13:21:48, 21.00,--
2021-01-18,13:36:48, 21.00,--
2021-01-18,13:51:48, 21.70,--
2021-01-18,14:12:58, 22.90,--
2021-01-18,14:13:58, 22.50,--
2021-01-18,14:14:58, 22.30,--
2021-01-18,14:15:58, 22.10,--
2021-01-18,14:16:58, 22.10,--
2021-01-18,14:17:58, 22.10,--
2021-01-18,14:18:58, 22.00,--

