デバイス情報
******************************
デバイスタイプ:	   DL1201
ID:   CA200317
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2021-01-15 18:19:54
終了時刻:      2021-01-15 19:17:22
測定データ数:      12
測定時間:      0h 57m 28s 
最大値:        24.80℃/--%RH
最小値:        22.60℃/--%RH
平均値:        23.20℃ /--%RH
平均動態温度:23.20℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2021-01-15,18:19:54, 22.90,--
2021-01-15,18:20:35, 22.90,--
2021-01-15,18:21:23, 22.90,--
2021-01-15,18:35:35, 22.60,--
2021-01-15,18:37:40, 22.60,--
2021-01-15,18:39:45, 22.80,--
2021-01-15,18:47:09, 23.10,--
2021-01-15,18:50:35, 23.20,--
2021-01-15,18:53:23, 23.70,--
2021-01-15,18:53:38, 23.70,--
2021-01-15,19:05:34, 23.90,--
2021-01-15,19:17:22, 24.80,--

