デバイス情報
******************************
デバイスタイプ:	   長距離無線温度センサー
ID:   CA200502
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2021-02-12 18:00:04
終了時刻:      2021-02-12 18:12:04
測定データ数:      13
測定時間:      0h 12m 0s 
最大値:        22.30℃/--%RH
最小値:        22.00℃/--%RH
平均値:        22.10℃ /--%RH
平均動態温度:22.10℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2021-02-12,18:00:04, 22.30,--
2021-02-12,18:01:04, 22.30,--
2021-02-12,18:02:04, 22.30,--
2021-02-12,18:03:04, 22.30,--
2021-02-12,18:04:04, 22.30,--
2021-02-12,18:05:04, 22.20,--
2021-02-12,18:06:04, 22.10,--
2021-02-12,18:07:04, 22.10,--
2021-02-12,18:08:04, 22.10,--
2021-02-12,18:09:04, 22.10,--
2021-02-12,18:10:04, 22.10,--
2021-02-12,18:11:04, 22.10,--
2021-02-12,18:12:04, 22.00,--

