デバイス情報
******************************
デバイスタイプ:	   DL2101
ID:   CB200002
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-04 09:37:09
終了時刻:      2020-12-14 15:34:40
測定データ数:      925
測定時間:      10d 5h 57m 31s 
最大値:        26.50℃/48.6%RH
最小値:        15.50℃/32.29%RH
平均値:        19.30℃ /40%RH
平均動態温度:19.39℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-04,09:37:09, 23.60,38.9
2020-12-04,09:52:21, 24.00,38.4
2020-12-04,10:07:33, 24.30,38.1
2020-12-04,10:22:45, 24.30,38.2
2020-12-04,10:37:57, 24.60,38.1
2020-12-04,10:53:09, 24.70,37.7
2020-12-04,11:03:17, 24.90,37.1
2020-12-04,11:18:29, 24.90,37.5
2020-12-04,11:33:41, 25.00,37.2
2020-12-04,11:53:58, 25.00,36.79
2020-12-04,12:04:06, 25.10,36.79
2020-12-04,12:24:22, 25.10,37
2020-12-04,12:39:34, 25.20,36.79
2020-12-04,12:49:42, 25.30,37
2020-12-04,13:04:54, 25.40,37
2020-12-04,13:20:06, 25.40,37
2020-12-04,13:35:18, 25.40,36.9
2020-12-04,13:50:30, 25.60,36.4
2020-12-04,14:05:42, 25.90,36.4
2020-12-04,14:20:54, 25.70,36.7
2020-12-04,14:36:06, 26.00,36.29
2020-12-04,14:51:19, 26.10,36.5
2020-12-04,15:06:31, 26.20,36.6
2020-12-04,15:21:43, 26.30,36.2
2020-12-04,15:36:55, 26.40,36.29
2020-12-04,15:52:07, 26.50,36.2
2020-12-04,16:07:19, 26.40,36.6
2020-12-04,16:22:31, 26.20,36.6
2020-12-04,16:37:43, 26.30,36.4
2020-12-04,16:52:55, 26.40,36.5
2020-12-04,17:08:07, 26.40,36.7
2020-12-04,17:23:19, 26.30,36.6
2020-12-04,17:33:35, 25.40,37.7
2020-12-04,17:53:51, 24.40,38.9
2020-12-04,18:03:59, 23.60,39.7
2020-12-04,18:19:11, 23.00,40.4
2020-12-04,18:39:27, 22.50,40.9
2020-12-04,18:49:35, 22.10,41.3
2020-12-04,19:19:59, 21.80,41.9
2020-12-04,19:35:11, 21.30,42.4
2020-12-04,19:50:23, 21.10,42.6
2020-12-04,20:05:35, 20.90,42.7
2020-12-04,20:20:47, 20.70,42.8
2020-12-04,20:36:00, 20.60,43
2020-12-04,20:51:12, 20.50,43.1
2020-12-04,21:06:24, 20.39,43.2
2020-12-04,21:21:36, 20.20,43.3
2020-12-04,21:36:48, 20.20,43.4
2020-12-04,21:52:00, 20.10,43.4
2020-12-04,22:07:12, 20.00,43.5
2020-12-04,22:22:24, 19.89,43.5
2020-12-04,22:37:36, 19.89,43.6
2020-12-04,22:52:48, 19.80,43.7
2020-12-04,23:02:56, 19.80,43.8
2020-12-04,23:23:13, 19.60,44
2020-12-04,23:38:25, 19.60,44
2020-12-04,23:53:37, 19.60,44.1
2020-12-05,00:03:45, 19.50,44.2
2020-12-05,00:24:01, 19.50,44.3
2020-12-05,00:39:13, 19.39,44.3
2020-12-05,00:49:21, 19.39,44.4
2020-12-05,01:04:33, 19.30,44.4
2020-12-05,01:24:49, 19.20,44.5
2020-12-05,01:40:01, 19.20,44.6
2020-12-05,01:50:09, 19.20,44.6
2020-12-05,02:05:21, 19.10,44.7
2020-12-05,02:20:34, 19.10,44.7
2020-12-05,02:35:46, 19.00,44.7
2020-12-05,02:50:58, 19.00,44.8
2020-12-05,03:06:10, 18.89,44.9
2020-12-05,03:21:22, 18.89,45
2020-12-05,03:36:34, 18.80,45
2020-12-05,03:51:46, 18.80,45.1
2020-12-05,04:06:58, 18.70,45.1
2020-12-05,04:22:10, 18.70,45.1
2020-12-05,04:37:22, 18.70,45.2
2020-12-05,04:52:34, 18.60,45.2
2020-12-05,05:07:46, 18.60,45.3
2020-12-05,05:22:59, 18.60,45.2
2020-12-05,05:38:11, 18.60,45.2
2020-12-05,05:53:23, 18.50,45.3
2020-12-05,06:03:31, 18.39,45.4
2020-12-05,06:18:43, 18.39,45.3
2020-12-05,06:33:55, 18.39,45.3
2020-12-05,06:54:11, 18.39,45.4
2020-12-05,07:04:19, 18.39,45.3
2020-12-05,07:19:31, 18.30,45.3
2020-12-05,07:34:43, 18.30,45.2
2020-12-05,07:49:55, 18.30,45.3
2020-12-05,08:05:07, 18.30,45.2
2020-12-05,08:20:20, 18.30,45.2
2020-12-05,08:35:32, 18.30,45.1
2020-12-05,08:50:44, 18.30,45.1
2020-12-05,09:05:56, 18.30,45
2020-12-05,09:21:08, 18.30,44.9
2020-12-05,09:36:20, 18.30,44.9
2020-12-05,09:51:32, 18.20,44.9
2020-12-05,10:06:44, 18.30,44.8
2020-12-05,10:21:56, 18.20,44.8
2020-12-05,10:37:08, 18.20,44.8
2020-12-05,10:52:20, 18.20,44.7
2020-12-05,11:07:32, 18.20,44.6
2020-12-05,11:22:45, 18.20,44.4
2020-12-05,11:37:57, 18.39,44.3
2020-12-05,11:53:09, 18.50,44.2
2020-12-05,12:08:21, 18.50,43.9
2020-12-05,12:18:29, 18.50,43.8
2020-12-05,12:38:45, 18.50,43.6
2020-12-05,12:48:53, 18.39,43.6
2020-12-05,13:04:05, 18.50,43.7
2020-12-05,13:24:21, 18.60,43.5
2020-12-05,13:39:33, 18.60,43.3
2020-12-05,13:49:41, 18.70,43.2
2020-12-05,14:04:53, 18.80,43.1
2020-12-05,14:20:06, 18.70,43
2020-12-05,14:35:18, 18.70,43.1
2020-12-05,14:50:30, 18.70,43
2020-12-05,15:05:42, 18.60,43
2020-12-05,15:20:54, 18.39,42.9
2020-12-05,15:36:06, 18.39,43
2020-12-05,15:51:18, 18.30,43.1
2020-12-05,16:06:30, 18.20,43.2
2020-12-05,16:21:42, 18.20,43.2
2020-12-05,16:36:54, 18.10,43.3
2020-12-05,16:52:06, 18.10,43.4
2020-12-05,17:07:18, 18.00,43.4
2020-12-05,17:22:31, 17.89,43.6
2020-12-05,17:37:43, 17.89,43.6
2020-12-05,17:53:11, 17.80,43.6
2020-12-05,18:03:19, 17.80,43.8
2020-12-05,18:23:36, 17.80,43.9
2020-12-05,18:38:48, 17.70,44
2020-12-05,18:54:00, 17.70,44
2020-12-05,19:04:08, 17.70,44
2020-12-05,19:24:24, 17.70,44.1
2020-12-05,19:34:32, 17.60,44.1
2020-12-05,19:49:44, 17.60,44.2
2020-12-05,20:04:56, 17.50,44.2
2020-12-05,20:20:08, 17.50,44.2
2020-12-05,20:35:20, 17.50,44.2
2020-12-05,20:50:32, 17.50,44.3
2020-12-05,21:05:45, 17.39,44.4
2020-12-05,21:20:57, 17.39,44.5
2020-12-05,21:36:09, 17.39,44.5
2020-12-05,21:51:21, 17.39,44.5
2020-12-05,22:06:33, 17.30,44.6
2020-12-05,22:21:45, 17.30,44.7
2020-12-05,22:36:57, 17.30,44.8
2020-12-05,22:52:09, 17.30,44.7
2020-12-05,23:07:21, 17.30,44.8
2020-12-05,23:22:33, 17.20,45
2020-12-05,23:37:45, 17.20,45
2020-12-05,23:47:53, 17.20,45.1
2020-12-06,00:03:06, 17.10,45.1
2020-12-06,00:18:18, 17.10,45.2
2020-12-06,00:38:34, 17.10,45.2
2020-12-06,00:53:46, 17.10,45.1
2020-12-06,01:08:58, 17.00,45.1
2020-12-06,01:19:06, 17.10,45.1
2020-12-06,01:34:18, 17.00,45.3
2020-12-06,01:49:30, 17.00,45.3
2020-12-06,02:04:42, 17.00,45.3
2020-12-06,02:19:54, 17.00,45.4
2020-12-06,02:35:06, 16.89,45.5
2020-12-06,02:50:18, 16.89,45.5
2020-12-06,03:05:31, 16.89,45.4
2020-12-06,03:20:43, 16.89,45.4
2020-12-06,03:35:55, 16.80,45.6
2020-12-06,03:51:07, 16.80,45.6
2020-12-06,04:06:19, 16.80,45.7
2020-12-06,04:21:31, 16.80,45.7
2020-12-06,04:36:43, 16.80,45.7
2020-12-06,04:51:55, 16.70,45.8
2020-12-06,05:07:07, 16.70,45.8
2020-12-06,05:22:19, 16.70,45.8
2020-12-06,05:37:31, 16.70,45.8
2020-12-06,05:52:43, 16.60,45.6
2020-12-06,06:07:56, 16.60,45.7
2020-12-06,06:23:08, 16.60,45.7
2020-12-06,06:38:20, 16.60,45.8
2020-12-06,06:53:32, 16.60,45.9
2020-12-06,07:08:44, 16.60,45.9
2020-12-06,07:18:52, 16.60,45.8
2020-12-06,07:34:04, 16.50,45.9
2020-12-06,07:49:16, 16.50,46
2020-12-06,08:04:28, 16.50,46.1
2020-12-06,08:19:40, 16.50,46.1
2020-12-06,08:34:52, 16.50,46.1
2020-12-06,08:50:04, 16.50,46.1
2020-12-06,09:05:17, 16.50,46.1
2020-12-06,09:20:29, 16.50,46
2020-12-06,09:35:41, 16.50,46
2020-12-06,09:50:53, 16.50,46.2
2020-12-06,10:06:05, 16.60,46.2
2020-12-06,10:21:17, 16.60,46.2
2020-12-06,10:36:29, 16.60,46.2
2020-12-06,10:51:41, 16.60,46.1
2020-12-06,11:06:53, 16.60,46.1
2020-12-06,11:22:05, 16.60,46.1
2020-12-06,11:37:17, 16.89,45.7
2020-12-06,11:52:29, 17.00,45.6
2020-12-06,12:07:42, 17.10,45.4
2020-12-06,12:22:54, 17.10,45.2
2020-12-06,12:33:02, 17.10,45.2
2020-12-06,12:53:18, 17.00,45.2
2020-12-06,13:03:26, 17.10,45.1
2020-12-06,13:18:38, 17.20,45
2020-12-06,13:38:54, 17.30,44.9
2020-12-06,13:49:02, 17.39,44.8
2020-12-06,14:04:14, 17.50,44.6
2020-12-06,14:19:26, 17.50,44.5
2020-12-06,14:34:38, 17.50,44.6
2020-12-06,14:49:50, 17.39,44.6
2020-12-06,15:05:03, 17.30,44.7
2020-12-06,15:20:15, 17.30,44.7
2020-12-06,15:35:27, 17.30,44.7
2020-12-06,15:50:39, 17.20,44.9
2020-12-06,16:05:51, 17.10,45
2020-12-06,16:21:03, 17.10,45.1
2020-12-06,16:36:15, 17.00,45.2
2020-12-06,16:51:27, 16.89,45.3
2020-12-06,17:06:39, 16.89,45.3
2020-12-06,17:21:51, 16.89,45.4
2020-12-06,17:37:03, 16.89,45.5
2020-12-06,17:52:16, 16.80,45.5
2020-12-06,18:07:44, 16.80,45.7
2020-12-06,18:22:56, 16.80,45.7
2020-12-06,18:38:08, 16.80,45.8
2020-12-06,18:53:21, 16.70,45.9
2020-12-06,19:03:29, 16.70,46.1
2020-12-06,19:23:45, 16.70,46.2
2020-12-06,19:33:53, 16.70,46.3
2020-12-06,19:49:05, 16.70,46.5
2020-12-06,20:04:17, 16.70,46.6
2020-12-06,20:19:29, 16.60,46.6
2020-12-06,20:39:45, 16.60,47.1
2020-12-06,20:49:53, 16.60,47.1
2020-12-06,21:05:05, 16.60,47.1
2020-12-06,21:20:17, 16.60,47.1
2020-12-06,21:35:29, 16.60,47.2
2020-12-06,21:50:42, 16.50,47.2
2020-12-06,22:05:54, 16.50,47.2
2020-12-06,22:21:06, 16.50,47.2
2020-12-06,22:36:18, 16.50,47.3
2020-12-06,22:51:30, 16.50,47.2
2020-12-06,23:06:42, 16.50,47.2
2020-12-06,23:21:54, 16.50,47.2
2020-12-06,23:37:06, 16.50,47.3
2020-12-06,23:52:18, 16.39,47.4
2020-12-07,00:07:30, 16.50,47.5
2020-12-07,00:22:42, 16.39,47.7
2020-12-07,00:37:55, 16.39,47.7
2020-12-07,00:53:07, 16.39,47.6
2020-12-07,01:03:15, 16.39,47.6
2020-12-07,01:18:27, 16.30,47.6
2020-12-07,01:33:39, 16.30,47.7
2020-12-07,01:53:55, 16.30,47.7
2020-12-07,02:04:03, 16.30,47.8
2020-12-07,02:19:15, 16.30,47.8
2020-12-07,02:39:31, 16.30,47.8
2020-12-07,02:49:39, 16.30,47.8
2020-12-07,03:04:51, 16.30,47.8
2020-12-07,03:20:03, 16.20,48
2020-12-07,03:35:15, 16.20,48
2020-12-07,03:50:28, 16.20,48
2020-12-07,04:05:40, 16.20,48.1
2020-12-07,04:20:52, 16.20,48.1
2020-12-07,04:36:04, 16.10,48.1
2020-12-07,04:51:16, 16.20,48.1
2020-12-07,05:06:28, 16.10,48.1
2020-12-07,05:21:40, 16.10,48.2
2020-12-07,05:36:52, 16.10,48.2
2020-12-07,05:52:04, 16.10,48.2
2020-12-07,06:07:16, 16.10,48.2
2020-12-07,06:22:28, 16.10,48.3
2020-12-07,06:32:36, 16.10,48.3
2020-12-07,06:52:53, 16.10,48.4
2020-12-07,07:08:05, 16.00,48.4
2020-12-07,07:18:13, 16.00,48.4
2020-12-07,07:38:29, 16.10,48.6
2020-12-07,07:53:41, 17.30,47.6
2020-12-07,08:08:53, 18.60,46.6
2020-12-07,08:24:05, 19.70,46.4
2020-12-07,08:34:13, 20.70,44.6
2020-12-07,08:49:25, 21.40,44.2
2020-12-07,09:09:41, 22.00,43.2
2020-12-07,09:19:49, 22.50,42.4
2020-12-07,09:35:02, 22.90,42.1
2020-12-07,09:50:14, 23.00,41.8
2020-12-07,10:05:26, 23.30,41.8
2020-12-07,10:20:38, 23.60,41
2020-12-07,10:35:50, 23.90,40.7
2020-12-07,10:51:02, 24.10,40.5
2020-12-07,11:06:14, 24.40,40.29
2020-12-07,11:21:26, 24.50,40.1
2020-12-07,11:36:38, 24.60,39.9
2020-12-07,11:51:50, 24.50,40.2
2020-12-07,12:07:02, 24.70,40.1
2020-12-07,12:22:14, 24.80,39.7
2020-12-07,12:37:27, 24.90,39.6
2020-12-07,12:52:39, 24.90,39.5
2020-12-07,13:07:51, 25.00,39.5
2020-12-07,13:23:03, 25.10,39.5
2020-12-07,13:38:15, 25.30,39.29
2020-12-07,13:53:27, 25.00,39.6
2020-12-07,14:03:35, 25.20,39.29
2020-12-07,14:18:47, 25.30,39.29
2020-12-07,14:39:03, 25.50,39
2020-12-07,14:49:11, 25.60,38.9
2020-12-07,15:09:27, 25.70,38.79
2020-12-07,15:19:35, 25.70,38.7
2020-12-07,15:34:47, 25.80,39.29
2020-12-07,15:50:00, 25.30,39.4
2020-12-07,16:05:12, 25.60,39.5
2020-12-07,16:20:24, 25.80,39
2020-12-07,16:35:36, 25.90,39.2
2020-12-07,16:50:48, 26.00,39.5
2020-12-07,17:06:00, 26.00,39.4
2020-12-07,17:21:12, 26.10,39.29
2020-12-07,17:36:24, 25.30,39.9
2020-12-07,17:51:36, 24.10,41.2
2020-12-07,18:06:48, 23.20,42
2020-12-07,18:22:17, 22.50,42.6
2020-12-07,18:37:29, 21.90,43.2
2020-12-07,18:52:41, 21.50,43.7
2020-12-07,19:07:53, 21.00,44.1
2020-12-07,19:23:05, 20.70,44.4
2020-12-07,19:38:17, 20.50,44.7
2020-12-07,19:53:29, 20.30,44.9
2020-12-07,20:08:41, 20.00,45.2
2020-12-07,20:23:53, 19.89,45.4
2020-12-07,20:39:06, 19.70,45.6
2020-12-07,20:54:18, 19.60,45.8
2020-12-07,21:04:26, 19.50,45.8
2020-12-07,21:19:38, 19.39,45.9
2020-12-07,21:34:50, 19.30,45.9
2020-12-07,21:50:02, 19.20,46.1
2020-12-07,22:05:14, 19.10,46
2020-12-07,22:20:26, 19.00,46
2020-12-07,22:35:38, 18.89,46
2020-12-07,22:50:50, 18.89,46.1
2020-12-07,23:06:02, 18.80,46.1
2020-12-07,23:21:14, 18.70,46.1
2020-12-07,23:36:27, 18.70,46.2
2020-12-07,23:51:39, 18.60,46.2
2020-12-08,00:06:51, 18.60,46.2
2020-12-08,00:22:03, 18.50,46.3
2020-12-08,00:37:15, 18.50,46.3
2020-12-08,00:52:27, 18.39,46.4
2020-12-08,01:02:35, 18.39,46.4
2020-12-08,01:22:51, 18.39,46.4
2020-12-08,01:38:03, 18.30,46.5
2020-12-08,01:53:15, 18.30,46.5
2020-12-08,02:08:27, 18.30,46.5
2020-12-08,02:18:35, 18.20,46.4
2020-12-08,02:33:48, 18.20,46.5
2020-12-08,02:54:04, 18.20,46.7
2020-12-08,03:04:12, 18.10,46.7
2020-12-08,03:24:28, 18.10,46.7
2020-12-08,03:34:36, 18.10,46.8
