デバイス情報
******************************
デバイスタイプ:	   DL2101
ID:   CB200003
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-11-11 21:07:15
終了時刻:      2020-11-18 20:52:04
測定データ数:      663
測定時間:      6d 23h 44m 49s 
最大値:        21.20℃/53%RH
最小値:        10.80℃/39.7%RH
平均値:        14.90℃ /40%RH
平均動態温度:15.00℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-11-11,21:07:15, 14.60,39.9
2020-11-11,21:22:28, 14.40,40.1
2020-11-11,21:37:40, 14.30,40.2
2020-11-11,21:52:52, 14.20,40.29
2020-11-11,22:08:04, 14.00,40.5
2020-11-11,22:23:16, 13.90,40.5
2020-11-11,22:38:28, 13.70,40.7
2020-11-11,22:53:40, 13.60,40.7
2020-11-11,23:08:52, 13.50,40.7
2020-11-11,23:24:04, 13.40,40.79
2020-11-11,23:39:16, 13.30,40.9
2020-11-11,23:49:24, 13.20,40.9
2020-11-12,00:04:36, 13.10,41.1
2020-11-12,00:24:53, 13.00,41
2020-11-12,00:35:01, 12.90,41.2
2020-11-12,00:50:13, 12.80,41.4
2020-11-12,01:10:29, 12.70,41.4
2020-11-12,01:25:41, 12.60,41.5
2020-11-12,01:35:49, 12.50,41.6
2020-11-12,01:51:01, 12.40,41.7
2020-11-12,02:06:13, 12.40,41.7
2020-11-12,02:21:25, 12.30,41.7
2020-11-12,02:36:37, 12.20,41.8
2020-11-12,02:51:49, 12.10,42
2020-11-12,03:07:01, 12.10,42
2020-11-12,03:22:14, 12.00,42.1
2020-11-12,03:37:26, 11.90,42.1
2020-11-12,03:52:38, 11.90,42
2020-11-12,04:07:50, 11.80,42
2020-11-12,04:23:02, 11.70,42.1
2020-11-12,04:38:14, 11.70,42.2
2020-11-12,04:53:26, 11.60,42.3
2020-11-12,05:08:38, 11.60,42.5
2020-11-12,05:23:50, 11.50,42.6
2020-11-12,05:39:02, 11.40,42.6
2020-11-12,05:54:14, 11.40,42.7
2020-11-12,06:09:26, 11.30,42.7
2020-11-12,06:24:39, 11.30,42.8
2020-11-12,06:39:51, 11.20,43
2020-11-12,06:49:59, 11.20,43.1
2020-11-12,07:10:15, 11.10,43.3
2020-11-12,07:20:23, 11.10,43.5
2020-11-12,07:35:35, 11.00,43.7
2020-11-12,07:50:47, 11.00,43.8
2020-11-12,08:11:03, 11.00,44.1
2020-11-12,08:21:11, 11.20,43.9
2020-11-12,08:36:23, 11.60,43.7
2020-11-12,08:51:35, 11.60,43.7
2020-11-12,09:06:47, 11.90,43.4
2020-11-12,09:21:59, 12.20,43.2
2020-11-12,09:37:12, 12.30,42.8
2020-11-12,09:52:24, 12.50,42.7
2020-11-12,10:07:36, 12.60,42.5
2020-11-12,10:22:48, 12.90,42.6
2020-11-12,10:38:00, 13.10,42.5
2020-11-12,10:53:12, 13.50,42.7
2020-11-12,11:08:24, 13.70,42.7
2020-11-12,11:23:36, 14.10,42.9
2020-11-12,11:38:48, 14.30,42.9
2020-11-12,11:54:00, 14.50,43.1
2020-11-12,12:09:12, 14.80,43.4
2020-11-12,12:24:24, 15.10,42.9
2020-11-12,12:34:33, 15.30,42.8
2020-11-12,12:49:45, 15.50,42.7
2020-11-12,13:04:57, 15.80,43
2020-11-12,13:25:13, 16.00,42.7
2020-11-12,13:40:25, 16.20,42.7
2020-11-12,13:55:37, 16.30,42.6
2020-11-12,14:10:49, 16.60,42.7
2020-11-12,14:26:01, 16.80,42.9
2020-11-12,14:36:09, 17.00,42.8
2020-11-12,14:51:21, 17.10,42.7
2020-11-12,15:06:33, 17.30,42.7
2020-11-12,15:21:45, 17.39,42.3
2020-11-12,15:36:58, 17.60,41.6
2020-11-12,15:52:10, 17.50,41.8
2020-11-12,16:07:22, 17.70,41.7
2020-11-12,16:22:34, 17.60,41.9
2020-11-12,16:37:46, 17.70,41.9
2020-11-12,16:52:58, 17.80,41.9
2020-11-12,17:08:10, 17.80,41.5
2020-11-12,17:23:22, 17.70,41.5
2020-11-12,17:38:34, 17.70,41.5
2020-11-12,17:53:46, 17.70,40.9
2020-11-12,18:08:58, 17.60,40.4
2020-11-12,18:24:10, 17.50,39.7
2020-11-12,18:39:23, 17.20,39.9
2020-11-12,18:49:31, 17.10,39.9
2020-11-12,19:09:47, 16.89,40.1
2020-11-12,19:25:10, 16.60,40.29
2020-11-12,19:40:22, 16.39,40.5
2020-11-12,19:50:30, 16.20,40.6
2020-11-12,20:05:42, 16.00,40.7
2020-11-12,20:20:54, 15.80,40.79
2020-11-12,20:41:11, 15.60,41.1
2020-11-12,20:51:19, 15.50,41.2
2020-11-12,21:11:35, 15.30,41.4
2020-11-12,21:21:43, 15.20,41.7
2020-11-12,21:36:55, 15.10,41.7
2020-11-12,21:52:07, 14.90,42
2020-11-12,22:07:19, 14.80,42.1
2020-11-12,22:22:31, 14.70,42.3
2020-11-12,22:37:43, 14.50,42.3
2020-11-12,22:52:55, 14.40,42.5
2020-11-12,23:08:07, 14.30,42.5
2020-11-12,23:23:19, 14.20,42.6
