デバイス情報
******************************
デバイスタイプ:	   DL2101
ID:   CB200004
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-10-29 00:07:50
終了時刻:      2020-10-29 12:42:13
測定データ数:      48
測定時間:      12h 34m 23s 
最大値:        31.20℃/68.7%RH
最小値:        21.00℃/42.1%RH
平均値:        22.10℃ /50%RH
平均動態温度:22.10℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-10-29,00:07:50, 22.80,63
2020-10-29,00:10:12, 25.80,57.3
2020-10-29,00:16:44, 26.60,52.5
2020-10-29,00:18:06, 26.60,52.3
2020-10-29,00:27:11, 31.20,42.1
2020-10-29,00:43:48, 24.30,56.7
2020-10-29,00:59:00, 22.90,61.3
2020-10-29,01:14:12, 22.50,62.5
2020-10-29,01:29:25, 22.20,63.2
2020-10-29,01:29:25, 22.20,63.2
2020-10-29,01:29:25, 22.20,63.2
2020-10-29,01:44:37, 22.10,63.6
2020-10-29,01:54:45, 21.90,64
2020-10-29,02:15:01, 21.80,64.2
2020-10-29,02:30:13, 21.80,64.4
2020-10-29,02:45:25, 21.70,64.5
2020-10-29,03:00:37, 21.60,64.5
2020-10-29,03:10:45, 21.50,64.7
2020-10-29,03:25:57, 21.50,64.59
2020-10-29,03:41:09, 21.40,64.7
2020-10-29,03:56:21, 21.40,64.7
2020-10-29,04:11:34, 21.40,64.7
2020-10-29,04:26:46, 21.30,64.7
2020-10-29,06:43:35, 21.10,65
2020-10-29,06:57:39, 21.20,65.09
2020-10-29,07:12:51, 21.20,65.9
2020-10-29,07:28:03, 21.30,66.9
2020-10-29,07:43:15, 21.40,67.8
2020-10-29,07:58:27, 21.50,68.5
2020-10-29,08:13:39, 21.60,68.7
2020-10-29,08:28:51, 21.50,67.2
2020-10-29,08:44:04, 21.30,59.2
2020-10-29,08:59:16, 21.10,55.7
2020-10-29,09:14:28, 21.10,54
2020-10-29,09:29:40, 21.00,54.6
2020-10-29,09:44:52, 21.00,53.7
2020-10-29,10:00:04, 21.00,52.6
2020-10-29,10:15:16, 21.00,51.3
2020-10-29,10:30:28, 21.00,51.3
2020-10-29,10:40:36, 21.10,50.1
2020-10-29,10:55:48, 21.20,50.1
2020-10-29,11:11:00, 21.20,49.5
2020-10-29,11:31:16, 21.40,49.3
2020-10-29,11:46:29, 21.50,48.8
2020-10-29,11:56:37, 21.60,47.4
2020-10-29,12:11:49, 21.70,45.5
2020-10-29,12:27:01, 21.80,45.3
2020-10-29,12:42:13, 21.90,44.3

