デバイス情報
******************************
デバイスタイプ:	   DL2101
ID:   CB200004
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-16 20:50:55
終了時刻:      2020-12-23 20:30:34
測定データ数:      768
測定時間:      6d 23h 39m 39s 
最大値:        21.80℃/41.8%RH
最小値:        9.60℃/26%RH
平均値:        16.50℃ /30%RH
平均動態温度:16.60℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-16,20:50:55, 20.90,29
2020-12-16,21:06:08, 21.00,29.1
2020-12-16,21:21:20, 21.00,29.1
2020-12-16,21:31:28, 20.90,28.8
2020-12-16,21:51:44, 20.20,29.2
2020-12-16,22:06:56, 19.39,29.8
2020-12-16,22:17:04, 18.80,30.3
2020-12-16,22:36:48, 18.30,30.9
2020-12-16,22:52:00, 17.89,31.2
2020-12-16,23:07:12, 17.50,31.6
2020-12-16,23:22:24, 17.20,31.8
2020-12-16,23:37:36, 16.89,32.1
2020-12-16,23:52:48, 16.70,32.4
2020-12-17,00:08:00, 16.39,32.5
2020-12-17,00:18:08, 16.30,32.79
2020-12-17,00:38:24, 16.10,33
2020-12-17,00:48:32, 15.90,33.1
2020-12-17,01:03:45, 15.70,33.2
2020-12-17,01:18:57, 15.60,33.4
2020-12-17,01:34:09, 15.40,33.5
2020-12-17,01:49:21, 15.30,33.6
2020-12-17,02:04:33, 15.20,33.7
2020-12-17,02:19:45, 15.10,33.79
2020-12-17,02:34:57, 14.90,33.79
2020-12-17,02:50:09, 14.80,33.9
2020-12-17,03:05:21, 14.70,33.9
2020-12-17,03:20:33, 14.60,34.1
2020-12-17,03:35:45, 14.50,34.1
2020-12-17,03:50:58, 14.40,34.1
2020-12-17,04:06:10, 14.30,34.2
2020-12-17,04:21:22, 14.20,34.29
2020-12-17,04:36:34, 14.20,34.4
2020-12-17,04:51:46, 14.10,34.5
2020-12-17,05:06:58, 14.00,34.4
2020-12-17,05:22:10, 13.90,34.5
2020-12-17,05:37:22, 13.80,34.6
2020-12-17,05:52:34, 13.80,34.6
2020-12-17,06:02:42, 13.70,34.7
2020-12-17,06:22:58, 13.60,34.79
2020-12-17,06:33:07, 13.60,34.79
2020-12-17,06:48:19, 13.50,34.79
2020-12-17,07:03:31, 13.50,34.9
2020-12-17,07:18:43, 13.40,34.9
2020-12-17,07:38:59, 13.40,34.9
2020-12-17,07:49:07, 14.00,34.79
2020-12-17,08:04:19, 14.90,34.7
2020-12-17,08:19:31, 15.70,34.1
2020-12-17,08:34:43, 16.39,34.1
2020-12-17,08:49:55, 16.89,34.5
2020-12-17,09:05:07, 17.39,34.1
2020-12-17,09:20:20, 17.89,33.79
2020-12-17,09:35:32, 18.30,33.6
2020-12-17,09:50:44, 18.50,32.9
2020-12-17,10:05:56, 18.80,32.7
2020-12-17,10:21:08, 19.50,31.3
2020-12-17,10:36:20, 20.00,30.6
2020-12-17,10:51:32, 20.30,29.8
2020-12-17,11:06:44, 20.50,29.6
2020-12-17,11:21:56, 20.70,28.9
2020-12-17,11:37:04, 20.60,28.8
2020-12-17,11:47:12, 20.70,28.5
2020-12-17,12:02:24, 20.70,28.6
2020-12-17,12:17:36, 20.60,27.6
2020-12-17,12:37:52, 20.70,27.6
2020-12-17,12:53:04, 20.80,27.4
2020-12-17,13:03:12, 20.80,27.2
2020-12-17,13:18:24, 20.80,27
2020-12-17,13:33:37, 20.90,27.3
2020-12-17,13:48:49, 21.00,26.9
2020-12-17,14:04:01, 21.10,27.1
2020-12-17,14:19:13, 21.00,27.3
2020-12-17,14:34:25, 20.90,28
2020-12-17,14:49:37, 20.90,27.8
2020-12-17,15:04:49, 20.90,27.5
2020-12-17,15:20:01, 20.90,27.2
2020-12-17,15:35:13, 20.80,27.2
2020-12-17,15:50:25, 20.50,27.4
2020-12-17,16:05:37, 20.39,27.5
2020-12-17,16:20:50, 20.39,27.6
2020-12-17,16:36:02, 20.39,27.6
2020-12-17,16:51:14, 20.30,27.4
2020-12-17,17:06:26, 20.30,27.6
2020-12-17,17:21:38, 20.20,27.8
2020-12-17,17:36:50, 20.20,28.1
2020-12-17,17:46:58, 20.30,29.1
2020-12-17,18:07:14, 20.39,29.3
2020-12-17,18:17:22, 20.50,29.4
2020-12-17,18:32:34, 20.39,29
2020-12-17,18:47:46, 20.50,28.3
2020-12-17,19:08:03, 20.50,28.4
2020-12-17,19:18:11, 20.39,28.3
2020-12-17,19:33:23, 20.30,27.8
2020-12-17,19:48:35, 20.39,27.5
2020-12-17,20:03:47, 20.39,26.7
2020-12-17,20:18:59, 20.39,26.3
2020-12-17,20:34:09, 20.39,26
2020-12-17,20:49:21, 20.50,26.9
2020-12-17,21:04:33, 20.50,27.3
2020-12-17,21:19:45, 20.39,27.2
2020-12-17,21:34:57, 19.60,27.6
2020-12-17,21:50:09, 18.89,28.2
2020-12-17,22:05:21, 18.30,28.7
2020-12-17,22:20:33, 17.80,28.9
2020-12-17,22:35:45, 17.50,29.1
2020-12-17,22:51:14, 17.10,29.8
2020-12-17,23:06:27, 16.80,29.9
2020-12-17,23:21:39, 16.60,30.2
2020-12-17,23:36:51, 16.39,30.5
2020-12-17,23:52:03, 16.20,30.5
2020-12-18,00:02:11, 16.00,30.6
2020-12-18,00:22:27, 15.80,30.9
2020-12-18,00:32:35, 15.70,31
2020-12-18,00:52:51, 15.50,31.1
2020-12-18,01:18:10, 15.40,31.1
2020-12-18,01:33:22, 15.10,31.1
2020-12-18,01:48:34, 15.00,31.4
2020-12-18,02:03:46, 14.90,31.3
2020-12-18,02:18:58, 14.80,31.4
