デバイス情報
******************************
デバイスタイプ:	   DL2101
ID:   CB200164
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2020-12-23 13:53:32
終了時刻:      2020-12-23 14:03:22
測定データ数:      10
測定時間:      0h 9m 50s 
最大値:        26.10℃/45.4%RH
最小値:        24.90℃/39%RH
平均値:        25.50℃ /40%RH
平均動態温度:25.50℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2020-12-23,13:53:32, 24.90,40.1
2020-12-23,13:53:51, 24.90,41
2020-12-23,13:54:15, 25.00,45.4
2020-12-23,13:55:08, 25.20,40.9
2020-12-23,14:00:22, 25.80,39.7
2020-12-23,14:00:29, 25.80,40.2
2020-12-23,14:01:22, 25.90,39.79
2020-12-23,14:02:22, 26.10,39
2020-12-23,14:03:20, 26.10,39.9
2020-12-23,14:03:22, 26.10,39.9

