デバイス情報
******************************
デバイスタイプ:	   長距離無線温湿度センサー
ID:   CB200503
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2021-02-10 10:21:47
終了時刻:      2021-02-10 17:57:41
測定データ数:      410
測定時間:      7h 35m 54s 
最大値:        29.80℃/46.2%RH
最小値:        20.80℃/28.7%RH
平均値:        22.20℃ /40%RH
平均動態温度:22.20℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2021-02-10,10:21:47, 23.20,43.9
2021-02-10,11:14:05, 22.90,42
2021-02-10,11:14:05, 22.90,42
2021-02-10,11:14:05, 22.90,42
2021-02-10,11:14:05, 22.90,42
2021-02-10,11:14:05, 22.90,42
2021-02-10,11:14:05, 22.90,42
2021-02-10,11:14:48, 23.20,41.1
2021-02-10,11:15:04, 23.50,40.5
2021-02-10,11:15:48, 24.50,38.4
2021-02-10,11:16:48, 25.90,35.5
2021-02-10,11:17:48, 26.90,33.7
2021-02-10,11:18:48, 27.30,32.7
2021-02-10,11:19:13, 27.40,32.7
2021-02-10,11:19:46, 27.60,32.4
2021-02-10,11:19:48, 27.60,32.4
2021-02-10,11:20:48, 27.80,32
2021-02-10,11:21:48, 28.00,31.6
2021-02-10,11:22:48, 27.60,32.29
2021-02-10,11:23:48, 27.80,32.2
2021-02-10,11:24:48, 28.20,31.6
2021-02-10,11:25:48, 28.60,30.9
2021-02-10,11:26:48, 29.00,30.3
2021-02-10,11:27:48, 29.20,29.7
2021-02-10,11:28:48, 29.50,29.3
2021-02-10,11:29:48, 29.70,28.9
2021-02-10,11:30:48, 29.80,28.7
2021-02-10,11:31:48, 29.70,29.7
2021-02-10,11:32:48, 28.60,30.3
2021-02-10,11:33:48, 27.60,35
2021-02-10,11:34:48, 27.10,33.2
2021-02-10,11:35:48, 26.40,33.9
2021-02-10,11:36:48, 25.60,35.2
2021-02-10,11:37:48, 25.00,36.4
2021-02-10,11:38:48, 24.60,37.29
2021-02-10,11:39:48, 24.20,38
2021-02-10,11:40:48, 23.80,38.4
2021-02-10,11:41:48, 23.60,39
2021-02-10,11:42:48, 23.40,39.5
2021-02-10,11:43:48, 23.20,39.79
2021-02-10,11:44:12, 23.20,39.9
2021-02-10,11:44:48, 23.10,39.79
2021-02-10,11:45:48, 23.00,39.79
2021-02-10,11:46:48, 23.00,40.29
2021-02-10,11:47:48, 22.90,40.5
2021-02-10,11:48:48, 22.90,40.6
2021-02-10,11:49:48, 22.90,40.6
2021-02-10,11:50:48, 22.80,40.79
2021-02-10,11:51:48, 22.80,40.9
2021-02-10,11:52:48, 22.70,41
2021-02-10,11:53:48, 22.70,41.4
2021-02-10,11:54:48, 22.70,41.6
2021-02-10,11:55:48, 22.60,41.5
2021-02-10,11:56:48, 22.60,41.3
2021-02-10,11:57:48, 22.60,41.4
2021-02-10,11:58:48, 22.50,41.5
2021-02-10,11:59:48, 22.50,41.7
2021-02-10,12:00:48, 22.50,41.8
2021-02-10,12:01:48, 22.50,42
2021-02-10,12:02:48, 22.50,41.9
2021-02-10,12:03:48, 22.50,41.8
2021-02-10,12:04:48, 22.50,41.7
2021-02-10,12:05:48, 22.40,41.6
2021-02-10,12:06:48, 22.40,41.7
2021-02-10,12:07:48, 22.40,41.7
2021-02-10,12:08:48, 22.40,41.6
2021-02-10,12:09:48, 22.40,41.6
2021-02-10,12:10:48, 22.30,41.6
2021-02-10,12:11:48, 22.30,41.5
2021-02-10,12:12:48, 22.30,41.5
2021-02-10,12:13:48, 22.20,41.6
2021-02-10,12:14:48, 22.20,41.9
2021-02-10,12:15:48, 22.20,42
2021-02-10,12:16:48, 22.20,41.9
2021-02-10,12:17:48, 22.20,42
2021-02-10,12:18:48, 22.20,42
2021-02-10,12:19:48, 22.20,42.1
2021-02-10,12:20:48, 22.20,42.2
2021-02-10,12:21:48, 22.20,42.2
2021-02-10,12:22:48, 22.20,42.1
2021-02-10,12:23:48, 22.10,41.5
2021-02-10,12:24:48, 22.10,41.5
2021-02-10,12:25:48, 22.10,41.5
2021-02-10,12:26:48, 22.10,41.5
2021-02-10,12:27:48, 22.10,41.7
2021-02-10,12:28:48, 22.10,41.9
2021-02-10,12:29:48, 22.00,42.1
2021-02-10,12:30:48, 22.10,42.2
2021-02-10,12:31:48, 22.00,42.2
2021-02-10,12:32:48, 22.00,42.1
2021-02-10,12:33:48, 22.00,42.1
2021-02-10,12:34:48, 22.00,42.2
2021-02-10,12:35:48, 22.00,42.2
2021-02-10,12:36:48, 22.00,42.2
2021-02-10,12:37:48, 22.00,42
2021-02-10,12:38:48, 22.00,41.8
2021-02-10,12:39:48, 22.00,41.7
2021-02-10,12:40:47, 22.00,41.9
2021-02-10,12:41:47, 22.00,42.1
2021-02-10,12:42:47, 22.00,42.2
2021-02-10,12:43:47, 22.00,42.2
2021-02-10,12:44:47, 21.90,42.3
2021-02-10,12:45:47, 22.00,42.3
2021-02-10,12:46:47, 21.90,42.3
2021-02-10,12:47:47, 22.00,42.5
2021-02-10,12:48:47, 21.90,42.6
2021-02-10,12:49:47, 21.90,42.8
2021-02-10,12:50:47, 21.90,42.8
2021-02-10,12:51:47, 21.90,42.9
2021-02-10,12:52:47, 21.90,42.4
2021-02-10,12:53:47, 21.90,42.4
2021-02-10,12:54:47, 21.90,42.4
2021-02-10,12:55:47, 21.90,42.5
2021-02-10,12:56:47, 21.90,42.5
2021-02-10,12:57:47, 21.90,42.6
2021-02-10,12:58:47, 21.80,42.6
2021-02-10,12:59:47, 21.80,42.7
2021-02-10,13:00:47, 21.90,42.6
2021-02-10,13:01:47, 21.90,42.8
2021-02-10,13:02:47, 21.90,43.1
2021-02-10,13:03:47, 21.90,43
2021-02-10,13:04:47, 21.90,43.1
2021-02-10,13:05:47, 21.90,43.2
2021-02-10,13:06:47, 21.90,43.3
2021-02-10,13:07:47, 22.00,43.2
2021-02-10,13:08:47, 22.00,43.3
2021-02-10,13:09:47, 22.00,43.1
2021-02-10,13:10:47, 22.00,42.9
2021-02-10,13:11:47, 22.00,43
2021-02-10,13:12:47, 22.20,45.7
2021-02-10,13:14:35, 23.40,43.7
2021-02-10,13:15:35, 23.70,39.5
2021-02-10,13:16:35, 23.60,39.7
2021-02-10,13:17:35, 23.40,39.9
2021-02-10,13:18:35, 23.20,40.29
2021-02-10,13:19:35, 23.00,40.79
2021-02-10,13:20:35, 22.90,41
2021-02-10,13:21:35, 22.80,41.8
2021-02-10,13:22:35, 22.70,42.2
2021-02-10,13:23:35, 22.70,41.6
2021-02-10,13:24:35, 22.70,41.8
2021-02-10,13:25:35, 22.60,41.8
2021-02-10,13:26:35, 22.50,42.1
2021-02-10,13:27:35, 22.40,42.1
2021-02-10,13:28:35, 22.40,42.2
2021-02-10,13:29:35, 22.30,42.3
2021-02-10,13:30:35, 22.20,42.4
2021-02-10,13:31:35, 22.20,42.5
2021-02-10,13:32:35, 22.10,42.7
2021-02-10,13:33:35, 22.10,42.6
2021-02-10,13:34:35, 22.10,42.7
2021-02-10,13:35:35, 22.00,42.7
2021-02-10,13:36:35, 22.00,42.8
2021-02-10,13:37:35, 22.00,43
2021-02-10,13:38:35, 22.00,42.9
2021-02-10,13:39:35, 22.00,43
2021-02-10,13:40:35, 22.00,43.1
2021-02-10,13:41:35, 21.90,43.3
2021-02-10,13:42:35, 21.90,42.6
2021-02-10,13:43:35, 21.90,42.6
2021-02-10,13:44:35, 21.90,42.5
2021-02-10,13:45:35, 21.90,42.7
2021-02-10,13:46:35, 21.90,42.6
2021-02-10,13:47:35, 21.90,42.8
2021-02-10,13:48:35, 21.90,42.5
2021-02-10,13:49:35, 21.80,42.9
2021-02-10,13:50:35, 21.80,43
2021-02-10,13:51:35, 21.80,43
2021-02-10,13:52:35, 21.80,43.1
2021-02-10,13:53:35, 21.80,43.2
2021-02-10,13:54:35, 21.80,43.2
2021-02-10,13:55:35, 21.80,45.5
2021-02-10,13:59:41, 23.00,41.6
2021-02-10,14:00:41, 23.00,40.79
2021-02-10,14:01:41, 22.90,40.9
2021-02-10,14:02:41, 22.70,41.3
2021-02-10,14:03:41, 22.50,41.6
2021-02-10,14:04:41, 22.40,41.8
2021-02-10,14:05:41, 22.30,42
2021-02-10,14:06:41, 22.20,42.3
2021-02-10,14:07:41, 22.20,42.5
2021-02-10,14:08:41, 22.20,42.4
2021-02-10,14:09:41, 22.10,42.7
2021-02-10,14:10:41, 22.10,42.8
2021-02-10,14:11:41, 22.10,42.4
2021-02-10,14:12:41, 22.10,42.4
2021-02-10,14:13:41, 22.10,42.7
2021-02-10,14:14:41, 22.10,42.9
2021-02-10,14:15:41, 22.00,43
2021-02-10,14:16:41, 22.00,42.9
2021-02-10,14:17:41, 22.00,42.9
2021-02-10,14:18:41, 22.00,42.8
2021-02-10,14:19:41, 22.00,42.6
2021-02-10,14:20:41, 21.90,42.3
2021-02-10,14:21:41, 21.90,42.7
2021-02-10,14:22:41, 21.80,42.5
2021-02-10,14:23:41, 21.80,42.5
2021-02-10,14:24:41, 21.80,43.1
2021-02-10,14:25:41, 21.70,42.6
