デバイス情報
******************************
デバイスタイプ:	   長距離無線温湿度センサー
ID:   CB200503
測定間隔:   1 min
注:
表示されるすべての時間は  UTC+9 および24時間制に基づいています。 [yyyy-MM-dd HH:mm:ss]

ロギング情報
******************************
開始時刻: 	2021-02-12 10:58:11
終了時刻:      2021-02-12 18:11:42
測定データ数:      437
測定時間:      7h 13m 31s 
最大値:        24.00℃/48%RH
最小値:        21.00℃/42.1%RH
平均値:        22.40℃ /40%RH
平均動態温度:22.40℃


日付,時刻,温度(℃),湿度(%RH)
******************************,******************************,******************************,******************************,******************************
2021-02-12,10:58:11, 21.00,43.9
2021-02-12,10:59:11, 21.00,44
2021-02-12,11:00:11, 21.00,44.1
2021-02-12,11:01:11, 21.00,44.1
2021-02-12,11:02:11, 21.00,44.2
2021-02-12,11:03:11, 21.10,44.2
2021-02-12,11:04:11, 21.10,44.2
2021-02-12,11:05:11, 21.10,44.1
2021-02-12,11:06:11, 21.10,43.9
2021-02-12,11:07:11, 21.20,43.8
2021-02-12,11:08:11, 21.20,44
2021-02-12,11:09:11, 21.20,44
2021-02-12,11:10:11, 21.20,44
2021-02-12,11:11:11, 21.20,44
2021-02-12,11:12:11, 21.10,44
2021-02-12,11:13:11, 21.10,44.1
2021-02-12,11:14:11, 21.20,44.1
2021-02-12,11:15:11, 21.10,44.1
2021-02-12,11:16:11, 21.10,44.1
2021-02-12,11:17:11, 21.10,44.1
2021-02-12,11:18:11, 21.10,44.2
2021-02-12,11:19:11, 21.10,44.2
2021-02-12,11:20:11, 21.10,44.3
2021-02-12,11:21:11, 21.20,44.2
2021-02-12,11:22:11, 21.20,44.1
2021-02-12,11:23:11, 21.30,44
2021-02-12,11:24:11, 21.30,44
2021-02-12,11:25:11, 21.30,44.1
2021-02-12,11:26:11, 21.30,44.1
2021-02-12,11:27:11, 21.30,44
2021-02-12,11:28:11, 21.30,44.1
2021-02-12,11:29:11, 21.30,44.1
2021-02-12,11:30:11, 21.30,44.3
2021-02-12,11:31:11, 21.30,44.3
2021-02-12,11:32:11, 21.20,44.2
2021-02-12,11:33:11, 21.20,44.4
2021-02-12,11:34:11, 21.20,44.4
2021-02-12,11:35:11, 21.20,44.4
2021-02-12,11:36:11, 21.20,44.5
2021-02-12,11:37:11, 21.30,44.8
2021-02-12,11:38:11, 21.30,44.5
2021-02-12,11:39:11, 21.30,44.3
2021-02-12,11:40:11, 21.30,44.4
2021-02-12,11:41:11, 21.30,44.4
2021-02-12,11:42:11, 21.30,44.3
2021-02-12,11:43:11, 21.40,44.3
2021-02-12,11:44:11, 21.40,44.2
2021-02-12,11:45:11, 21.40,44.3
2021-02-12,11:46:11, 21.40,44.4
2021-02-12,11:47:11, 21.40,44.4
2021-02-12,11:48:11, 21.50,44.5
2021-02-12,11:49:11, 21.50,44.4
2021-02-12,11:50:11, 21.50,44.6
2021-02-12,11:51:11, 21.50,44.6
2021-02-12,11:52:11, 21.50,44.5
2021-02-12,11:53:11, 21.50,44.4
2021-02-12,11:54:11, 21.50,44.3
2021-02-12,11:55:11, 21.50,44.7
2021-02-12,11:56:10, 21.60,44.5
2021-02-12,11:57:10, 21.60,44.4
2021-02-12,11:58:10, 21.60,44.4
2021-02-12,11:59:10, 21.60,44.5
2021-02-12,12:00:10, 21.60,44.4
2021-02-12,12:01:10, 21.60,44.3
2021-02-12,12:02:10, 21.60,44.3
2021-02-12,12:03:10, 21.60,44.3
2021-02-12,12:04:10, 21.60,44.4
2021-02-12,12:05:10, 21.60,44.4
2021-02-12,12:06:10, 21.60,44.4
2021-02-12,12:07:10, 21.60,44.4
2021-02-12,12:08:10, 21.60,44.4
2021-02-12,12:09:10, 21.60,44.4
2021-02-12,12:10:10, 21.60,44.4
2021-02-12,12:11:10, 21.60,44.4
2021-02-12,12:12:10, 21.60,44.5
2021-02-12,12:13:10, 21.60,44.6
2021-02-12,12:14:10, 21.50,44.5
2021-02-12,12:14:10, 21.50,44.5
2021-02-12,12:15:10, 21.60,44.5
2021-02-12,12:16:10, 21.60,44.6
2021-02-12,12:17:10, 21.60,44.5
2021-02-12,12:18:10, 21.60,44.5
2021-02-12,12:19:10, 21.60,44.5
2021-02-12,12:20:10, 21.60,44.5
2021-02-12,12:20:10, 21.60,44.5
2021-02-12,12:21:10, 21.60,44.6
2021-02-12,12:21:10, 21.60,44.6
2021-02-12,12:22:10, 21.60,44.5
2021-02-12,12:22:10, 21.60,44.5
2021-02-12,12:23:10, 21.60,44.7
2021-02-12,12:23:10, 21.60,44.7
2021-02-12,12:24:10, 21.60,44.7
2021-02-12,12:24:10, 21.60,44.7
2021-02-12,12:25:10, 21.60,44.8
2021-02-12,12:26:10, 21.60,44.9
2021-02-12,12:27:10, 21.70,45
2021-02-12,12:28:10, 21.70,45.1
2021-02-12,12:29:10, 21.70,45
2021-02-12,12:30:10, 21.70,45.2
2021-02-12,12:31:10, 21.80,45.2
2021-02-12,12:32:10, 21.70,45.3
2021-02-12,12:33:10, 21.80,45.2
2021-02-12,12:34:10, 21.80,45.1
2021-02-12,12:35:10, 21.70,45
2021-02-12,12:36:10, 21.80,45
2021-02-12,12:37:10, 21.70,45
2021-02-12,12:38:10, 21.70,45
2021-02-12,12:39:10, 21.70,45
2021-02-12,12:40:10, 21.70,45
2021-02-12,12:41:10, 21.80,45
2021-02-12,12:42:10, 21.80,44.9
2021-02-12,12:43:10, 21.80,45
2021-02-12,12:44:10, 21.80,45.1
2021-02-12,12:45:10, 21.80,45.1
2021-02-12,12:46:10, 21.80,45.1
2021-02-12,12:47:10, 21.80,45.1
2021-02-12,12:48:10, 21.80,45.1
2021-02-12,12:49:10, 21.80,45.1
2021-02-12,12:50:10, 21.80,45.1
2021-02-12,12:51:10, 21.80,45.3
2021-02-12,12:52:10, 21.80,45.3
2021-02-12,12:53:10, 21.90,45.3
2021-02-12,12:54:10, 21.90,45.4
2021-02-12,12:55:10, 21.90,45.4
2021-02-12,12:56:10, 22.00,45.3
2021-02-12,12:57:10, 22.00,45.3
2021-02-12,12:58:10, 22.00,45.6
2021-02-12,12:59:10, 22.10,45.9
2021-02-12,13:00:10, 22.10,45.8
2021-02-12,13:01:10, 22.10,45.8
2021-02-12,13:02:10, 22.10,45.6
2021-02-12,13:03:10, 22.10,45.6
2021-02-12,13:04:10, 22.10,45.4
2021-02-12,13:05:10, 22.00,45.4
2021-02-12,13:06:10, 22.00,45.3
2021-02-12,13:07:10, 22.00,45.4
2021-02-12,13:08:10, 22.00,45.3
2021-02-12,13:09:10, 22.00,45.5
2021-02-12,13:10:10, 22.00,45.6
2021-02-12,13:11:10, 22.00,45.5
2021-02-12,13:12:10, 22.10,45.5
2021-02-12,13:13:10, 22.10,45.3
2021-02-12,13:14:10, 22.10,45.5
2021-02-12,13:15:10, 22.10,45.5
2021-02-12,13:16:10, 22.20,45.5
2021-02-12,13:17:10, 22.20,45.7
2021-02-12,13:18:10, 22.20,45.6
2021-02-12,13:19:10, 22.20,45.5
2021-02-12,13:20:10, 22.20,45.5
2021-02-12,13:21:10, 22.20,45.4
2021-02-12,13:22:10, 22.20,45.4
2021-02-12,13:23:10, 22.20,45.4
2021-02-12,13:24:10, 22.20,45.4
2021-02-12,13:25:10, 22.20,45.5
2021-02-12,13:26:10, 22.20,45.4
2021-02-12,13:27:10, 22.20,45.3
2021-02-12,13:28:10, 22.30,45.4
2021-02-12,13:29:10, 22.30,45.6
2021-02-12,13:30:10, 22.30,45.6
2021-02-12,13:31:10, 22.30,45.5
2021-02-12,13:32:10, 22.30,45.5
2021-02-12,13:33:10, 22.30,45.4
2021-02-12,13:34:10, 22.30,45.5
2021-02-12,13:35:10, 22.30,45.4
2021-02-12,13:36:10, 22.40,45.3
2021-02-12,13:37:10, 22.40,45.4
2021-02-12,13:38:10, 22.40,45.3
2021-02-12,13:39:10, 22.40,45.2
2021-02-12,13:40:10, 22.40,45.2
2021-02-12,13:41:10, 22.40,45.3
2021-02-12,13:42:10, 22.40,45.2
2021-02-12,13:43:10, 22.40,45.4
2021-02-12,13:44:10, 22.40,45.3
2021-02-12,13:45:10, 22.40,45.2
2021-02-12,13:46:10, 22.40,45.2
2021-02-12,13:47:10, 22.40,45.1
2021-02-12,13:48:10, 22.40,45.1
2021-02-12,13:49:10, 22.40,45.1
2021-02-12,13:50:10, 22.40,45.1
2021-02-12,13:51:10, 22.40,45.1
2021-02-12,13:52:10, 22.50,45.1
2021-02-12,13:53:10, 22.50,45
2021-02-12,13:54:10, 22.50,45.1
2021-02-12,13:55:10, 22.50,45.1
2021-02-12,13:56:10, 22.50,45
2021-02-12,13:57:10, 22.50,45
2021-02-12,13:58:10, 22.50,45.1
2021-02-12,13:59:10, 22.60,45.2
2021-02-12,14:00:10, 22.60,45.1
2021-02-12,14:01:10, 22.60,44.9
2021-02-12,14:02:10, 22.60,44.8
2021-02-12,14:03:10, 22.60,44.8
2021-02-12,14:04:10, 22.60,44.8
2021-02-12,14:05:10, 22.60,44.8
2021-02-12,14:06:10, 22.60,44.8
2021-02-12,14:07:10, 22.60,44.8
2021-02-12,14:08:10, 22.60,44.8
2021-02-12,14:09:10, 22.60,44.8
2021-02-12,14:10:10, 22.70,44.9
2021-02-12,14:11:10, 22.70,44.9
2021-02-12,14:12:10, 22.70,44.8
2021-02-12,14:13:10, 22.70,44.7
2021-02-12,14:14:10, 22.70,44.7
2021-02-12,14:15:10, 22.70,44.6
2021-02-12,14:16:10, 22.60,44.6
2021-02-12,14:17:10, 22.70,44.6
2021-02-12,14:18:10, 22.70,44.7
2021-02-12,14:19:10, 22.70,44.7
2021-02-12,14:20:10, 22.70,44.8
2021-02-12,14:21:10, 22.70,44.7
2021-02-12,14:22:10, 22.70,44.7
2021-02-12,14:23:10, 22.70,44.6
2021-02-12,14:24:10, 22.70,44.6
2021-02-12,14:25:10, 22.70,44.5
2021-02-12,14:26:10, 22.70,44.6
2021-02-12,14:27:10, 22.70,44.5
2021-02-12,14:28:10, 22.70,44.5
2021-02-12,14:29:10, 22.70,44.4
2021-02-12,14:30:10, 22.70,44.5
2021-02-12,14:31:10, 22.70,44.5
2021-02-12,14:32:10, 22.80,44.5
2021-02-12,14:33:10, 22.70,44.4
2021-02-12,14:34:10, 22.80,44.4
2021-02-12,14:35:10, 22.80,44.3
2021-02-12,14:36:10, 22.80,44.2
2021-02-12,14:37:10, 22.80,44.2
2021-02-12,14:38:10, 22.80,44.2
2021-02-12,14:39:10, 22.80,44.2
2021-02-12,14:40:10, 22.70,44.2
2021-02-12,14:41:10, 22.70,44.2
2021-02-12,14:42:10, 22.70,44.2
2021-02-12,14:43:10, 22.70,44.2
2021-02-12,14:44:10, 22.70,44.2
2021-02-12,14:45:10, 22.80,44.2
2021-02-12,14:46:10, 22.80,44.1
2021-02-12,14:47:10, 22.80,44.2
2021-02-12,14:48:10, 22.80,44.2
2021-02-12,14:49:10, 22.80,44.2
2021-02-12,14:50:10, 22.80,44.2
2021-02-12,14:51:10, 22.80,44.2
2021-02-12,14:52:10, 22.80,44.2
2021-02-12,14:53:10, 22.80,44.4
2021-02-12,14:54:10, 22.80,44.3
2021-02-12,14:55:10, 22.80,44.3
2021-02-12,14:56:10, 22.80,44.3
2021-02-12,14:57:10, 22.80,44.2
2021-02-12,14:58:10, 22.80,44.2
2021-02-12,14:59:10, 22.80,44.2
2021-02-12,15:00:10, 22.90,44.1
2021-02-12,15:01:10, 22.90,44.1
2021-02-12,15:02:10, 22.90,44.1
2021-02-12,15:03:10, 22.90,44.1
2021-02-12,15:04:10, 22.90,44.1
2021-02-12,15:05:10, 22.90,44
2021-02-12,15:06:10, 22.80,44.1
2021-02-12,15:07:10, 22.80,44.1
2021-02-12,15:08:10, 22.80,44.1
2021-02-12,15:09:10, 22.80,44.1
2021-02-12,15:10:10, 22.80,44.1
2021-02-12,15:11:10, 22.80,44.1
2021-02-12,15:12:10, 22.90,44.1
2021-02-12,15:13:10, 22.90,44.1
2021-02-12,15:14:10, 22.90,44
2021-02-12,15:15:10, 23.00,44.3
2021-02-12,15:16:10, 23.10,44.1
2021-02-12,15:17:10, 23.20,44
2021-02-12,15:18:10, 23.30,43.7
2021-02-12,15:19:10, 23.30,43.6
2021-02-12,15:20:10, 23.40,43.7
2021-02-12,15:21:10, 23.40,43.2
2021-02-12,15:22:10, 23.30,43.4
2021-02-12,15:23:10, 23.50,48
2021-02-12,15:23:10, 23.50,48
2021-02-12,15:24:10, 23.80,44.2
2021-02-12,15:26:42, 24.00,42.1
2021-02-12,15:27:42, 23.90,42.2
2021-02-12,15:28:42, 23.90,42.3
2021-02-12,15:29:42, 23.90,42.4
2021-02-12,15:30:42, 23.80,42.5
2021-02-12,15:31:42, 23.80,42.5
2021-02-12,15:32:42, 23.70,42.5
2021-02-12,15:33:42, 23.70,42.5
2021-02-12,15:34:42, 23.70,42.4
2021-02-12,15:35:42, 23.70,42.6
2021-02-12,15:36:42, 23.70,42.6
2021-02-12,15:37:42, 23.70,42.6
2021-02-12,15:38:42, 23.70,42.5
2021-02-12,15:39:42, 23.70,42.5
2021-02-12,15:40:42, 23.70,42.5
2021-02-12,15:41:42, 23.70,42.5
2021-02-12,15:42:42, 23.70,42.5
2021-02-12,15:43:42, 23.70,42.4
2021-02-12,15:44:42, 23.60,42.4
2021-02-12,15:45:42, 23.60,42.4
2021-02-12,15:46:42, 23.60,42.5
2021-02-12,15:47:42, 23.50,42.5
2021-02-12,15:48:42, 23.50,42.5
2021-02-12,15:49:42, 23.40,42.5
2021-02-12,15:50:42, 23.40,42.6
2021-02-12,15:51:42, 23.40,42.8
2021-02-12,15:52:42, 23.40,42.7
2021-02-12,15:53:42, 23.40,42.7
2021-02-12,15:54:42, 23.40,42.7
2021-02-12,15:55:42, 23.40,42.7
2021-02-12,15:56:42, 23.30,42.7
2021-02-12,15:57:42, 23.30,42.8
2021-02-12,15:58:42, 23.40,42.7
2021-02-12,15:59:42, 23.40,42.6
2021-02-12,16:00:42, 23.40,42.6
2021-02-12,16:01:42, 23.40,42.6
2021-02-12,16:02:42, 23.40,42.7
2021-02-12,16:03:42, 23.40,42.7
2021-02-12,16:04:42, 23.40,42.8
2021-02-12,16:05:42, 23.30,42.9
2021-02-12,16:06:42, 23.40,42.9
2021-02-12,16:07:42, 23.30,42.9
2021-02-12,16:08:42, 23.30,42.9
2021-02-12,16:09:42, 23.30,42.9
2021-02-12,16:10:42, 23.30,42.9
2021-02-12,16:11:42, 23.30,42.9
2021-02-12,16:12:42, 23.20,42.9
2021-02-12,16:13:42, 23.20,42.9
2021-02-12,16:14:42, 23.30,42.9
2021-02-12,16:15:42, 23.30,42.9
2021-02-12,16:16:42, 23.30,42.9
2021-02-12,16:17:42, 23.40,42.8
2021-02-12,16:18:42, 23.40,42.9
2021-02-12,16:19:42, 23.40,43
2021-02-12,16:20:42, 23.40,43
2021-02-12,16:21:42, 23.50,42.7
2021-02-12,16:22:42, 23.60,42.7
2021-02-12,16:23:42, 23.50,42.8
2021-02-12,16:24:42, 23.30,43
2021-02-12,16:25:42, 23.20,43.2
2021-02-12,16:26:42, 23.10,43.3
2021-02-12,16:27:42, 23.00,43.5
2021-02-12,16:28:42, 23.00,43.7
2021-02-12,16:29:42, 22.90,43.9
2021-02-12,16:30:42, 22.90,43.8
2021-02-12,16:31:42, 22.90,44
2021-02-12,16:32:42, 22.90,44
2021-02-12,16:33:42, 22.80,44.1
2021-02-12,16:34:42, 22.80,44.2
2021-02-12,16:35:42, 22.80,44.2
2021-02-12,16:36:42, 22.80,44.2
2021-02-12,16:37:42, 22.80,44.5
2021-02-12,16:38:42, 22.80,44.1
2021-02-12,16:39:42, 22.90,44.1
2021-02-12,16:40:42, 22.90,44
2021-02-12,16:41:42, 22.90,44
2021-02-12,16:42:42, 22.90,44
2021-02-12,16:43:42, 22.90,44
2021-02-12,16:44:42, 22.90,44
2021-02-12,16:45:42, 22.90,44
2021-02-12,16:46:42, 22.90,44
2021-02-12,16:47:42, 22.90,44
2021-02-12,16:48:42, 22.90,43.9
2021-02-12,16:49:42, 22.90,43.9
2021-02-12,16:50:42, 22.90,43.9
2021-02-12,16:51:42, 22.90,43.9
2021-02-12,16:52:42, 22.90,43.8
2021-02-12,16:53:19, 22.90,43.9
2021-02-12,16:53:42, 22.90,43.9
2021-02-12,16:54:42, 22.90,44
2021-02-12,16:55:42, 22.90,43.8
2021-02-12,16:56:42, 22.90,43.7
2021-02-12,16:57:42, 22.90,43.7
2021-02-12,16:58:42, 22.90,43.7
2021-02-12,16:59:42, 22.90,43.7
2021-02-12,17:00:42, 22.90,43.6
2021-02-12,17:01:42, 22.90,43.7
2021-02-12,17:02:42, 22.90,43.8
2021-02-12,17:03:42, 22.90,43.7
2021-02-12,17:04:42, 22.90,43.8
2021-02-12,17:05:42, 22.90,43.8
2021-02-12,17:06:42, 22.90,43.8
2021-02-12,17:07:42, 22.90,43.8
2021-02-12,17:08:42, 22.90,43.8
2021-02-12,17:09:42, 22.90,43.8
2021-02-12,17:12:42, 23.00,43.9
2021-02-12,17:13:42, 22.90,43.8
2021-02-12,17:14:42, 23.00,43.7
2021-02-12,17:15:42, 23.00,43.5
2021-02-12,17:16:42, 23.00,43.4
2021-02-12,17:17:42, 23.00,43.3
2021-02-12,17:18:42, 23.00,43.3
2021-02-12,17:19:42, 23.00,43.5
2021-02-12,17:20:42, 23.00,43.6
2021-02-12,17:21:42, 23.00,43.5
2021-02-12,17:22:42, 23.00,43.5
2021-02-12,17:23:42, 23.00,43.5
2021-02-12,17:24:42, 23.10,43.4
2021-02-12,17:25:42, 23.10,43.3
2021-02-12,17:26:42, 23.00,43.4
2021-02-12,17:27:42, 23.00,43.5
2021-02-12,17:28:42, 23.00,43.5
2021-02-12,17:29:42, 23.00,43.4
2021-02-12,17:30:42, 23.00,43.5
2021-02-12,17:31:42, 23.00,43.5
2021-02-12,17:32:42, 23.00,43.4
2021-02-12,17:33:42, 23.00,43.4
2021-02-12,17:34:42, 23.00,43.3
2021-02-12,17:35:42, 23.00,43.3
2021-02-12,17:35:42, 23.00,43.3
2021-02-12,17:36:42, 22.90,43.3
2021-02-12,17:37:42, 22.90,43.3
2021-02-12,17:38:42, 22.90,43.3
2021-02-12,17:39:42, 22.90,43.3
2021-02-12,17:40:42, 22.90,43.3
2021-02-12,17:41:42, 22.90,43.4
2021-02-12,17:42:42, 22.90,43.4
2021-02-12,17:43:42, 22.90,43.4
